Event,Time,Value
program_start,1887735.359406571,1
nbr_training_datapoints,1887737.120301684,90941
epoch_start,1887738.122226146,1
cpu_utilization_percentage,1887738.145085001,548.3
ram_usage_mb,1887738.145095681,476.4140625
cpu_utilization_percentage,1887739.154739643,4.0
ram_usage_mb,1887739.15475034,679.71484375
cpu_utilization_percentage,1887740.162438285,0.0
ram_usage_mb,1887740.162448139,766.140625
cpu_utilization_percentage,1887741.17027664,1.0
ram_usage_mb,1887741.170286321,857.54296875
cpu_utilization_percentage,1887742.1825247,1.0
ram_usage_mb,1887742.182534259,960.84765625
cpu_utilization_percentage,1887743.190473513,1.0
ram_usage_mb,1887743.190484424,1149.8046875
cpu_utilization_percentage,1887744.198550308,1.0
ram_usage_mb,1887744.198560682,1233.703125
cpu_utilization_percentage,1887745.207127227,1.0
ram_usage_mb,1887745.207137046,1320.62890625
cpu_utilization_percentage,1887746.215140133,0.0
ram_usage_mb,1887746.215151693,1417.3828125
cpu_utilization_percentage,1887747.223315716,1.0
ram_usage_mb,1887747.223326014,1612.6171875
cpu_utilization_percentage,1887748.231525736,2.0
ram_usage_mb,1887748.231536481,1690.515625
cpu_utilization_percentage,1887749.239568416,0.0
ram_usage_mb,1887749.239578604,1758.35546875
cpu_utilization_percentage,1887750.248049352,2.0
ram_usage_mb,1887750.248060008,1887.11328125
cpu_utilization_percentage,1887751.256374081,1.0
ram_usage_mb,1887751.256383945,2074.68359375
cpu_utilization_percentage,1887752.266679852,0.0
ram_usage_mb,1887752.266690197,2160.63671875
cpu_utilization_percentage,1887753.274909974,2.0
ram_usage_mb,1887753.274921292,2223.05859375
cpu_utilization_percentage,1887754.284649924,0.0
ram_usage_mb,1887754.284660516,2357.2578125
cpu_utilization_percentage,1887755.293095526,2.0
ram_usage_mb,1887755.293105376,2539.19140625
cpu_utilization_percentage,1887756.30140789,1.0
ram_usage_mb,1887756.30141801,2618.3984375
cpu_utilization_percentage,1887757.309800445,0.0
