Event,Time,Value
program_start,1809025.64442399,1
nbr_training_datapoints,1809027.653817279,90941
epoch_start,1809028.655782976,1
start_batch_fetch,1809028.656477907,1
cpu_utilization_percentage,1809028.670727744,954.6
ram_usage_mb,1809028.670738249,475.6953125
cache_hit,1809029.173449589,0
cache_miss,1809029.173462867,1965
remote_feature_fetch,1809029.173466715,1
remote_feature_recieved,1809029.422808393,1
cache_hit,1809029.438081404,0
cache_miss,1809029.438098575,1965
remote_feature_fetch,1809029.4381027,1
remote_feature_recieved,1809029.637253214,1
end_batch_fetch,1809029.638791375,1
start_batch_processing,1809029.638800452,1
batch_train_loss,1809029.648346522,3.6978445053100586
end_batch_processing,1809029.653169772,1
start_batch_fetch,1809029.653184604,1
cpu_utilization_percentage,1809029.6789331,60.5
ram_usage_mb,1809029.678944827,497.26953125
cache_hit,1809029.99214236,0
cache_miss,1809029.992155558,1831
remote_feature_fetch,1809029.992159776,1
remote_feature_recieved,1809030.156661482,1
cache_hit,1809030.170647674,0
cache_miss,1809030.170667009,1831
remote_feature_fetch,1809030.170671281,1
remote_feature_recieved,1809030.318778099,1
end_batch_fetch,1809030.319696076,1
start_batch_processing,1809030.319706197,1
batch_train_loss,1809030.323444245,3.6355550289154053
end_batch_processing,1809030.326080601,1
start_batch_fetch,1809030.326092285,1
cache_hit,1809030.691441382,0
cache_miss,1809030.691461924,2116
remote_feature_fetch,1809030.691465792,1
cpu_utilization_percentage,1809030.699287447,56.8
ram_usage_mb,1809030.699298702,499.32421875
remote_feature_recieved,1809030.875070072,1
cache_hit,1809030.891688922,0
cache_miss,1809030.891705547,2116
remote_feature_fetch,1809030.891709983,1
remote_feature_recieved,1809031.063239435,1
end_batch_fetch,1809031.064627692,1
start_batch_processing,1809031.064638472,1
batch_train_loss,1809031.0689199,3.5342352390289307
end_batch_processing,1809031.071772563,1
start_batch_fetch,1809031.071785202,1
cache_hit,1809031.396766325,0
cache_miss,1809031.39677969,1924
remote_feature_fetch,1809031.396783519,1
remote_feature_recieved,1809031.568313609,1
cache_hit,1809031.582935883,0
cache_miss,1809031.582953454,1924
remote_feature_fetch,1809031.582957153,1
remote_feature_recieved,1809031.74419963,1
end_batch_fetch,1809031.745172735,1
start_batch_processing,1809031.745180785,1
batch_train_loss,1809031.749719799,3.418032646179199
end_batch_processing,1809031.753029638,1
start_batch_fetch,1809031.753040725,1
cpu_utilization_percentage,1809031.758836031,87.8
ram_usage_mb,1809031.758845071,502.4921875
cache_hit,1809032.058653291,0
cache_miss,1809032.058667406,1810
remote_feature_fetch,1809032.058672501,1
remote_feature_recieved,1809032.221887803,1
cache_hit,1809032.235575957,0
cache_miss,1809032.235594369,1810
remote_feature_fetch,1809032.235603931,1
remote_feature_recieved,1809032.38116876,1
end_batch_fetch,1809032.382266023,1
start_batch_processing,1809032.382276997,1
batch_train_loss,1809032.385712708,3.355456590652466
end_batch_processing,1809032.388025162,1
start_batch_fetch,1809032.388050746,1
cache_hit,1809032.716558678,0
cache_miss,1809032.716573629,1992
remote_feature_fetch,1809032.716577618,1
cpu_utilization_percentage,1809032.76654118,56.6
ram_usage_mb,1809032.766552947,502.80078125
remote_feature_recieved,1809032.888902508,1
cache_hit,1809032.903785049,0
cache_miss,1809032.903803371,1992
remote_feature_fetch,1809032.903807444,1
remote_feature_recieved,1809033.061987067,1
end_batch_fetch,1809033.063205325,1
start_batch_processing,1809033.063218877,1
batch_train_loss,1809033.066770548,3.2185251712799072
end_batch_processing,1809033.06912817,1
start_batch_fetch,1809033.069141854,1
cache_hit,1809033.457443512,0
cache_miss,1809033.457456752,2172
remote_feature_fetch,1809033.457462828,1
remote_feature_recieved,1809033.645439785,1
cache_hit,1809033.662783386,0
cache_miss,1809033.66280132,2172
remote_feature_fetch,1809033.66280535,1
remote_feature_recieved,1809033.840546924,1
end_batch_fetch,1809033.841622968,1
start_batch_processing,1809033.841633181,1
batch_train_loss,1809033.845922308,3.1604745388031006
end_batch_processing,1809033.84925071,1
start_batch_fetch,1809033.849263893,1
cpu_utilization_percentage,1809033.853212339,86.5
ram_usage_mb,1809033.85322224,502.95703125
cache_hit,1809034.19050586,0
cache_miss,1809034.190519141,2138
remote_feature_fetch,1809034.19052306,1
remote_feature_recieved,1809034.374288726,1
cache_hit,1809034.39128145,0
cache_miss,1809034.391298369,2138
remote_feature_fetch,1809034.391302123,1
remote_feature_recieved,1809034.555799145,1
end_batch_fetch,1809034.556980816,1
start_batch_processing,1809034.556991412,1
batch_train_loss,1809034.560462529,3.161578416824341
end_batch_processing,1809034.562765577,1
start_batch_fetch,1809034.562777066,1
cache_hit,1809034.908181854,0
cache_miss,1809034.908202609,2032
remote_feature_fetch,1809034.908206524,1
cpu_utilization_percentage,1809034.913885603,61.3
ram_usage_mb,1809034.91389673,504.01171875
remote_feature_recieved,1809035.097036063,1
cache_hit,1809035.113028419,0
cache_miss,1809035.113045356,2032
remote_feature_fetch,1809035.113049131,1
remote_feature_recieved,1809035.277886868,1
end_batch_fetch,1809035.279259373,1
start_batch_processing,1809035.279270265,1
batch_train_loss,1809035.283744161,3.178765058517456
end_batch_processing,1809035.286327365,1
start_batch_fetch,1809035.286340124,1
cache_hit,1809035.627195647,0
cache_miss,1809035.627208996,2040
remote_feature_fetch,1809035.627212723,1
remote_feature_recieved,1809035.80719877,1
cache_hit,1809035.823974474,0
cache_miss,1809035.823991083,2040
remote_feature_fetch,1809035.823994722,1
remote_feature_recieved,1809035.993101882,1
end_batch_fetch,1809035.994333826,1
start_batch_processing,1809035.994343538,1
batch_train_loss,1809035.998825114,3.0885252952575684
cpu_utilization_percentage,1809035.99980914,79.2
ram_usage_mb,1809035.999829609,504.01171875
end_batch_processing,1809036.001559665,1
start_batch_fetch,1809036.001569883,1
cache_hit,1809036.4659514,0
cache_miss,1809036.465964346,2354
remote_feature_fetch,1809036.4659681,1
remote_feature_recieved,1809036.690919093,1
cache_hit,1809036.708985549,0
cache_miss,1809036.7090152,2354
remote_feature_fetch,1809036.709019035,1
remote_feature_recieved,1809036.924094021,1
end_batch_fetch,1809036.925161986,1
start_batch_processing,1809036.925171269,1
batch_train_loss,1809036.928844857,3.049182176589966
end_batch_processing,1809036.93132187,1
start_batch_fetch,1809036.931334274,1
cpu_utilization_percentage,1809037.009441315,64.4
ram_usage_mb,1809037.009454052,505.19140625
cache_hit,1809037.280123758,0
cache_miss,1809037.280137697,2196
remote_feature_fetch,1809037.280141208,1
remote_feature_recieved,1809037.465996505,1
cache_hit,1809037.482782778,0
cache_miss,1809037.482799671,2196
remote_feature_fetch,1809037.482803488,1
remote_feature_recieved,1809037.651826176,1
end_batch_fetch,1809037.652841231,1
start_batch_processing,1809037.65285587,1
batch_train_loss,1809037.65646172,3.1113295555114746
end_batch_processing,1809037.658682375,1
start_batch_fetch,1809037.658693333,1
cache_hit,1809038.010203776,0
cache_miss,1809038.010220622,2094
remote_feature_fetch,1809038.010224257,1
cpu_utilization_percentage,1809038.019241721,64.4
ram_usage_mb,1809038.019253008,505.19140625
remote_feature_recieved,1809038.19760689,1
cache_hit,1809038.213680287,0
cache_miss,1809038.21369742,2094
remote_feature_fetch,1809038.213701091,1
remote_feature_recieved,1809038.383357991,1
end_batch_fetch,1809038.384641729,1
start_batch_processing,1809038.38465337,1
batch_train_loss,1809038.388285514,3.072434663772583
end_batch_processing,1809038.390564987,1
start_batch_fetch,1809038.39057602,1
cache_hit,1809038.743655176,0
cache_miss,1809038.743668226,2066
remote_feature_fetch,1809038.74367204,1
remote_feature_recieved,1809038.927594336,1
cache_hit,1809038.94349461,0
cache_miss,1809038.943512112,2066
remote_feature_fetch,1809038.943515982,1
remote_feature_recieved,1809039.119521644,1
end_batch_fetch,1809039.120797349,1
start_batch_processing,1809039.120815235,1
cpu_utilization_percentage,1809039.124893637,73.3
ram_usage_mb,1809039.124905159,505.19140625
batch_train_loss,1809039.125670014,3.0588910579681396
end_batch_processing,1809039.127869644,1
start_batch_fetch,1809039.127882633,1
cache_hit,1809039.456157843,0
cache_miss,1809039.456171861,2059
remote_feature_fetch,1809039.456175978,1
remote_feature_recieved,1809039.633165452,1
cache_hit,1809039.649519025,0
cache_miss,1809039.649537698,2059
remote_feature_fetch,1809039.649542143,1
remote_feature_recieved,1809039.811029086,1
end_batch_fetch,1809039.812276062,1
start_batch_processing,1809039.812288653,1
batch_train_loss,1809039.815779764,2.918421745300293
end_batch_processing,1809039.818079636,1
start_batch_fetch,1809039.81809265,1
cache_hit,1809040.144719398,0
cache_miss,1809040.14473327,2109
remote_feature_fetch,1809040.144737174,1
cpu_utilization_percentage,1809040.150778021,72.1
ram_usage_mb,1809040.150789757,505.19140625
