         32640165 function calls (32041577 primitive calls) in 16.137 seconds

   Ordered by: cumulative time
   List reduced from 645 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000   23.036    7.679 threading.py:1117(join)
        3    0.000    0.000   22.992    7.664 threading.py:1155(_wait_for_tstate_lock)
   209834    0.122    0.000   20.679    0.000 result.py:392(__iter__)
  2092/19    0.009    0.000   16.094    0.847 {method 'acquire' of '_thread.lock' objects}
      3/1    0.000    0.000   16.094   16.094 threading.py:1018(_bootstrap)
      3/1    0.000    0.000   16.094   16.094 threading.py:1058(_bootstrap_inner)
      3/1    0.000    0.000   16.094   16.094 threading.py:1001(run)
        1    0.000    0.000   16.094   16.094 CPU_utilization_logger.py:65(monitor)
        1    0.003    0.003   16.094   16.094 Training.py:335(_start_training)
   213794    0.053    0.000   15.853    0.000 _common.py:191(inner)
   210824    0.117    0.000   15.063    0.000 _bolt.py:849(fetch_message)
1136843/567613    0.199    0.000   14.835    0.000 _psosx.py:343(wrapper)
   210824    0.145    0.000   13.478    0.000 _common.py:76(pop)
       90    0.045    0.001   12.795    0.142 Training.py:247(_run_epoch)
   210824    0.206    0.000   12.537    0.000 _common.py:47(_buffer_one_chunk)
564262/562778    0.090    0.000   12.522    0.000 _psosx.py:411(ppid)
567744/566250    0.195    0.000   12.122    0.000 _common.py:367(wrapper)
  518/517    0.006    0.000   12.086    0.023 CPU_utilization_logger.py:21(_sample_process_cpu)
7600/3640    0.002    0.000   10.621    0.003 {built-in method builtins.next}
  518/517    0.045    0.000    9.629    0.019 __init__.py:951(children)
  518/517    0.056    0.000    8.970    0.017 __init__.py:251(_ppid_map)
      540    0.003    0.000    8.221    0.015 dataloader.py:728(__next__)
      540    0.001    0.000    8.198    0.015 dataloader.py:787(_next_data)
      450    0.003    0.000    8.192    0.018 fetch.py:47(fetch)
      450    0.010    0.000    8.140    0.018 node_loader.py:143(collate_fn)
566694/565207    0.123    0.000    7.291    0.000 _psosx.py:370(_get_kinfo_proc)
   421648    0.277    0.000    6.336    0.000 _common.py:334(receive_into_buffer)
      450    0.003    0.000    6.136    0.014 node_loader.py:154(filter_fn)
      450    0.003    0.000    6.119    0.014 utils.py:209(filter_custom_store)
      450    0.004    0.000    6.097    0.014 feature_store.py:344(multi_get_tensor)
      450    0.180    0.000    6.067    0.013 Neo4jAbstractFS.py:147(_multi_get_tensor)
      450    0.088    0.000    5.827    0.013 Neo4jAbstractFS.py:250(_get_both_from_db)
   566694    5.793    0.000    5.793    0.000 {built-in method psutil._psutil_osx.proc_kinfo_oneshot}
   421648    0.137    0.000    5.625    0.000 _bolt_socket.py:460(recv_into)
   421648    0.147    0.000    3.858    0.000 _bolt_socket.py:389(_wait_for_read)
   422638    0.158    0.000    3.705    0.000 _bolt_socket.py:409(_wait_for_io)
       90    0.001    0.000    3.294    0.037 Training.py:165(_evaluate_split)
       90    0.007    0.000    3.294    0.037 evaluate.py:36(evaluate)
   421648    2.627    0.000    3.064    0.000 {method 'recv_into' of '_socket.socket' objects}
      450    0.004    0.000    2.165    0.005 Neo4jNeighborSampler.py:146(sample_from_nodes)
      450    0.004    0.000    2.055    0.005 Neo4jAbstractGS.py:126(fetch_ordered_subgraph)
   210824    0.126    0.000    1.318    0.000 _bolt6.py:504(_process_message)
      990    0.005    0.000    1.181    0.001 session.py:254(run)
      990    0.004    0.000    1.128    0.001 result.py:180(_run)
   208844    0.069    0.000    1.062    0.000 _common.py:241(on_records)
215774/213794    0.064    0.000    1.005    0.000 util.py:102(callback)
      990    0.001    0.000    0.975    0.001 result.py:434(_attach)
   208844    0.071    0.000    0.896    0.000 result.py:240(on_records)
      360    0.009    0.000    0.876    0.002 Training.py:235(_run_batch)
   208844    0.055    0.000    0.825    0.000 {method 'extend' of 'collections.deque' objects}
   417688    0.169    0.000    0.771    0.000 result.py:250(<genexpr>)
   216764    0.130    0.000    0.731    0.000 _common.py:185(__getattr__)
   608082    0.165    0.000    0.567    0.000 _data.py:124(__getitem__)
 4050/900    0.006    0.000    0.554    0.001 module.py:1747(_wrapped_call_impl)
   213795    0.060    0.000    0.550    0.000 inspect.py:427(iscoroutinefunction)
   208844    0.253    0.000    0.545    0.000 _data.py:59(__new__)
      450    0.076    0.000    0.425    0.001 Neo4jAbstractFS.py:135(_decode_feature_matrix)
      360    0.005    0.000    0.412    0.001 optimizer.py:465(wrapper)
 4050/900    0.006    0.000    0.377    0.000 module.py:1755(_call_impl)
      450    0.001    0.000    0.327    0.001 GCN.py:17(forward)
       90    0.003    0.000    0.326    0.004 Neo4jAbstractGS.py:60(get_split)
      360    0.002    0.000    0.316    0.001 optimizer.py:60(_use_grad)
   422638    0.205    0.000    0.305    0.000 {method 'settimeout' of '_socket.socket' objects}
      360    0.002    0.000    0.299    0.001 adam.py:212(step)
   210824    0.065    0.000    0.299    0.000 __init__.py:456(unpack_structure_header)
   213795    0.137    0.000    0.282    0.000 inspect.py:391(_has_code_flag)
      900    0.009    0.000    0.277    0.000 gcn_conv.py:227(forward)
   210824    0.042    0.000    0.263    0.000 __init__.py:289(unpack)
      360    0.001    0.000    0.225    0.001 optimizer.py:130(maybe_fallback)
   210824    0.221    0.000    0.221    0.000 {built-in method neo4j._rust.codec.packstream.v1.unpack}
   608082    0.130    0.000    0.220    0.000 _data.py:158(index)
   213795    0.094    0.000    0.208    0.000 inspect.py:412(_has_coroutine_mark)
4207612/4205632    0.201    0.000    0.206    0.000 {built-in method builtins.isinstance}
   831776    0.168    0.000    0.189    0.000 _conf.py:33(iter_items)
   210824    0.070    0.000    0.173    0.000 __init__.py:463(_unpack_structure_header)
      360    0.001    0.000    0.160    0.000 _tensor.py:592(backward)
   608982    0.132    0.000    0.157    0.000 _data.py:74(_super_getitem_single)
  2192422    0.146    0.000    0.146    0.000 {method 'append' of 'list' objects}
   855180    0.094    0.000    0.140    0.000 inspect.py:306(ismethod)
      900    0.009    0.000    0.137    0.000 torch_geometric.nn.conv.gcn_conv_GCNConv_propagate_h89kv_my.py:116(propagate)
      990    0.001    0.000    0.125    0.000 _bolt.py:825(send_all)
