         32363187 function calls (31769059 primitive calls) in 15.666 seconds

   Ordered by: cumulative time
   List reduced from 643 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000   22.635    7.545 threading.py:1117(join)
        3    0.000    0.000   22.590    7.530 threading.py:1155(_wait_for_tstate_lock)
   207767    0.120    0.000   18.462    0.000 result.py:392(__iter__)
  2076/19    0.006    0.000   15.622    0.822 {method 'acquire' of '_thread.lock' objects}
      3/1    0.000    0.000   15.622   15.622 threading.py:1018(_bootstrap)
      3/1    0.000    0.000   15.622   15.622 threading.py:1058(_bootstrap_inner)
      3/1    0.000    0.000   15.622   15.622 threading.py:1001(run)
        1    0.000    0.000   15.622   15.622 CPU_utilization_logger.py:65(monitor)
        1    0.003    0.003   15.622   15.622 Training.py:335(_start_training)
   211727    0.052    0.000   15.306    0.000 _common.py:191(inner)
   208757    0.116    0.000   14.562    0.000 _bolt.py:849(fetch_message)
   208757    0.144    0.000   12.996    0.000 _common.py:76(pop)
1131097/565131    0.200    0.000   12.731    0.000 _psosx.py:343(wrapper)
       90    0.045    0.000   12.620    0.140 Training.py:247(_run_epoch)
   208757    0.210    0.000   12.101    0.000 _common.py:47(_buffer_one_chunk)
561404/560311    0.090    0.000   11.621    0.000 _psosx.py:411(ppid)
564871/563768    0.197    0.000   11.253    0.000 _common.py:367(wrapper)
7600/3640    0.003    0.000   10.746    0.003 {built-in method builtins.next}
  515/514    0.006    0.000   10.027    0.020 CPU_utilization_logger.py:21(_sample_process_cpu)
563827/562731    0.121    0.000    9.091    0.000 _psosx.py:370(_get_kinfo_proc)
  515/514    0.047    0.000    8.392    0.016 __init__.py:951(children)
  515/514    0.050    0.000    8.348    0.016 __init__.py:251(_ppid_map)
      540    0.003    0.000    8.345    0.015 dataloader.py:728(__next__)
      540    0.001    0.000    8.323    0.015 dataloader.py:787(_next_data)
      450    0.003    0.000    8.317    0.018 fetch.py:47(fetch)
      450    0.003    0.000    8.247    0.018 node_loader.py:143(collate_fn)
      450    0.003    0.000    6.249    0.014 node_loader.py:154(filter_fn)
      450    0.003    0.000    6.231    0.014 utils.py:209(filter_custom_store)
      450    0.004    0.000    6.210    0.014 feature_store.py:344(multi_get_tensor)
      450    0.179    0.000    6.175    0.014 Neo4jAbstractFS.py:147(_multi_get_tensor)
      450    0.087    0.000    5.938    0.013 Neo4jAbstractFS.py:250(_get_both_from_db)
   563827    5.845    0.000    5.845    0.000 {built-in method psutil._psutil_osx.proc_kinfo_oneshot}
   417514    0.271    0.000    5.257    0.000 _common.py:334(receive_into_buffer)
   417514    0.135    0.000    4.623    0.000 _bolt_socket.py:460(recv_into)
   417514    0.147    0.000    3.130    0.000 _bolt_socket.py:389(_wait_for_read)
       90    0.001    0.000    2.997    0.033 Training.py:165(_evaluate_split)
       90    0.007    0.000    2.996    0.033 evaluate.py:36(evaluate)
   418504    0.156    0.000    2.965    0.000 _bolt_socket.py:409(_wait_for_io)
   417514    2.091    0.000    2.410    0.000 {method 'recv_into' of '_socket.socket' objects}
      450    0.018    0.000    1.384    0.003 Neo4jJavaNeighborSampler.py:52(sample_from_nodes)
   208757    0.124    0.000    1.301    0.000 _bolt6.py:504(_process_message)
      450    0.004    0.000    1.268    0.003 Neo4jAbstractGS.py:126(fetch_ordered_subgraph)
   206777    0.069    0.000    1.049    0.000 _common.py:241(on_records)
      990    0.005    0.000    1.041    0.001 session.py:254(run)
      360    0.009    0.000    1.011    0.003 Training.py:235(_run_batch)
      990    0.004    0.000    0.996    0.001 result.py:180(_run)
213707/211727    0.062    0.000    0.992    0.000 util.py:102(callback)
   206777    0.070    0.000    0.887    0.000 result.py:240(on_records)
      990    0.001    0.000    0.835    0.001 result.py:434(_attach)
   206777    0.053    0.000    0.816    0.000 {method 'extend' of 'collections.deque' objects}
 4050/900    0.005    0.000    0.798    0.001 module.py:1747(_wrapped_call_impl)
   413554    0.169    0.000    0.763    0.000 result.py:250(<genexpr>)
   214697    0.129    0.000    0.724    0.000 _common.py:185(__getattr__)
 4050/900    0.006    0.000    0.687    0.001 module.py:1755(_call_impl)
      450    0.002    0.000    0.647    0.001 GCN.py:17(forward)
   601881    0.166    0.000    0.567    0.000 _data.py:124(__getitem__)
   211727    0.058    0.000    0.545    0.000 inspect.py:427(iscoroutinefunction)
   206777    0.304    0.000    0.538    0.000 _data.py:59(__new__)
      360    0.005    0.000    0.495    0.001 optimizer.py:465(wrapper)
      450    0.140    0.000    0.488    0.001 Neo4jAbstractFS.py:135(_decode_feature_matrix)
       90    0.003    0.000    0.417    0.005 Neo4jAbstractGS.py:60(get_split)
      360    0.002    0.000    0.337    0.001 optimizer.py:60(_use_grad)
      900    0.009    0.000    0.324    0.000 gcn_conv.py:227(forward)
      360    0.002    0.000    0.320    0.001 adam.py:212(step)
   208757    0.066    0.000    0.297    0.000 __init__.py:456(unpack_structure_header)
   211727    0.134    0.000    0.279    0.000 inspect.py:391(_has_code_flag)
   208757    0.043    0.000    0.258    0.000 __init__.py:289(unpack)
   418504    0.214    0.000    0.235    0.000 {method 'settimeout' of '_socket.socket' objects}
   601881    0.131    0.000    0.220    0.000 _data.py:158(index)
      360    0.001    0.000    0.215    0.001 optimizer.py:130(maybe_fallback)
   208757    0.214    0.000    0.214    0.000 {built-in method neo4j._rust.codec.packstream.v1.unpack}
   211727    0.096    0.000    0.208    0.000 inspect.py:412(_has_coroutine_mark)
4167612/4165632    0.199    0.000    0.204    0.000 {built-in method builtins.isinstance}
   208757    0.069    0.000    0.172    0.000 __init__.py:463(_unpack_structure_header)
   604131    0.133    0.000    0.158    0.000 _data.py:74(_super_getitem_single)
