         7568835 function calls (7327574 primitive calls) in 7.865 seconds

   Ordered by: cumulative time
   List reduced from 654 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000   10.414    3.471 threading.py:1117(join)
        3    0.000    0.000   10.372    3.457 threading.py:1155(_wait_for_tstate_lock)
   808/11    0.009    0.000    7.824    0.711 {method 'acquire' of '_thread.lock' objects}
      3/1    0.000    0.000    7.824    7.824 threading.py:1018(_bootstrap)
      3/1    0.000    0.000    7.824    7.824 threading.py:1058(_bootstrap_inner)
      3/1    0.000    0.000    7.824    7.824 threading.py:1001(run)
        1    0.000    0.000    7.824    7.824 CPU_utilization_logger.py:65(monitor)
        1    0.003    0.003    7.824    7.824 Training.py:335(_start_training)
       90    0.047    0.001    6.032    0.067 Training.py:247(_run_epoch)
      198    0.004    0.000    5.092    0.026 CPU_utilization_logger.py:21(_sample_process_cpu)
      540    0.003    0.000    3.968    0.007 dataloader.py:728(__next__)
      540    0.001    0.000    3.916    0.007 dataloader.py:787(_next_data)
      450    0.003    0.000    3.815    0.008 fetch.py:47(fetch)
      450    0.003    0.000    3.775    0.008 node_loader.py:143(collate_fn)
434540/217968    0.080    0.000    3.681    0.000 _psosx.py:343(wrapper)
    14850    0.007    0.000    3.422    0.000 _common.py:191(inner)
8083/3763    0.003    0.000    3.413    0.001 {built-in method builtins.next}
   214685    0.034    0.000    3.349    0.000 _psosx.py:411(ppid)
      198    0.019    0.000    3.313    0.017 __init__.py:951(children)
    11880    0.010    0.000    3.091    0.000 _bolt.py:849(fetch_message)
216574/216572    0.074    0.000    3.000    0.000 _common.py:367(wrapper)
      450    0.003    0.000    2.978    0.007 node_loader.py:154(filter_fn)
    11880    0.010    0.000    2.968    0.000 _common.py:76(pop)
      198    0.035    0.000    2.880    0.015 __init__.py:251(_ppid_map)
      450    0.003    0.000    2.837    0.006 utils.py:209(filter_custom_store)
      450    0.003    0.000    2.813    0.006 feature_store.py:344(multi_get_tensor)
      450    0.169    0.000    2.784    0.006 Neo4jAbstractFS.py:147(_multi_get_tensor)
    11880    0.017    0.000    2.776    0.000 _common.py:47(_buffer_one_chunk)
   216168    0.047    0.000    2.636    0.000 _psosx.py:370(_get_kinfo_proc)
    35514    0.028    0.000    2.612    0.000 _common.py:334(receive_into_buffer)
    35521    0.013    0.000    2.552    0.000 _bolt_socket.py:460(recv_into)
      450    0.180    0.000    2.548    0.006 Neo4jUDPFeatureStore.py:191(_get_both_from_db)
    10890    0.008    0.000    2.486    0.000 result.py:392(__iter__)
      450    0.072    0.000    2.334    0.005 Neo4jUDPFeatureStore.py:329(_fetch_sampled_gcnnorm_bundle)
    36511    0.015    0.000    2.284    0.000 _bolt_socket.py:409(_wait_for_io)
    35521    0.016    0.000    2.281    0.000 _bolt_socket.py:389(_wait_for_read)
    35521    2.187    0.000    2.226    0.000 {method 'recv_into' of '_socket.socket' objects}
   216168    2.151    0.000    2.151    0.000 {built-in method psutil._psutil_osx.proc_kinfo_oneshot}
       90    0.001    0.000    1.741    0.019 Training.py:165(_evaluate_split)
       90    0.008    0.000    1.740    0.019 evaluate.py:36(evaluate)
      360    0.011    0.000    1.351    0.004 Training.py:235(_run_batch)
      990    0.006    0.000    1.018    0.001 session.py:254(run)
      990    0.004    0.000    0.962    0.001 result.py:180(_run)
      450    0.005    0.000    0.859    0.002 Neo4jJavaNeighborSampler.py:52(sample_from_nodes)
 4500/900    0.007    0.000    0.777    0.001 module.py:1747(_wrapped_call_impl)
      450    0.004    0.000    0.772    0.002 Neo4jAbstractGS.py:126(fetch_ordered_subgraph)
      990    0.001    0.000    0.677    0.001 result.py:434(_attach)
 4500/900    0.010    0.000    0.670    0.001 module.py:1755(_call_impl)
      450    0.084    0.000    0.613    0.001 preagg_adapters.py:220(forward)
      900    0.010    0.000    0.354    0.000 gcn_conv.py:227(forward)
      360    0.004    0.000    0.351    0.001 optimizer.py:465(wrapper)
       90    0.004    0.000    0.334    0.004 Neo4jAbstractGS.py:60(get_split)
      360    0.001    0.000    0.321    0.001 _tensor.py:592(backward)
      360    0.003    0.000    0.308    0.001 optimizer.py:60(_use_grad)
      360    0.002    0.000    0.292    0.001 adam.py:212(step)
      900    0.120    0.000    0.242    0.000 Neo4jUDPFeatureStore.py:398(_decode_packed_feature_rows)
      360    0.001    0.000    0.220    0.001 optimizer.py:130(maybe_fallback)
      990    0.004    0.000    0.194    0.000 _bolt6.py:276(run)
      360    0.091    0.000    0.190    0.001 Training.py:209(_get_model_kwargs)
      900    0.011    0.000    0.176    0.000 torch_geometric.nn.conv.gcn_conv_GCNConv_propagate_h89kv_my.py:116(propagate)
      360    0.003    0.000    0.139    0.000 __init__.py:243(backward)
     1980    0.002    0.000    0.136    0.000 _bolt.py:802(_append)
    11880    0.018    0.000    0.132    0.000 __init__.py:289(unpack)
     1980    0.003    0.000    0.131    0.000 _common.py:144(append_message)
      360    0.001    0.000    0.131    0.000 graph.py:815(_engine_run_backward)
      360    0.129    0.000    0.129    0.000 {method 'run_backward' of 'torch._C._EngineBase' objects}
    11880    0.114    0.000    0.114    0.000 {built-in method neo4j._rust.codec.packstream.v1.unpack}
    11880    0.011    0.000    0.112    0.000 _bolt6.py:504(_process_message)
      900    0.006    0.000    0.106    0.000 torch_geometric.nn.conv.gcn_conv_GCNConv_propagate_h89kv_my.py:34(collect)
     1980    0.002    0.000    0.106    0.000 __init__.py:225(pack_struct)
