Event,Time,Value
program_start,52954.735686041,1
nbr_training_datapoints,52954.787580291,1627
epoch_start,52955.813022875,1
cpu_utilization_percentage,52955.813994625,102.2
ram_usage_mb,52955.814270083,385.703125
start_batch_fetch,52955.814340833,1
cpu_utilization_percentage,52955.838649833,59.1
ram_usage_mb,52955.839305416,387.078125
cpu_utilization_percentage,52955.859197333,102.2
ram_usage_mb,52955.859489625,387.65625
cpu_utilization_percentage,52955.881028833,101.4
ram_usage_mb,52955.881309041,388.25
cpu_utilization_percentage,52955.90139275,94.9
ram_usage_mb,52955.901731166,388.359375
cache_hit,52955.90639725,0
cache_miss,52955.906598666,1047
remote_feature_fetch,52955.906754583,1
cpu_utilization_percentage,52955.921895125,79.2
ram_usage_mb,52955.922094958,390.453125
cpu_utilization_percentage,52955.941840041,101.5
ram_usage_mb,52955.942147375,393.921875
remote_feature_recieved,52955.954237875,1
cpu_utilization_percentage,52955.96185475,100.5
ram_usage_mb,52955.961981125,398.65625
cache_hit,52955.962536708,0
cache_miss,52955.962615125,1047
remote_feature_fetch,52955.962674291,1
cpu_utilization_percentage,52955.981070958,85.4
ram_usage_mb,52955.981326416,403.203125
cpu_utilization_percentage,52956.000766958,101.2
ram_usage_mb,52956.001066041,403.671875
remote_feature_recieved,52956.003339875,1
end_batch_fetch,52956.003651833,1
start_batch_processing,52956.003740625,1
batch_train_loss,52956.006211291,1.9824728965759277
cpu_utilization_percentage,52956.020139,102.6
ram_usage_mb,52956.0202885,410.9375
end_batch_processing,52956.022046541,1
start_batch_fetch,52956.022179,1
cpu_utilization_percentage,52956.040026875,63.4
ram_usage_mb,52956.04040025,412.5625
cpu_utilization_percentage,52956.057505416,101.4
ram_usage_mb,52956.057904666,412.578125
cpu_utilization_percentage,52956.077017666,94.9
ram_usage_mb,52956.077461125,412.578125
cache_hit,52956.082169291,0
cache_miss,52956.082260041,972
remote_feature_fetch,52956.082356083,1
cpu_utilization_percentage,52956.096364958,81.0
ram_usage_mb,52956.096804208,413.328125
cpu_utilization_percentage,52956.115847416,101.0
ram_usage_mb,52956.116072083,416.171875
remote_feature_recieved,52956.12509275,1
cache_hit,52956.126207291,0
cache_miss,52956.126305875,972
remote_feature_fetch,52956.126378458,1
cpu_utilization_percentage,52956.134964583,90.5
ram_usage_mb,52956.135163125,423.609375
cpu_utilization_percentage,52956.156082125,98.4
ram_usage_mb,52956.156624291,424.15625
remote_feature_recieved,52956.16754825,1
cpu_utilization_percentage,52956.175005125,101.4
end_batch_fetch,52956.175063416,1
ram_usage_mb,52956.175114666,424.15625
start_batch_processing,52956.175136375,1
batch_train_loss,52956.176914291,1.977013111114502
end_batch_processing,52956.178387875,1
start_batch_fetch,52956.178470833,1
cpu_utilization_percentage,52956.194841916,69.8
ram_usage_mb,52956.195110625,425.34375
cpu_utilization_percentage,52956.213451916,101.5
ram_usage_mb,52956.213664958,425.34375
cpu_utilization_percentage,52956.231252208,94.0
ram_usage_mb,52956.2314895,425.34375
cache_hit,52956.240827708,0
cache_miss,52956.240917166,1025
remote_feature_fetch,52956.240984791,1
cpu_utilization_percentage,52956.248936958,94.8
ram_usage_mb,52956.249144041,425.34375
cpu_utilization_percentage,52956.268899375,101.0
