         66715200 function calls (65769286 primitive calls) in 25.330 seconds

   Ordered by: cumulative time
   List reduced from 645 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   541424    0.304    0.000   30.250    0.000 result.py:392(__iter__)
        1    0.001    0.001   24.325   24.325 Training.py:167(_start_training)
      168    0.001    0.000   23.307    0.139 dataloader.py:736(__next__)
      168    0.000    0.000   23.299    0.139 dataloader.py:799(_next_data)
      160    0.001    0.000   23.142    0.145 fetch.py:49(fetch)
      160    0.001    0.000   22.749    0.142 node_loader.py:143(collate_fn)
   544300    0.121    0.000   20.693    0.000 _common.py:191(inner)
   542220    0.280    0.000   20.353    0.000 _bolt.py:849(fetch_message)
 2880/640    0.001    0.000   18.887    0.030 {built-in method builtins.next}
   542220    0.342    0.000   17.269    0.000 _common.py:76(pop)
   542220    0.353    0.000   15.398    0.000 _common.py:47(_buffer_one_chunk)
        8    0.015    0.002   15.156    1.895 Training.py:97(_run_epoch)
      160    0.001    0.000   13.791    0.086 node_loader.py:154(filter_fn)
      160    0.001    0.000   13.667    0.085 utils.py:209(filter_custom_store)
      160    0.001    0.000   13.658    0.085 feature_store.py:344(multi_get_tensor)
      320    0.196    0.001   13.418    0.042 NoCacheFeatureStore.py:26(_get_tensor)
      160    0.022    0.000   13.326    0.083 feature_store.py:337(_multi_get_tensor)
  1084440    0.638    0.000   12.569    0.000 _common.py:334(receive_into_buffer)
  1084440    0.310    0.000   11.696    0.000 _bolt_socket.py:460(recv_into)
  1084440    0.397    0.000   11.224    0.000 _bolt_socket.py:389(_wait_for_read)
      160    0.007    0.000    9.603    0.060 UniformSampler.py:63(sample_from_nodes)
      160    0.074    0.000    9.493    0.059 BaseLineGS.py:56(sample_from_nodes)
1870438/935219    0.313    0.000    7.517    0.000 _psosx.py:343(wrapper)
   928891    0.143    0.000    7.253    0.000 _psosx.py:411(ppid)
936484/935219    0.312    0.000    7.019    0.000 _common.py:367(wrapper)
   932687    0.180    0.000    6.685    0.000 _psosx.py:370(_get_kinfo_proc)
   932687    6.439    0.000    6.439    0.000 {built-in method psutil._psutil_osx.proc_kinfo_oneshot}
     1265    0.180    0.000    6.284    0.005 __init__.py:251(_ppid_map)
     1265    0.114    0.000    6.135    0.005 __init__.py:951(children)
  1085236    0.376    0.000    5.153    0.000 _bolt_socket.py:409(_wait_for_io)
        8    0.002    0.000    4.655    0.582 evaluate.py:9(evaluate)
     1265    1.813    0.001    4.271    0.003 {built-in method time.sleep}
4548/4456    0.009    0.000    3.508    0.001 Measurer.py:61(log_event)
  1084440    3.122    0.000    3.438    0.000 {method 'recv_into' of '_socket.socket' objects}
   542220    0.289    0.000    2.703    0.000 _bolt6.py:504(_process_message)
   540936    0.173    0.000    2.186    0.000 _common.py:241(on_records)
545456/543684    0.149    0.000    1.979    0.000 util.py:102(callback)
   540936    0.171    0.000    1.783    0.000 result.py:240(on_records)
   546072    0.299    0.000    1.678    0.000 _common.py:185(__getattr__)
   540936    0.135    0.000    1.611    0.000 {method 'extend' of 'collections.deque' objects}
  1081872    0.356    0.000    1.426    0.000 result.py:250(<genexpr>)
   544300    0.139    0.000    1.262    0.000 inspect.py:427(iscoroutinefunction)
  1077616    0.368    0.000    1.251    0.000 _data.py:124(__getitem__)
     1266    0.003    0.000    1.028    0.001 __init__.py:1025(cpu_percent)
   540936    0.497    0.000    0.930    0.000 _data.py:59(__new__)
      488    0.002    0.000    0.781    0.002 session.py:254(run)
   542220    0.159    0.000    0.727    0.000 __init__.py:456(unpack_structure_header)
      488    0.002    0.000    0.722    0.001 result.py:180(_run)
      488    0.000    0.000    0.643    0.001 result.py:434(_attach)
      136    0.006    0.000    0.642    0.005 Training.py:85(_run_batch)
   544300    0.316    0.000    0.639    0.000 inspect.py:391(_has_code_flag)
  1077616    0.305    0.000    0.510    0.000 _data.py:158(index)
   544300    0.228    0.000    0.484    0.000 inspect.py:412(_has_coroutine_mark)
4548/4472    0.192    0.000    0.457    0.000 {built-in method _io.open}
