Event,Time,Value
program_start,52804.237419666,1
nbr_training_datapoints,52804.237777583,140
epoch_start,52805.256489833,1
cpu_utilization_percentage,52805.265159,102.7
start_batch_fetch,52805.265481875,1
ram_usage_mb,52805.265889833,415.703125
end_batch_fetch,52805.2773125,1
start_batch_processing,52805.277443833,1
cpu_utilization_percentage,52805.287563333,125.4
ram_usage_mb,52805.2877475,426.15625
batch_train_loss,52805.28872625,1.9593429565429688
cpu_utilization_percentage,52805.308057958,98.2
ram_usage_mb,52805.308204208,431.34375
end_batch_processing,52805.3097045,1
start_batch_fetch,52805.309843166,1
end_batch_fetch,52805.312316708,1
start_batch_processing,52805.312427666,1
batch_train_loss,52805.313598291,1.9531654119491577
end_batch_processing,52805.314687708,1
epoch_end,52805.314823541,1
start_validation_accuracy,52805.314903583,1
cpu_utilization_percentage,52805.327523416,130.2
ram_usage_mb,52805.32784275,436.390625
cpu_utilization_percentage,52805.346383875,205.9
validation_accuracy,52805.346469458,0.15600000465380365
ram_usage_mb,52805.346526583,455.015625
validation_loss,52805.346583875,1.9629359245300293
end_validation_accuracy,52805.346682291,1
start_saving_weights,52805.346778625,1
end_saving_weights,52805.34688,1
epoch_start,52805.34704925,1
start_batch_fetch,52805.347260916,1
end_batch_fetch,52805.351018958,1
start_batch_processing,52805.351111416,1
batch_train_loss,52805.352434583,1.9454705715179443
end_batch_processing,52805.353916833,1
start_batch_fetch,52805.354020583,1
end_batch_fetch,52805.355844958,1
start_batch_processing,52805.355932458,1
batch_train_loss,52805.357155916,1.951955795288086
cpu_utilization_percentage,52805.364373791,143.7
ram_usage_mb,52805.364484625,462.359375
end_batch_processing,52805.365198333,1
epoch_end,52805.36536,1
start_validation_accuracy,52805.365416125,1
cpu_utilization_percentage,52805.384277333,125.5
ram_usage_mb,52805.384445458,462.921875
validation_accuracy,52805.387123625,0.1660000049837361
validation_loss,52805.387247458,1.9607030153274536
end_validation_accuracy,52805.387352083,1
start_saving_weights,52805.387454041,1
end_saving_weights,52805.387556625,1
epoch_start,52805.387656083,1
start_batch_fetch,52805.387840583,1
