Event,Time,Value
program_start,87251.477072291,1
nbr_training_datapoints,87251.477872958,140
epoch_start,87252.500322791,1
cpu_utilization_percentage,87252.500625958,101.6
start_batch_fetch,87252.500899083,1
ram_usage_mb,87252.501318125,457.75
end_batch_fetch,87252.503813166,1
start_batch_processing,87252.503984291,1
batch_train_loss,87252.508037416,1.9880545139312744
cpu_utilization_percentage,87252.526730583,163.1
ram_usage_mb,87252.526909833,469.953125
end_batch_processing,87252.529250958,1
start_batch_fetch,87252.529395541,1
end_batch_fetch,87252.530487708,1
start_batch_processing,87252.530714291,1
batch_train_loss,87252.532066583,1.8786998987197876
end_batch_processing,87252.533352625,1
epoch_end,87252.533513541,1
start_validation_accuracy,87252.533623583,1
cpu_utilization_percentage,87252.547166125,179.0
ram_usage_mb,87252.547324916,485.109375
validation_accuracy,87252.551943916,0.07600000201434386
validation_loss,87252.552056166,1.966505527496338
end_validation_accuracy,87252.552130583,1
start_saving_weights,87252.552214458,1
end_saving_weights,87252.552296458,1
epoch_start,87252.552382541,1
start_batch_fetch,87252.552501708,1
end_batch_fetch,87252.553106125,1
start_batch_processing,87252.553195541,1
batch_train_loss,87252.554570083,1.9838061332702637
end_batch_processing,87252.555868583,1
start_batch_fetch,87252.555978458,1
end_batch_fetch,87252.556488458,1
start_batch_processing,87252.556581041,1
batch_train_loss,87252.557607208,1.8631508350372314
end_batch_processing,87252.558653083,1
epoch_end,87252.5588055,1
start_validation_accuracy,87252.558887041,1
cpu_utilization_percentage,87252.5678355,192.0
ram_usage_mb,87252.567980458,498.28125
validation_accuracy,87252.573192083,0.07200000196939609
validation_loss,87252.573316708,1.9686152935028076
end_validation_accuracy,87252.573389166,1
epoch_start,87252.573463791,1
start_batch_fetch,87252.573572541,1
end_batch_fetch,87252.5745445,1
start_batch_processing,87252.574630458,1
batch_train_loss,87252.576060708,1.9844611883163452
end_batch_processing,87252.577510583,1
start_batch_fetch,87252.577611333,1
end_batch_fetch,87252.578137291,1
start_batch_processing,87252.578214458,1
batch_train_loss,87252.579379125,1.8524768352508545
end_batch_processing,87252.580507166,1
epoch_end,87252.588298958,1
cpu_utilization_percentage,87252.588373666,198.3
start_validation_accuracy,87252.5884255,1
ram_usage_mb,87252.5884435,514.625
validation_accuracy,87252.593870375,0.07200000196939609
validation_loss,87252.594015833,1.9702482223510742
end_validation_accuracy,87252.59409525,1
epoch_start,87252.59416625,1
start_batch_fetch,87252.594276333,1
end_batch_fetch,87252.595266208,1
start_batch_processing,87252.595346166,1
batch_train_loss,87252.596629875,1.982557773590088
end_batch_processing,87252.598071,1
start_batch_fetch,87252.598186083,1
end_batch_fetch,87252.598669416,1
start_batch_processing,87252.598743791,1
batch_train_loss,87252.599681416,1.839158296585083
end_batch_processing,87252.60068425,1
epoch_end,87252.600817083,1
start_validation_accuracy,87252.600922666,1
cpu_utilization_percentage,87252.609082625,180.0
ram_usage_mb,87252.6094465,520.96875
validation_accuracy,87252.615196375,0.07200000196939609
validation_loss,87252.615291875,1.971938967704773
end_validation_accuracy,87252.6153485,1
epoch_start,87252.615408208,1
start_batch_fetch,87252.615505791,1
end_batch_fetch,87252.616469,1
start_batch_processing,87252.616543208,1
batch_train_loss,87252.618072958,1.9792437553405762
end_batch_processing,87252.619419458,1
start_batch_fetch,87252.619545708,1
end_batch_fetch,87252.62022425,1
start_batch_processing,87252.620289833,1
batch_train_loss,87252.621323708,1.8236865997314453
cpu_utilization_percentage,87252.628710041,210.4
ram_usage_mb,87252.628833083,539.984375
end_batch_processing,87252.6296615,1
epoch_end,87252.629847125,1
start_validation_accuracy,87252.6299175,1
validation_accuracy,87252.635360708,0.07200000196939609
validation_loss,87252.635461291,1.9736340045928955
end_validation_accuracy,87252.635520708,1
epoch_start,87252.635625583,1
start_batch_fetch,87252.635714041,1
end_batch_fetch,87252.636308041,1
start_batch_processing,87252.636378166,1
batch_train_loss,87252.637651125,1.975723385810852
end_batch_processing,87252.639003666,1
start_batch_fetch,87252.639100166,1
end_batch_fetch,87252.639653291,1
start_batch_processing,87252.639813833,1
batch_train_loss,87252.640772291,1.8043901920318604
cpu_utilization_percentage,87252.649957916,172.2
ram_usage_mb,87252.650125791,541.484375
end_batch_processing,87252.650276083,1
epoch_end,87252.650389541,1
start_validation_accuracy,87252.650457208,1
validation_accuracy,87252.655564583,0.07600000215938589
validation_loss,87252.655699875,1.974963665008545
end_validation_accuracy,87252.655766708,1
epoch_start,87252.655843958,1
start_batch_fetch,87252.655946208,1
end_batch_fetch,87252.656798208,1
start_batch_processing,87252.656872208,1
batch_train_loss,87252.658282375,1.971514105796814
end_batch_processing,87252.659542958,1
start_batch_fetch,87252.659689583,1
end_batch_fetch,87252.660196416,1
start_batch_processing,87252.66027825,1
batch_train_loss,87252.661312666,1.777576208114624
cpu_utilization_percentage,87252.669104333,176.6
ram_usage_mb,87252.669321958,546.4375
end_batch_processing,87252.669858041,1
epoch_end,87252.670031083,1
start_validation_accuracy,87252.6700905,1
validation_accuracy,87252.675437333,0.10200000295919351
validation_loss,87252.675562708,1.976281762123108
end_validation_accuracy,87252.675627291,1
epoch_start,87252.67569075,1
start_batch_fetch,87252.6757825,1
end_batch_fetch,87252.676259958,1
start_batch_processing,87252.676325583,1
batch_train_loss,87252.6775305,1.9659135341644287
end_batch_processing,87252.679030583,1
start_batch_fetch,87252.679191916,1
end_batch_fetch,87252.679757333,1
start_batch_processing,87252.679844958,1
batch_train_loss,87252.681004416,1.7489023208618164
cpu_utilization_percentage,87252.689288833,170.8
ram_usage_mb,87252.689434083,546.578125
end_batch_processing,87252.689619583,1
epoch_end,87252.689757791,1
start_validation_accuracy,87252.689835208,1
validation_accuracy,87252.695243458,0.12000000352406355
validation_loss,87252.695464583,1.977736473083496
end_validation_accuracy,87252.695556666,1
epoch_start,87252.695637166,1
start_batch_fetch,87252.695759958,1
end_batch_fetch,87252.696389708,1
start_batch_processing,87252.696480041,1
batch_train_loss,87252.697946583,1.958478569984436
end_batch_processing,87252.699469208,1
start_batch_fetch,87252.699636333,1
end_batch_fetch,87252.700152708,1
start_batch_processing,87252.700252833,1
batch_train_loss,87252.701309083,1.7110939025878906
cpu_utilization_percentage,87252.709456041,168.3
ram_usage_mb,87252.709613083,546.59375
end_batch_processing,87252.709904625,1
epoch_end,87252.710101791,1
start_validation_accuracy,87252.710187291,1
validation_accuracy,87252.716031458,0.15200000431877178
validation_loss,87252.716124416,1.9776945114135742
end_validation_accuracy,87252.716189708,1
epoch_start,87252.716262333,1
start_batch_fetch,87252.71637225,1
end_batch_fetch,87252.717373,1
start_batch_processing,87252.717432208,1
batch_train_loss,87252.718935958,1.947512149810791
end_batch_processing,87252.720341416,1
start_batch_fetch,87252.720408208,1
end_batch_fetch,87252.720961625,1
start_batch_processing,87252.721088166,1
batch_train_loss,87252.722143833,1.6700690984725952
cpu_utilization_percentage,87252.730530958,177.1
ram_usage_mb,87252.730687583,551.640625
end_batch_processing,87252.731628041,1
epoch_end,87252.731900583,1
start_validation_accuracy,87252.731987416,1
validation_accuracy,87252.737636291,0.16600000469365203
validation_loss,87252.737765666,1.9766792058944702
end_validation_accuracy,87252.737842416,1
epoch_start,87252.737914333,1
start_batch_fetch,87252.738011833,1
end_batch_fetch,87252.738495083,1
start_batch_processing,87252.738572041,1
batch_train_loss,87252.739933125,1.9343178272247314
end_batch_processing,87252.741254166,1
start_batch_fetch,87252.741352916,1
end_batch_fetch,87252.741786583,1
start_batch_processing,87252.741937958,1
batch_train_loss,87252.742937791,1.6230041980743408
cpu_utilization_percentage,87252.751469708,166.6
ram_usage_mb,87252.751605833,551.671875
end_batch_processing,87252.751968875,1
epoch_end,87252.752090291,1
start_validation_accuracy,87252.752198208,1
validation_accuracy,87252.757589666,0.18200000501848512
validation_loss,87252.75770575,1.9734772443771362
end_validation_accuracy,87252.757780333,1
epoch_start,87252.757852291,1
start_batch_fetch,87252.757968166,1
end_batch_fetch,87252.758501458,1
start_batch_processing,87252.758576666,1
batch_train_loss,87252.759916916,1.9167299270629883
end_batch_processing,87252.761475041,1
start_batch_fetch,87252.761574708,1
end_batch_fetch,87252.762124,1
start_batch_processing,87252.762266458,1
cpu_utilization_percentage,87252.770591333,170.1
ram_usage_mb,87252.770747958,551.96875
batch_train_loss,87252.77128675,1.55961012840271
end_batch_processing,87252.772458916,1
epoch_end,87252.772646333,1
start_validation_accuracy,87252.7727465,1
validation_accuracy,87252.777976583,0.19000000518090168
validation_loss,87252.778109291,1.9682002067565918
end_validation_accuracy,87252.778219375,1
epoch_start,87252.778302291,1
start_batch_fetch,87252.778430458,1
end_batch_fetch,87252.779419333,1
start_batch_processing,87252.779589791,1
batch_train_loss,87252.781159375,1.8956687450408936
end_batch_processing,87252.782731666,1
start_batch_fetch,87252.782907458,1
cpu_utilization_percentage,87252.79117675,178.5
end_batch_fetch,87252.791230833,1
ram_usage_mb,87252.7913575,556.921875
start_batch_processing,87252.791412416,1
batch_train_loss,87252.792753541,1.4875133037567139
end_batch_processing,87252.793845333,1
epoch_end,87252.793970291,1
start_validation_accuracy,87252.794080875,1
validation_accuracy,87252.800676833,0.19800000527079722
validation_loss,87252.800783791,1.961946725845337
end_validation_accuracy,87252.800849083,1
start_saving_weights,87252.800915458,1
end_saving_weights,87252.800975041,1
epoch_start,87252.801045791,1
start_batch_fetch,87252.801151833,1
end_batch_fetch,87252.801651041,1
start_batch_processing,87252.801717,1
batch_train_loss,87252.803136458,1.8692500591278076
cpu_utilization_percentage,87252.811364416,184.3
ram_usage_mb,87252.811491208,565.484375
end_batch_processing,87252.811904291,1
