Event,Time,Value
program_start,8967.4688255,1
nbr_training_datapoints,8967.4848265,1617
epoch_start,8968.508642333,1
cpu_utilization_percentage,8968.508780791,101.2
ram_usage_mb,8968.509313583,400.328125
cpu_utilization_percentage,8968.535631458,98.8
ram_usage_mb,8968.536198875,400.921875
cpu_utilization_percentage,8968.644934416,19.0
ram_usage_mb,8968.64510025,505.859375
cpu_utilization_percentage,8968.664902958,36.6
ram_usage_mb,8968.665022333,518.234375
cpu_utilization_percentage,8968.684256708,35.1
ram_usage_mb,8968.684374666,525.0
cpu_utilization_percentage,8968.703872208,35.8
ram_usage_mb,8968.703998666,538.21875
cpu_utilization_percentage,8968.723537041,35.8
ram_usage_mb,8968.723648708,571.359375
cpu_utilization_percentage,8968.743397666,36.7
ram_usage_mb,8968.743541208,584.96875
cpu_utilization_percentage,8968.763078291,35.9
ram_usage_mb,8968.763223375,594.71875
cpu_utilization_percentage,8968.7825055,35.4
ram_usage_mb,8968.782601208,611.71875
cpu_utilization_percentage,8968.801968166,35.3
ram_usage_mb,8968.802077333,620.078125
cpu_utilization_percentage,8968.821255541,34.8
ram_usage_mb,8968.821380666,628.703125
cpu_utilization_percentage,8968.840576166,34.9
ram_usage_mb,8968.840695833,637.171875
cpu_utilization_percentage,8968.859923125,34.8
ram_usage_mb,8968.86009025,639.984375
cpu_utilization_percentage,8968.879402291,35.2
ram_usage_mb,8968.879567708,643.5
cpu_utilization_percentage,8968.898768583,35.3
ram_usage_mb,8968.898911041,649.125
cpu_utilization_percentage,8968.918770666,37.2
ram_usage_mb,8968.918914125,651.578125
cpu_utilization_percentage,8968.938289375,35.8
ram_usage_mb,8968.938402958,656.65625
cpu_utilization_percentage,8968.957853333,35.8
ram_usage_mb,8968.957983708,660.5625
cpu_utilization_percentage,8968.977374333,35.5
ram_usage_mb,8968.977485166,662.984375
cpu_utilization_percentage,8968.994896833,39.9
ram_usage_mb,8968.995034583,665.234375
cpu_utilization_percentage,8969.014313958,35.3
ram_usage_mb,8969.014402541,667.875
cpu_utilization_percentage,8969.033884,35.8
ram_usage_mb,8969.034018833,670.390625
cpu_utilization_percentage,8969.053350416,36.6
ram_usage_mb,8969.053469791,671.125
cpu_utilization_percentage,8969.072780625,35.2
ram_usage_mb,8969.072905375,673.265625
cpu_utilization_percentage,8969.092661416,36.2
ram_usage_mb,8969.092785666,678.796875
cpu_utilization_percentage,8969.112337791,36.0
ram_usage_mb,8969.112460125,681.515625
cpu_utilization_percentage,8969.131497458,36.3
ram_usage_mb,8969.131648333,683.1875
cpu_utilization_percentage,8969.150478125,37.9
ram_usage_mb,8969.1506,685.375
cpu_utilization_percentage,8969.168378208,35.6
ram_usage_mb,8969.168536291,688.5
cpu_utilization_percentage,8969.186335333,37.9
ram_usage_mb,8969.186481833,690.71875
cpu_utilization_percentage,8969.205477083,34.3
ram_usage_mb,8969.205569958,692.046875
cpu_utilization_percentage,8969.224446791,33.8
ram_usage_mb,8969.224566625,695.484375
cpu_utilization_percentage,8969.243479291,33.9
ram_usage_mb,8969.24359525,700.1875
cpu_utilization_percentage,8969.261399166,38.0
ram_usage_mb,8969.261542875,704.890625
cpu_utilization_percentage,8969.280961291,35.7
ram_usage_mb,8969.281091166,711.03125
cpu_utilization_percentage,8969.300686666,36.3
ram_usage_mb,8969.300816708,716.03125
cpu_utilization_percentage,8969.320088041,34.8
ram_usage_mb,8969.320262125,716.5
cpu_utilization_percentage,8969.339701125,36.1
ram_usage_mb,8969.339808333,719.765625
cpu_utilization_percentage,8969.359249875,35.6
ram_usage_mb,8969.359360458,724.296875
cpu_utilization_percentage,8969.378528458,34.6
ram_usage_mb,8969.37864575,727.109375
cpu_utilization_percentage,8969.397951416,35.0
ram_usage_mb,8969.39810375,731.859375
cpu_utilization_percentage,8969.415844416,39.6
ram_usage_mb,8969.415949166,733.984375
cpu_utilization_percentage,8969.433826333,38.9
ram_usage_mb,8969.433959708,735.578125
cpu_utilization_percentage,8969.453077125,34.5
ram_usage_mb,8969.453193583,738.140625
cpu_utilization_percentage,8969.471514833,38.2
ram_usage_mb,8969.471673291,738.734375
cpu_utilization_percentage,8969.491182666,36.0
ram_usage_mb,8969.491317208,741.25
cpu_utilization_percentage,8969.511033083,36.6
ram_usage_mb,8969.511179291,744.765625
cpu_utilization_percentage,8969.530571666,35.7
ram_usage_mb,8969.530697833,747.25
cpu_utilization_percentage,8969.5501515,35.8
ram_usage_mb,8969.55027625,752.03125
cpu_utilization_percentage,8969.569469625,34.6
ram_usage_mb,8969.569641916,752.75
cpu_utilization_percentage,8969.589204666,36.5
ram_usage_mb,8969.589312791,753.71875
cpu_utilization_percentage,8969.608386416,34.5
ram_usage_mb,8969.608491583,755.859375
cpu_utilization_percentage,8969.627806541,35.2
ram_usage_mb,8969.627916291,757.78125
cpu_utilization_percentage,8969.647182958,35.1
ram_usage_mb,8969.6472655,760.828125
cpu_utilization_percentage,8969.667767625,38.8
ram_usage_mb,8969.667916458,764.515625
cpu_utilization_percentage,8969.687806083,37.6
ram_usage_mb,8969.687920875,766.46875
cpu_utilization_percentage,8969.707755166,37.2
ram_usage_mb,8969.707883541,770.46875
cpu_utilization_percentage,8969.726890208,34.6
ram_usage_mb,8969.727000291,777.640625
cpu_utilization_percentage,8969.745577208,33.1
ram_usage_mb,8969.745689166,791.28125
cpu_utilization_percentage,8969.764265041,32.7
ram_usage_mb,8969.764367916,796.28125
cpu_utilization_percentage,8969.78306675,33.2
ram_usage_mb,8969.783173,801.96875
cpu_utilization_percentage,8969.802078333,33.8
ram_usage_mb,8969.802164208,808.859375
cpu_utilization_percentage,8969.820646666,32.5
ram_usage_mb,8969.820763875,812.5625
cpu_utilization_percentage,8969.839548916,33.4
ram_usage_mb,8969.839657666,819.078125
cpu_utilization_percentage,8969.858475083,33.5
ram_usage_mb,8969.858587583,822.109375
cpu_utilization_percentage,8969.877141958,32.5
ram_usage_mb,8969.877261041,824.078125
cpu_utilization_percentage,8969.895964958,33.0
ram_usage_mb,8969.89613175,824.078125
cpu_utilization_percentage,8969.9148575,33.7
ram_usage_mb,8969.914979166,825.75
cpu_utilization_percentage,8969.933699541,33.2
ram_usage_mb,8969.933825291,828.546875
cpu_utilization_percentage,8969.952546291,33.3
ram_usage_mb,8969.9526615,831.046875
cpu_utilization_percentage,8969.971305458,32.9
ram_usage_mb,8969.971416041,833.8125
cpu_utilization_percentage,8969.990275625,33.7
ram_usage_mb,8969.990404041,839.328125
cpu_utilization_percentage,8970.009036041,32.8
ram_usage_mb,8970.009153541,843.65625
cpu_utilization_percentage,8970.028003166,33.6
ram_usage_mb,8970.028124291,846.53125
cpu_utilization_percentage,8970.046953583,33.7
ram_usage_mb,8970.04704775,848.3125
cpu_utilization_percentage,8970.065543291,32.3
ram_usage_mb,8970.065661541,851.25
cpu_utilization_percentage,8970.084475958,33.5
ram_usage_mb,8970.084583083,853.109375
cpu_utilization_percentage,8970.103346458,33.3
ram_usage_mb,8970.1034695,854.8125
cpu_utilization_percentage,8970.122902,35.6
ram_usage_mb,8970.123194166,866.9375
cpu_utilization_percentage,8970.142321333,34.4
ram_usage_mb,8970.142457333,886.859375
cpu_utilization_percentage,8970.161139125,33.3
ram_usage_mb,8970.161237041,889.484375
cpu_utilization_percentage,8970.180314875,34.4
ram_usage_mb,8970.180455708,892.28125
cpu_utilization_percentage,8970.199693208,35.0
ram_usage_mb,8970.199825666,896.0625
cpu_utilization_percentage,8970.219005708,75.1
ram_usage_mb,8970.219136916,908.015625
cpu_utilization_percentage,8970.238230375,34.6
ram_usage_mb,8970.238356083,921.515625
cpu_utilization_percentage,8970.257528666,34.9
ram_usage_mb,8970.257625083,927.359375
cpu_utilization_percentage,8970.277024541,35.3
ram_usage_mb,8970.277147791,948.203125
cpu_utilization_percentage,8970.296477708,35.3
ram_usage_mb,8970.296613958,980.03125
cpu_utilization_percentage,8970.315946708,35.2
ram_usage_mb,8970.31607825,987.84375
cpu_utilization_percentage,8970.335408208,35.2
ram_usage_mb,8970.335558125,1001.375
cpu_utilization_percentage,8970.354481458,34.1
ram_usage_mb,8970.35459525,1013.8125
cpu_utilization_percentage,8970.373905791,35.1
ram_usage_mb,8970.374056541,1024.296875
cpu_utilization_percentage,8970.393350791,35.2
ram_usage_mb,8970.393497041,1030.84375
cpu_utilization_percentage,8970.413341583,37.1
ram_usage_mb,8970.413518416,1040.890625
cpu_utilization_percentage,8970.433621375,38.3
ram_usage_mb,8970.433721791,1044.328125
cpu_utilization_percentage,8970.453096125,35.8
ram_usage_mb,8970.453216041,1047.765625
cpu_utilization_percentage,8970.470912458,37.0
ram_usage_mb,8970.47107025,1052.640625
cpu_utilization_percentage,8970.489854125,34.1
ram_usage_mb,8970.490002291,1055.28125
cpu_utilization_percentage,8970.507756541,38.0
ram_usage_mb,8970.507887166,1059.828125
cpu_utilization_percentage,8970.526863333,34.2
ram_usage_mb,8970.527005958,1063.625
cpu_utilization_percentage,8970.546287875,35.3
ram_usage_mb,8970.546384916,1065.8125
cpu_utilization_percentage,8970.564235708,38.4
ram_usage_mb,8970.564351458,1068.53125
cpu_utilization_percentage,8970.58409275,36.7
ram_usage_mb,8970.584230583,1071.234375
cpu_utilization_percentage,8970.603786041,36.1
ram_usage_mb,8970.603950541,1072.75
cpu_utilization_percentage,8970.623525125,36.0
ram_usage_mb,8970.623648916,1073.859375
cpu_utilization_percentage,8970.6432995,36.3
ram_usage_mb,8970.643437291,1080.140625
cpu_utilization_percentage,8970.663006791,34.0
ram_usage_mb,8970.663183125,1082.984375
cpu_utilization_percentage,8970.682186333,34.3
ram_usage_mb,8970.682316666,1085.40625
cpu_utilization_percentage,8970.701451083,34.3
ram_usage_mb,8970.701578666,1086.5625
cpu_utilization_percentage,8970.720558291,34.3
ram_usage_mb,8970.7206745,1089.828125
cpu_utilization_percentage,8970.739538916,33.6
