         101557022 function calls (99302334 primitive calls) in 60.052 seconds

   Ordered by: cumulative time
   List reduced from 966 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.015    0.015   51.068   51.068 Training.py:162(_start_training)
   699098    0.418    0.000   42.742    0.000 result.py:392(__iter__)
     2100    0.010    0.000   33.287    0.016 dataloader.py:736(__next__)
      100    0.036    0.000   31.172    0.312 evaluate.py:9(evaluate)
      400    0.001    0.000   29.492    0.074 dataloader.py:799(_next_data)
      300    0.003    0.000   29.373    0.098 fetch.py:49(fetch)
   702342    0.170    0.000   28.985    0.000 _common.py:191(inner)
      300    0.013    0.000   28.937    0.096 node_loader.py:143(collate_fn)
      300    0.026    0.000   28.832    0.096 UniformSampler.py:63(sample_from_nodes)
   700034    0.385    0.000   28.324    0.000 _bolt.py:849(fetch_message)
      300    0.225    0.001   27.614    0.092 PickleSafeGS.py:90(sample_from_nodes)
   700034    0.481    0.000   23.896    0.000 _common.py:76(pop)
   700034    0.502    0.000   21.575    0.000 _common.py:47(_buffer_one_chunk)
4308114/2154057    0.839    0.000   19.747    0.000 _psosx.py:343(wrapper)
     2951    0.324    0.000   18.997    0.006 __init__.py:951(children)
  2059951    0.355    0.000   18.137    0.000 _psosx.py:411(ppid)
2176845/2154057    0.823    0.000   17.872    0.000 _common.py:367(wrapper)
  1400068    0.887    0.000   17.540    0.000 _common.py:334(receive_into_buffer)
  2108479    0.485    0.000   16.850    0.000 _psosx.py:370(_get_kinfo_proc)
     2951    0.483    0.000   16.748    0.006 __init__.py:251(_ppid_map)
  1400068    0.437    0.000   16.281    0.000 _bolt_socket.py:460(recv_into)
  2108479   16.105    0.000   16.105    0.000 {built-in method psutil._psutil_osx.proc_kinfo_oneshot}
  1400068    0.605    0.000   15.286    0.000 _bolt_socket.py:389(_wait_for_read)
  101/100    0.228    0.002   15.030    0.150 Training.py:119(_run_epoch)
     2951    8.688    0.003   11.245    0.004 {built-in method time.sleep}
