         21171692 function calls (20804671 primitive calls) in 10.625 seconds

   Ordered by: cumulative time
   List reduced from 1098 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    9.451    9.451 Training.py:162(_start_training)
   163315    0.095    0.000    8.305    0.000 result.py:392(__iter__)
 1494/738    0.001    0.000    6.309    0.009 {built-in method builtins.next}
      102    0.002    0.000    6.286    0.062 base.py:38(__next__)
   164203    0.037    0.000    5.690    0.000 _common.py:191(inner)
   163558    0.087    0.000    5.569    0.000 _bolt.py:849(fetch_message)
      120    0.001    0.000    5.314    0.044 node_loader.py:154(filter_fn)
      120    0.001    0.000    5.220    0.043 utils.py:209(filter_custom_store)
      120    0.000    0.000    5.207    0.043 feature_store.py:344(multi_get_tensor)
      120    0.003    0.000    5.190    0.043 feature_store.py:337(_multi_get_tensor)
      240    0.085    0.000    5.128    0.021 PickleSafeFeatureStore.py:56(_get_tensor)
   163558    0.109    0.000    4.644    0.000 _common.py:76(pop)
      495    2.371    0.005    4.610    0.009 {built-in method time.sleep}
      7/6    0.014    0.002    4.602    0.767 Training.py:119(_run_epoch)
      126    0.001    0.000    4.356    0.035 dataloader.py:736(__next__)
   163558    0.101    0.000    4.093    0.000 _common.py:47(_buffer_one_chunk)
   327116    0.197    0.000    3.803    0.000 _common.py:334(receive_into_buffer)
   327116    0.096    0.000    3.530    0.000 _bolt_socket.py:460(recv_into)
   327123    0.121    0.000    3.350    0.000 _bolt_socket.py:389(_wait_for_read)
714610/357305    0.122    0.000    2.889    0.000 _psosx.py:343(wrapper)
      495    0.031    0.000    2.875    0.006 __init__.py:951(children)
      495    0.083    0.000    2.797    0.006 __init__.py:251(_ppid_map)
   341039    0.053    0.000    2.682    0.000 _psosx.py:411(ppid)
361247/357305    0.124    0.000    2.678    0.000 _common.py:367(wrapper)
        6    0.002    0.000    2.601    0.433 evaluate.py:9(evaluate)
   349419    0.071    0.000    2.529    0.000 _psosx.py:370(_get_kinfo_proc)
   349419    2.432    0.000    2.432    0.000 {built-in method psutil._psutil_osx.proc_kinfo_oneshot}
       24    0.000    0.000    2.412    0.101 dataloader.py:799(_next_data)
       18    0.000    0.000    2.412    0.134 fetch.py:49(fetch)
       18    0.000    0.000    2.412    0.134 node_loader.py:143(collate_fn)
      127    0.000    0.000    1.967    0.015 dataloader.py:1452(_get_data)
      127    0.000    0.000    1.933    0.015 dataloader.py:1297(_try_get_data)
      127    0.001    0.000    1.926    0.015 queues.py:98(get)
      102    0.000    0.000    1.917    0.019 dataloader.py:1487(_next_data)
      127    0.000    0.000    1.911    0.015 connection.py:253(poll)
      127    0.000    0.000    1.911    0.015 connection.py:439(_poll)
      127    0.001    0.000    1.910    0.015 connection.py:1122(wait)
      127    0.003    0.000    1.823    0.014 selectors.py:402(select)
       18    0.001    0.000    1.535    0.085 UniformSampler.py:63(sample_from_nodes)
       18    0.013    0.001    1.534    0.085 PickleSafeGS.py:90(sample_from_nodes)
   327368    0.116    0.000    1.430    0.000 _bolt_socket.py:409(_wait_for_io)
     3943    0.003    0.000    1.044    0.000 __init__.py:1025(cpu_percent)
   327116    0.960    0.000    1.011    0.000 {method 'recv_into' of '_socket.socket' objects}
   163558    0.090    0.000    0.818    0.000 _bolt6.py:504(_process_message)
   163150    0.052    0.000    0.658    0.000 _common.py:241(on_records)
164626/164055    0.046    0.000    0.596    0.000 util.py:102(callback)
   163150    0.054    0.000    0.535    0.000 result.py:240(on_records)
   164774    0.093    0.000    0.522    0.000 _common.py:185(__getattr__)
   163151    0.041    0.000    0.481    0.000 {method 'extend' of 'collections.deque' objects}
      102    0.005    0.000    0.453    0.004 Training.py:107(_run_batch)
   326300    0.114    0.000    0.440    0.000 result.py:250(<genexpr>)
   164203    0.043    0.000    0.393    0.000 inspect.py:427(iscoroutinefunction)
