Event,Time,Value
program_start,148430.792014125,1
nbr_training_datapoints,148430.79864275,140
epoch_start,148432.234885208,1
start_batch_fetch,148432.246586666,1
cpu_utilization_percentage,148432.247213708,95.9
ram_usage_mb,148432.247217916,575.375
end_batch_fetch,148432.287854208,1
batch_nbr_nodes_total,148432.287864666,372
batch_nbr_edges_total,148432.287868291,571
batch_nbr_seed_nodes,148432.287872916,30
start_batch_processing,148432.287874416,1
batch_train_loss,148432.288811791,1.9439724683761597
end_batch_processing,148432.289544583,1
start_batch_fetch,148432.289547791,1
end_batch_fetch,148432.318952708,1
batch_nbr_nodes_total,148432.318971041,324
batch_nbr_edges_total,148432.318976333,510
batch_nbr_seed_nodes,148432.318983333,30
start_batch_processing,148432.318985458,1
batch_train_loss,148432.319904833,1.963424563407898
end_batch_processing,148432.320685916,1
start_batch_fetch,148432.320698583,1
end_batch_fetch,148432.352550041,1
batch_nbr_nodes_total,148432.352558291,368
batch_nbr_edges_total,148432.352561083,581
batch_nbr_seed_nodes,148432.352565416,30
start_batch_processing,148432.352566708,1
batch_train_loss,148432.353341708,1.931801438331604
end_batch_processing,148432.35424375,1
start_batch_fetch,148432.354246791,1
end_batch_fetch,148432.386415916,1
batch_nbr_nodes_total,148432.386427291,366
batch_nbr_edges_total,148432.386430458,622
batch_nbr_seed_nodes,148432.386434916,30
start_batch_processing,148432.386436333,1
batch_train_loss,148432.387325583,1.9439735412597656
end_batch_processing,148432.388060458,1
epoch_end,148432.388079666,1
start_validation_accuracy,148432.388081041,1
validation_accuracy,148432.728098583,0.1600000049888355
validation_loss,148432.728104083,1.94688081741333
end_validation_accuracy,148432.728106833,1
start_saving_weights,148432.728109291,1
end_saving_weights,148432.728112375,1
epoch_start,148432.728116583,1
start_batch_fetch,148432.728156208,1
end_batch_fetch,148432.760110916,1
batch_nbr_nodes_total,148432.760120416,376
batch_nbr_edges_total,148432.760124,574
batch_nbr_seed_nodes,148432.760128416,30
start_batch_processing,148432.760129875,1
batch_train_loss,148432.760982166,1.9120992422103882
end_batch_processing,148432.761660791,1
start_batch_fetch,148432.76166325,1
end_batch_fetch,148432.789679208,1
batch_nbr_nodes_total,148432.789688333,327
batch_nbr_edges_total,148432.789691208,510
batch_nbr_seed_nodes,148432.789695708,30
start_batch_processing,148432.789697041,1
batch_train_loss,148432.790541208,1.9453486204147339
end_batch_processing,148432.791179041,1
start_batch_fetch,148432.791182416,1
end_batch_fetch,148432.820945041,1
batch_nbr_nodes_total,148432.820953083,362
batch_nbr_edges_total,148432.820956458,579
batch_nbr_seed_nodes,148432.820960583,30
start_batch_processing,148432.820961958,1
batch_train_loss,148432.821778958,1.9101436138153076
end_batch_processing,148432.822415291,1
start_batch_fetch,148432.822418,1
end_batch_fetch,148432.851346,1
batch_nbr_nodes_total,148432.851353291,361
batch_nbr_edges_total,148432.851356333,633
batch_nbr_seed_nodes,148432.851360166,30
start_batch_processing,148432.851361583,1
batch_train_loss,148432.852051333,1.9216781854629517
end_batch_processing,148432.852680458,1
epoch_end,148432.852689916,1
start_validation_accuracy,148432.852691416,1
validation_accuracy,148433.190216291,0.18800000573859596
validation_loss,148433.190221416,1.9391117095947266
end_validation_accuracy,148433.190223375,1
start_saving_weights,148433.19022525,1
end_saving_weights,148433.190227958,1
epoch_start,148433.190231125,1
start_batch_fetch,148433.190265541,1
end_batch_fetch,148433.219652958,1
batch_nbr_nodes_total,148433.219660041,374
batch_nbr_edges_total,148433.219663083,575
batch_nbr_seed_nodes,148433.219666791,30
start_batch_processing,148433.219668166,1
batch_train_loss,148433.220363625,1.8845800161361694
end_batch_processing,148433.22100325,1
start_batch_fetch,148433.2210065,1
end_batch_fetch,148433.248655583,1
batch_nbr_nodes_total,148433.248661333,328
batch_nbr_edges_total,148433.248664125,510
batch_nbr_seed_nodes,148433.248668041,30
start_batch_processing,148433.248669416,1
batch_train_loss,148433.249290375,1.9314630031585693
end_batch_processing,148433.249811,1
start_batch_fetch,148433.249813166,1
cpu_utilization_percentage,148433.263701291,55.5
ram_usage_mb,148433.263704166,585.953125
end_batch_fetch,148433.283255458,1
batch_nbr_nodes_total,148433.283260916,366
batch_nbr_edges_total,148433.283263875,580
batch_nbr_seed_nodes,148433.283267833,30
start_batch_processing,148433.283269541,1
batch_train_loss,148433.283931708,1.888810396194458
end_batch_processing,148433.284500916,1
start_batch_fetch,148433.284503541,1
end_batch_fetch,148433.315059958,1
batch_nbr_nodes_total,148433.3150655,371
batch_nbr_edges_total,148433.315068375,626
batch_nbr_seed_nodes,148433.315072041,30
start_batch_processing,148433.315073416,1
batch_train_loss,148433.3156895,1.8983343839645386
end_batch_processing,148433.316246541,1
epoch_end,148433.316254333,1
start_validation_accuracy,148433.316255916,1
validation_accuracy,148433.645882916,0.2020000061859972
validation_loss,148433.645887583,1.9304934740066528
end_validation_accuracy,148433.645890291,1
start_saving_weights,148433.645892666,1
end_saving_weights,148433.64589475,1
epoch_start,148433.645898416,1
start_batch_fetch,148433.645937958,1
end_batch_fetch,148433.675960708,1
batch_nbr_nodes_total,148433.675968166,382
batch_nbr_edges_total,148433.675971291,575
batch_nbr_seed_nodes,148433.675975541,30
start_batch_processing,148433.675976875,1
batch_train_loss,148433.67664875,1.8566868305206299
end_batch_processing,148433.677257166,1
start_batch_fetch,148433.677259583,1
end_batch_fetch,148433.704103833,1
batch_nbr_nodes_total,148433.704109791,325
batch_nbr_edges_total,148433.704112791,510
batch_nbr_seed_nodes,148433.704116625,30
start_batch_processing,148433.704118083,1
batch_train_loss,148433.704732458,1.916703701019287
end_batch_processing,148433.705276833,1
start_batch_fetch,148433.705279583,1
end_batch_fetch,148433.741645916,1
batch_nbr_nodes_total,148433.741660791,363
batch_nbr_edges_total,148433.74166425,579
batch_nbr_seed_nodes,148433.741672208,30
start_batch_processing,148433.74167775,1
batch_train_loss,148433.742742958,1.859382152557373
end_batch_processing,148433.743496166,1
start_batch_fetch,148433.743500458,1
end_batch_fetch,148433.778644208,1
batch_nbr_nodes_total,148433.778658208,365
batch_nbr_edges_total,148433.778661583,623
batch_nbr_seed_nodes,148433.778666166,30
start_batch_processing,148433.7786675,1
batch_train_loss,148433.779646375,1.8823105096817017
end_batch_processing,148433.780375666,1
epoch_end,148433.780389,1
start_validation_accuracy,148433.780390666,1
validation_accuracy,148434.104227833,0.21800000622074625
validation_loss,148434.104232541,1.9192973375320435
end_validation_accuracy,148434.1042345,1
start_saving_weights,148434.104236458,1
end_saving_weights,148434.104238541,1
epoch_start,148434.104241541,1
start_batch_fetch,148434.104276,1
end_batch_fetch,148434.134802708,1
batch_nbr_nodes_total,148434.134810708,382
batch_nbr_edges_total,148434.134813791,573
batch_nbr_seed_nodes,148434.134818,30
start_batch_processing,148434.134819916,1
batch_train_loss,148434.135545375,1.8215237855911255
end_batch_processing,148434.136209666,1
