Event,Time,Value
program_start,148639.777642791,1
sampling_backend,148639.779088458,pyg-lib
nbr_training_datapoints,148639.7794305,140
epoch_start,148641.218727,1
cpu_utilization_percentage,148641.232544708,100.3
ram_usage_mb,148641.23255075,606.703125
start_batch_fetch,148641.232595208,1
end_batch_fetch,148641.233498,1
batch_nbr_nodes_total,148641.233510583,301
batch_nbr_edges_total,148641.233515541,469
batch_nbr_seed_nodes,148641.233521458,30
start_batch_processing,148641.233523666,1
batch_train_loss,148641.234832166,1.9726372957229614
end_batch_processing,148641.235862083,1
start_batch_fetch,148641.235866,1
end_batch_fetch,148641.236704583,1
batch_nbr_nodes_total,148641.236724375,396
batch_nbr_edges_total,148641.236728916,608
batch_nbr_seed_nodes,148641.236735458,30
start_batch_processing,148641.236737833,1
batch_train_loss,148641.2379975,1.946225881576538
end_batch_processing,148641.239130625,1
start_batch_fetch,148641.239134916,1
end_batch_fetch,148641.239786,1
batch_nbr_nodes_total,148641.239792708,346
batch_nbr_edges_total,148641.239797041,569
batch_nbr_seed_nodes,148641.239802583,30
start_batch_processing,148641.239804708,1
batch_train_loss,148641.240643291,1.9257174730300903
end_batch_processing,148641.241385291,1
start_batch_fetch,148641.241387916,1
end_batch_fetch,148641.241845,1
batch_nbr_nodes_total,148641.241850791,371
batch_nbr_edges_total,148641.241854375,624
batch_nbr_seed_nodes,148641.241860125,30
start_batch_processing,148641.241862166,1
batch_train_loss,148641.242583333,1.945885181427002
end_batch_processing,148641.243282791,1
epoch_end,148641.243293708,1
start_validation_accuracy,148641.243295541,1
validation_accuracy,148641.251002458,0.15000000480394504
validation_loss,148641.251007458,1.9448375701904297
end_validation_accuracy,148641.251009708,1
start_saving_weights,148641.251011833,1
end_saving_weights,148641.251014666,1
epoch_start,148641.251019166,1
start_batch_fetch,148641.251061208,1
end_batch_fetch,148641.251816166,1
batch_nbr_nodes_total,148641.251835583,299
batch_nbr_edges_total,148641.251844791,469
batch_nbr_seed_nodes,148641.251850583,30
start_batch_processing,148641.251852666,1
batch_train_loss,148641.25310175,1.9392619132995605
end_batch_processing,148641.2540165,1
start_batch_fetch,148641.254019083,1
end_batch_fetch,148641.254566666,1
batch_nbr_nodes_total,148641.254579041,392
batch_nbr_edges_total,148641.254583791,612
batch_nbr_seed_nodes,148641.254591583,30
start_batch_processing,148641.254593166,1
batch_train_loss,148641.25550275,1.9204928874969482
end_batch_processing,148641.256112625,1
start_batch_fetch,148641.256115041,1
end_batch_fetch,148641.256465916,1
batch_nbr_nodes_total,148641.256471166,354
batch_nbr_edges_total,148641.256474458,581
batch_nbr_seed_nodes,148641.256478541,30
start_batch_processing,148641.25648,1
batch_train_loss,148641.257161458,1.9003212451934814
end_batch_processing,148641.257793208,1
start_batch_fetch,148641.257796708,1
end_batch_fetch,148641.258317375,1
batch_nbr_nodes_total,148641.258322958,376
batch_nbr_edges_total,148641.258326083,624
batch_nbr_seed_nodes,148641.258330708,30
start_batch_processing,148641.258332291,1
batch_train_loss,148641.259218333,1.9314390420913696
end_batch_processing,148641.259927333,1
epoch_end,148641.259938833,1
start_validation_accuracy,148641.259940666,1
validation_accuracy,148641.267752333,0.17000000524624695
validation_loss,148641.267756708,1.9368668794631958
end_validation_accuracy,148641.267758958,1
start_saving_weights,148641.267761125,1
end_saving_weights,148641.267763541,1
epoch_start,148641.267768083,1
start_batch_fetch,148641.267815416,1
end_batch_fetch,148641.268208625,1
batch_nbr_nodes_total,148641.268213916,298
batch_nbr_edges_total,148641.268216708,469
batch_nbr_seed_nodes,148641.268220333,30
start_batch_processing,148641.268221583,1
batch_train_loss,148641.268949625,1.919580101966858
end_batch_processing,148641.269686416,1
start_batch_fetch,148641.269694541,1
end_batch_fetch,148641.270210083,1
batch_nbr_nodes_total,148641.270216333,398
batch_nbr_edges_total,148641.270224416,609
batch_nbr_seed_nodes,148641.270228625,30
start_batch_processing,148641.270229833,1
batch_train_loss,148641.271165416,1.9023241996765137
end_batch_processing,148641.271853541,1
start_batch_fetch,148641.271855541,1
end_batch_fetch,148641.272246458,1
batch_nbr_nodes_total,148641.272251,360
batch_nbr_edges_total,148641.272253583,579
batch_nbr_seed_nodes,148641.272257333,30
start_batch_processing,148641.272258625,1
batch_train_loss,148641.272948541,1.8727927207946777
end_batch_processing,148641.27350225,1
start_batch_fetch,148641.273504833,1
end_batch_fetch,148641.273864333,1
batch_nbr_nodes_total,148641.273869375,383
batch_nbr_edges_total,148641.273872083,631
batch_nbr_seed_nodes,148641.273875916,30
start_batch_processing,148641.27387725,1
batch_train_loss,148641.274514291,1.9161516427993774
end_batch_processing,148641.275096083,1
epoch_end,148641.275104416,1
start_validation_accuracy,148641.27510575,1
validation_accuracy,148641.280338083,0.20400000635351312
validation_loss,148641.280342958,1.9261739253997803
end_validation_accuracy,148641.280345541,1
start_saving_weights,148641.280347875,1
end_saving_weights,148641.280350083,1
epoch_start,148641.280354041,1
start_batch_fetch,148641.280387708,1
end_batch_fetch,148641.280679916,1
batch_nbr_nodes_total,148641.280685583,295
batch_nbr_edges_total,148641.280688291,469
batch_nbr_seed_nodes,148641.280691791,30
start_batch_processing,148641.280692875,1
batch_train_loss,148641.281242875,1.8969922065734863
end_batch_processing,148641.281814916,1
start_batch_fetch,148641.281817541,1
end_batch_fetch,148641.282136458,1
batch_nbr_nodes_total,148641.282140625,397
batch_nbr_edges_total,148641.282143291,611
batch_nbr_seed_nodes,148641.282146958,30
start_batch_processing,148641.282148333,1
batch_train_loss,148641.282756833,1.8806583881378174
end_batch_processing,148641.283282416,1
start_batch_fetch,148641.2832845,1
end_batch_fetch,148641.283732958,1
batch_nbr_nodes_total,148641.283743458,356
batch_nbr_edges_total,148641.28375175,585
batch_nbr_seed_nodes,148641.283755166,30
start_batch_processing,148641.283756416,1
batch_train_loss,148641.284632833,1.8393224477767944
end_batch_processing,148641.285411375,1
start_batch_fetch,148641.285413125,1
end_batch_fetch,148641.285812041,1
batch_nbr_nodes_total,148641.285822166,365
batch_nbr_edges_total,148641.285824958,625
batch_nbr_seed_nodes,148641.285828125,30
start_batch_processing,148641.285829416,1
batch_train_loss,148641.286537333,1.9007776975631714
end_batch_processing,148641.2872235,1
epoch_end,148641.287232333,1
start_validation_accuracy,148641.287233708,1
validation_accuracy,148641.292173625,0.22400000701337808
validation_loss,148641.292177833,1.914637565612793
end_validation_accuracy,148641.292179666,1
start_saving_weights,148641.2921815,1
end_saving_weights,148641.292183125,1
epoch_start,148641.292186375,1
start_batch_fetch,148641.292214333,1
end_batch_fetch,148641.292574916,1
batch_nbr_nodes_total,148641.292580375,299
batch_nbr_edges_total,148641.292582875,469
batch_nbr_seed_nodes,148641.292586333,30
start_batch_processing,148641.292587541,1
batch_train_loss,148641.293255916,1.875322937965393
end_batch_processing,148641.293915833,1
start_batch_fetch,148641.293918416,1
end_batch_fetch,148641.294288583,1
batch_nbr_nodes_total,148641.294292333,399
batch_nbr_edges_total,148641.294294666,609
batch_nbr_seed_nodes,148641.294297583,30
start_batch_processing,148641.294298666,1
batch_train_loss,148641.294906541,1.8567742109298706
end_batch_processing,148641.295461958,1
start_batch_fetch,148641.295464125,1
end_batch_fetch,148641.295742125,1
batch_nbr_nodes_total,148641.295746041,358
batch_nbr_edges_total,148641.295748416,576
batch_nbr_seed_nodes,148641.295751583,30
start_batch_processing,148641.295752791,1
batch_train_loss,148641.296291375,1.79862380027771
end_batch_processing,148641.296758541,1
start_batch_fetch,148641.296760333,1
end_batch_fetch,148641.297029666,1
batch_nbr_nodes_total,148641.29703275,383
batch_nbr_edges_total,148641.297143916,626
batch_nbr_seed_nodes,148641.29714725,30
start_batch_processing,148641.297148541,1
batch_train_loss,148641.297660833,1.8747153282165527
end_batch_processing,148641.298166791,1
epoch_end,148641.298175583,1
start_validation_accuracy,148641.298177291,1
validation_accuracy,148641.303606333,0.2520000077631386
validation_loss,148641.303610291,1.9026137590408325
end_validation_accuracy,148641.303612541,1
start_saving_weights,148641.303614791,1
end_saving_weights,148641.303616708,1
epoch_start,148641.303620291,1
start_batch_fetch,148641.303652208,1
end_batch_fetch,148641.303974541,1
batch_nbr_nodes_total,148641.303978958,298
batch_nbr_edges_total,148641.3039815,469
batch_nbr_seed_nodes,148641.303984958,30
start_batch_processing,148641.303986333,1
batch_train_loss,148641.30451625,1.8518729209899902
end_batch_processing,148641.305031416,1
start_batch_fetch,148641.305033208,1
end_batch_fetch,148641.305486041,1
batch_nbr_nodes_total,148641.30549825,395
batch_nbr_edges_total,148641.305501583,609
batch_nbr_seed_nodes,148641.305505166,30
start_batch_processing,148641.305506375,1
batch_train_loss,148641.30640675,1.8293559551239014
end_batch_processing,148641.307131416,1
start_batch_fetch,148641.307134333,1
end_batch_fetch,148641.307533666,1
batch_nbr_nodes_total,148641.307538208,347
batch_nbr_edges_total,148641.30754075,575
batch_nbr_seed_nodes,148641.307547666,30
start_batch_processing,148641.307549,1
batch_train_loss,148641.308282916,1.7503992319107056
end_batch_processing,148641.308961583,1
start_batch_fetch,148641.308969125,1
end_batch_fetch,148641.309383666,1
