         864853 function calls (838621 primitive calls) in 3.043 seconds

   Ordered by: cumulative time
   List reduced from 421 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    3.043    3.043 threading.py:1117(join)
        1    0.000    0.000    2.037    2.037 threading.py:1155(_wait_for_tstate_lock)
      8/6    0.000    0.000    2.037    0.340 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    2.037    2.037 threading.py:1018(_bootstrap)
        1    0.000    0.000    2.037    2.037 threading.py:1058(_bootstrap_inner)
        3    1.889    0.630    1.889    0.630 {built-in method time.sleep}
        1    0.002    0.002    1.153    1.153 Training.py:231(_start_training)
        3    0.000    0.000    1.005    0.335 __init__.py:1025(cpu_percent)
        1    0.000    0.000    0.884    0.884 threading.py:1001(run)
        1    0.000    0.000    0.884    0.884 CPU_utilization_logger.py:15(monitor)
      100    0.007    0.000    0.662    0.007 Training.py:166(_run_epoch)
      400    0.008    0.000    0.501    0.001 Training.py:154(_run_batch)
      100    0.012    0.000    0.486    0.005 evaluate.py:9(evaluate)
5400/1200    0.005    0.000    0.465    0.000 module.py:1747(_wrapped_call_impl)
5400/1200    0.008    0.000    0.463    0.000 module.py:1755(_call_impl)
      600    0.003    0.000    0.428    0.001 GCN.py:18(forward)
     1200    0.012    0.000    0.403    0.000 gcn_conv.py:227(forward)
      700    0.003    0.000    0.252    0.000 dataloader.py:728(__next__)
      700    0.001    0.000    0.230    0.000 dataloader.py:787(_next_data)
      600    0.004    0.000    0.226    0.000 fetch.py:47(fetch)
      600    0.002    0.000    0.222    0.000 node_loader.py:143(collate_fn)
      600    0.016    0.000    0.168    0.000 node_loader.py:154(filter_fn)
     1200    0.013    0.000    0.146    0.000 torch_geometric.nn.conv.gcn_conv_GCNConv_propagate_j8r6bi_y.py:116(propagate)
     1200    0.053    0.000    0.138    0.000 gcn_conv.py:45(gcn_norm)
 1200/800    0.001    0.000    0.133    0.000 {built-in method builtins.next}
      600    0.001    0.000    0.131    0.000 utils.py:159(filter_data)
      400    0.001    0.000    0.125    0.000 _tensor.py:592(backward)
      400    0.004    0.000    0.124    0.000 optimizer.py:465(wrapper)
