         42241980 function calls (40758630 primitive calls) in 60.878 seconds

   Ordered by: cumulative time
   List reduced from 692 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000   77.062   25.687 threading.py:1117(join)
        3    0.000    0.000   77.022   25.674 threading.py:1155(_wait_for_tstate_lock)
  5288/55    0.128    0.000   60.874    1.107 {method 'acquire' of '_thread.lock' objects}
      3/1    0.000    0.000   60.840   60.840 threading.py:1018(_bootstrap)
      3/1    0.000    0.000   60.840   60.840 threading.py:1058(_bootstrap_inner)
      3/1    0.000    0.000   60.840   60.840 threading.py:1001(run)
        1    0.000    0.000   60.840   60.840 CPU_utilization_logger.py:65(monitor)
        1    0.003    0.003   60.840   60.840 Training.py:318(_start_training)
       90    0.047    0.001   52.928    0.588 Training.py:230(_run_epoch)
      360    0.011    0.000   34.932    0.097 Training.py:218(_run_batch)
1316/1313    0.018    0.000   32.020    0.024 CPU_utilization_logger.py:21(_sample_process_cpu)
1316/1313    0.124    0.000   28.575    0.022 __init__.py:951(children)
2792245/1393979    0.494    0.000   25.595    0.000 _psosx.py:343(wrapper)
1316/1313    0.243    0.000   24.882    0.019 __init__.py:251(_ppid_map)
1387638/1384991    0.223    0.000   22.641    0.000 _psosx.py:411(ppid)
   210257    0.119    0.000   21.836    0.000 result.py:392(__iter__)
1395615/1392938    0.474    0.000   20.416    0.000 _common.py:367(wrapper)
1392951/1390295    0.288    0.000   18.438    0.000 _psosx.py:370(_get_kinfo_proc)
   214217    0.054    0.000   18.144    0.000 _common.py:191(inner)
   211247    0.116    0.000   17.845    0.000 _bolt.py:849(fetch_message)
   211247    0.142    0.000   16.434    0.000 _common.py:76(pop)
   211247    0.185    0.000   15.516    0.000 _common.py:47(_buffer_one_chunk)
      360    0.003    0.000   13.509    0.038 _tensor.py:592(backward)
  1392951   13.475    0.000   13.475    0.000 {built-in method psutil._psutil_osx.proc_kinfo_oneshot}
7212/3252    0.003    0.000   12.940    0.004 {built-in method builtins.next}
      360    0.007    0.000   12.861    0.036 optimizer.py:465(wrapper)
14400/900    0.026    0.000   12.852    0.014 module.py:1747(_wrapped_call_impl)
      540    0.003    0.000   12.806    0.024 dataloader.py:728(__next__)
      360    0.003    0.000   12.483    0.035 __init__.py:243(backward)
      360    0.002    0.000   12.473    0.035 graph.py:815(_engine_run_backward)
      360   12.463    0.035   12.471    0.035 {method 'run_backward' of 'torch._C._EngineBase' objects}
      360    0.005    0.000   11.971    0.033 optimizer.py:60(_use_grad)
      540    0.001    0.000   11.933    0.022 dataloader.py:787(_next_data)
      450    0.003    0.000   11.927    0.027 fetch.py:47(fetch)
14400/900    0.031    0.000   11.889    0.013 module.py:1755(_call_impl)
      450    0.010    0.000   11.882    0.026 node_loader.py:143(collate_fn)
      450    0.009    0.000   11.855    0.026 GCN.py:70(forward)
