         32806555 function calls (32233053 primitive calls) in 15.460 seconds

   Ordered by: cumulative time
   List reduced from 686 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000   21.454    7.151 threading.py:1117(join)
        3    0.000    0.000   21.415    7.138 threading.py:1155(_wait_for_tstate_lock)
   209801    0.115    0.000   15.962    0.000 result.py:392(__iter__)
  1988/19    0.007    0.000   15.422    0.812 {method 'acquire' of '_thread.lock' objects}
      3/1    0.000    0.000   15.422   15.422 threading.py:1018(_bootstrap)
      3/1    0.000    0.000   15.422   15.422 threading.py:1058(_bootstrap_inner)
      3/1    0.000    0.000   15.422   15.422 threading.py:1001(run)
        1    0.000    0.000   15.422   15.422 CPU_utilization_logger.py:65(monitor)
        1    0.002    0.002   15.422   15.422 Training.py:318(_start_training)
   213761    0.055    0.000   13.682    0.000 _common.py:191(inner)
   210791    0.111    0.000   13.350    0.000 _bolt.py:849(fetch_message)
       90    0.042    0.000   12.216    0.136 Training.py:230(_run_epoch)
   210791    0.136    0.000   11.869    0.000 _common.py:76(pop)
   210791    0.176    0.000   11.105    0.000 _common.py:47(_buffer_one_chunk)
7212/3252    0.002    0.000   10.659    0.003 {built-in method builtins.next}
  492/491    0.004    0.000   10.494    0.021 CPU_utilization_logger.py:21(_sample_process_cpu)
      540    0.002    0.000    9.864    0.018 dataloader.py:728(__next__)
      540    0.000    0.000    9.843    0.018 dataloader.py:787(_next_data)
      450    0.002    0.000    9.825    0.022 fetch.py:47(fetch)
      450    0.010    0.000    9.786    0.022 node_loader.py:143(collate_fn)
1056213/527558    0.174    0.000    9.727    0.000 _psosx.py:343(wrapper)
   523751    0.082    0.000    9.471    0.000 _psosx.py:411(ppid)
527590/527586    0.176    0.000    9.186    0.000 _common.py:367(wrapper)
  492/491    0.041    0.000    8.780    0.018 __init__.py:951(children)
  492/491    0.071    0.000    7.317    0.015 __init__.py:251(_ppid_map)
   421582    0.265    0.000    6.930    0.000 _common.py:334(receive_into_buffer)
      450    0.002    0.000    6.864    0.015 node_loader.py:154(filter_fn)
      450    0.172    0.000    6.540    0.015 Neo4jAbstractFS.py:173(_get_both_from_db)
   421582    0.129    0.000    6.526    0.000 _bolt_socket.py:460(recv_into)
      450    0.003    0.000    6.164    0.014 utils.py:209(filter_custom_store)
      450    0.004    0.000    6.143    0.014 feature_store.py:344(multi_get_tensor)
      450    0.144    0.000    6.114    0.014 Neo4jAbstractFS.py:72(_multi_get_tensor)
