         33708088 function calls (33051135 primitive calls) in 17.472 seconds

   Ordered by: cumulative time
   List reduced from 686 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000   24.622    8.207 threading.py:1117(join)
        3    0.000    0.000   24.580    8.193 threading.py:1155(_wait_for_tstate_lock)
   210251    0.122    0.000   18.731    0.000 result.py:392(__iter__)
  2308/15    0.008    0.000   17.431    1.162 {method 'acquire' of '_thread.lock' objects}
      3/1    0.000    0.000   17.431   17.431 threading.py:1018(_bootstrap)
      3/1    0.000    0.000   17.431   17.431 threading.py:1058(_bootstrap_inner)
      3/1    0.000    0.000   17.431   17.431 threading.py:1001(run)
        1    0.000    0.000   17.431   17.431 CPU_utilization_logger.py:65(monitor)
        1    0.002    0.002   17.431   17.431 Training.py:318(_start_training)
   214211    0.054    0.000   15.617    0.000 _common.py:191(inner)
   211241    0.119    0.000   15.114    0.000 _bolt.py:849(fetch_message)
       90    0.046    0.001   13.988    0.155 Training.py:230(_run_epoch)
   211241    0.144    0.000   13.605    0.000 _common.py:76(pop)
1224289/612665    0.204    0.000   12.865    0.000 _psosx.py:343(wrapper)
      571    0.005    0.000   12.850    0.023 CPU_utilization_logger.py:21(_sample_process_cpu)
   211241    0.187    0.000   12.687    0.000 _common.py:47(_buffer_one_chunk)
7212/3252    0.002    0.000   12.186    0.004 {built-in method builtins.next}
      540    0.003    0.000   11.607    0.021 dataloader.py:728(__next__)
   607394    0.095    0.000   11.039    0.000 _psosx.py:411(ppid)
      540    0.001    0.000   10.758    0.020 dataloader.py:787(_next_data)
      571    0.048    0.000   10.725    0.019 __init__.py:951(children)
      571    0.087    0.000   10.198    0.018 __init__.py:251(_ppid_map)
611628/611624    0.206    0.000   10.081    0.000 _common.py:367(wrapper)
      450    0.003    0.000   10.031    0.022 fetch.py:47(fetch)
      450    0.011    0.000    9.994    0.022 node_loader.py:143(collate_fn)
   422482    0.274    0.000    8.030    0.000 _common.py:334(receive_into_buffer)
   422482    0.132    0.000    7.559    0.000 _bolt_socket.py:460(recv_into)
   610472    0.129    0.000    7.509    0.000 _psosx.py:370(_get_kinfo_proc)
      450    0.003    0.000    6.278    0.014 node_loader.py:154(filter_fn)
      450    0.004    0.000    6.253    0.014 utils.py:209(filter_custom_store)
      450    0.005    0.000    6.228    0.014 feature_store.py:344(multi_get_tensor)
      450    0.180    0.000    6.190    0.014 Neo4jAbstractFS.py:72(_multi_get_tensor)
      450    0.175    0.000    5.933    0.013 Neo4jAbstractFS.py:173(_get_both_from_db)
   610472    5.889    0.000    5.889    0.000 {built-in method psutil._psutil_osx.proc_kinfo_oneshot}
   422482    0.147    0.000    4.466    0.000 _bolt_socket.py:389(_wait_for_read)
