         228409169 function calls (228385828 primitive calls) in 731.581 seconds

   Ordered by: cumulative time
   List reduced from 557 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003  731.583  731.583 Training.py:239(_start_training)
      228    0.004    0.000  726.582    3.187 dataloader.py:728(__next__)
      228    0.002    0.000  726.550    3.187 dataloader.py:787(_next_data)
      225    0.006    0.000  726.544    3.229 fetch.py:47(fetch)
      225    0.116    0.001  726.537    3.229 node_loader.py:143(collate_fn)
  1833727    2.458    0.000  702.683    0.000 result.py:392(__iter__)
  1840471    1.104    0.000  687.725    0.000 _common.py:191(inner)
  1835824    2.219    0.000  685.945    0.000 _bolt.py:849(fetch_message)
  1835824    2.839    0.000  654.352    0.000 _common.py:76(pop)
  1835824    2.820    0.000  642.504    0.000 _common.py:47(_buffer_one_chunk)
  3671897    5.314    0.000  638.415    0.000 _common.py:334(receive_into_buffer)
      225    0.004    0.000  636.997    2.831 node_loader.py:154(filter_fn)
      225    0.006    0.000  636.973    2.831 utils.py:209(filter_custom_store)
      225    0.129    0.001  636.928    2.831 feature_store.py:344(multi_get_tensor)
      225    2.577    0.011  636.772    2.830 Neo4jAbstractFS.py:37(_multi_get_tensor)
      225    3.563    0.016  631.950    2.809 Neo4jAbstractFS.py:95(_get_both_from_db)
  3671897    2.508    0.000  631.850    0.000 _bolt_socket.py:460(recv_into)
        3    0.020    0.007  629.611  209.870 Training.py:172(_run_epoch)
  3671897    3.099    0.000  628.847    0.000 _bolt_socket.py:389(_wait_for_read)
 5994/669    0.007    0.000  627.703    0.938 {built-in method builtins.next}
  3673994    2.873    0.000  625.827    0.000 _bolt_socket.py:409(_wait_for_io)
  3671897  619.696    0.000  619.696    0.000 {method 'recv_into' of '_socket.socket' objects}
        3    0.006    0.002  101.968   33.989 evaluate.py:9(evaluate)
      225    0.624    0.003   89.407    0.397 Neo4jSampler.py:144(sample_from_nodes)
      225    0.007    0.000   88.376    0.393 Neo4jAbstractGS.py:118(fetch_ordered_subgraph)
  1835824    2.345    0.000   28.961    0.000 _bolt6.py:504(_process_message)
  1833274    1.386    0.000   24.992    0.000 _common.py:241(on_records)
1839733/1837183    1.244    0.000   23.327    0.000 util.py:102(callback)
  1833274    1.640    0.000   21.805    0.000 result.py:240(on_records)
  1833274    1.189    0.000   20.165    0.000 {method 'extend' of 'collections.deque' objects}
  3666548    7.353    0.000   18.976    0.000 result.py:250(<genexpr>)
  1843474    2.402    0.000   13.682    0.000 _common.py:185(__getattr__)
  5493822    3.438    0.000   12.389    0.000 _data.py:124(__getitem__)
  1833274    5.822    0.000   10.571    0.000 _data.py:59(__new__)
  1840471    1.146    0.000   10.364    0.000 inspect.py:427(iscoroutinefunction)
  1835824    1.130    0.000    5.408    0.000 __init__.py:456(unpack_structure_header)
  1840471    2.446    0.000    5.190    0.000 inspect.py:391(_has_code_flag)
  5493822    2.997    0.000    4.847    0.000 _data.py:158(index)
38556403/38556337    4.029    0.000    4.034    0.000 {built-in method builtins.isinstance}
  1840471    1.905    0.000    4.028    0.000 inspect.py:412(_has_coroutine_mark)
  5493822    3.033    0.000    3.562    0.000 _data.py:74(_super_getitem_single)
  1835824    1.298    0.000    3.208    0.000 __init__.py:463(_unpack_structure_header)
        3    0.002    0.001    2.991    0.997 Neo4jAbstractGS.py:59(get_split)
      450    2.666    0.006    2.923    0.006 shape_base.py:372(stack)
  3673994    2.713    0.000    2.713    0.000 {method 'settimeout' of '_socket.socket' objects}
  7333213    2.438    0.000    2.696    0.000 _conf.py:33(iter_items)
  1835824    0.841    0.000    2.690    0.000 __init__.py:289(unpack)
  7361884    1.787    0.000    2.652    0.000 inspect.py:306(ismethod)
      213    0.027    0.000    1.875    0.009 Training.py:160(_run_batch)
  1835824    1.849    0.000    1.849    0.000 {built-in method neo4j._rust.codec.packstream.v1.unpack}
 12834014    1.751    0.000    1.751    0.000 {method 'append' of 'list' objects}
      453    0.008    0.000    1.597    0.004 session.py:254(run)
      453    0.006    0.000    1.525    0.003 result.py:180(_run)
