         133984122 function calls (133917521 primitive calls) in 96.674 seconds

   Ordered by: cumulative time
   List reduced from 706 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000   97.129   48.564 threading.py:1117(join)
        2    0.000    0.000   97.073   48.537 threading.py:1155(_wait_for_tstate_lock)
  932/103    0.075    0.000   96.732    0.939 {method 'acquire' of '_thread.lock' objects}
      2/1    0.000    0.000   96.627   96.627 threading.py:1018(_bootstrap)
      2/1    0.000    0.000   96.627   96.627 threading.py:1058(_bootstrap_inner)
      2/1    0.000    0.000   96.627   96.627 threading.py:1001(run)
        1    0.000    0.000   96.627   96.627 CPU_utilization_logger.py:88(monitor)
        1    0.000    0.000   96.627   96.627 Training.py:383(_start_training)
10810/1580    0.011    0.000   90.549    0.057 {built-in method builtins.next}
      711    0.013    0.000   90.540    0.127 dataloader.py:728(__next__)
      711    0.006    0.000   90.304    0.127 dataloader.py:787(_next_data)
      710    0.022    0.000   90.080    0.127 fetch.py:47(fetch)
      710    0.016    0.000   90.059    0.127 node_loader.py:143(collate_fn)
       20    0.332    0.017   75.879    3.794 __init__.py:459(_raise_if_pid_reused)
      710    0.013    0.000   69.393    0.098 node_loader.py:154(filter_fn)
      710    0.021    0.000   69.224    0.097 utils.py:209(filter_custom_store)
   992474    1.368    0.000   68.807    0.000 result.py:392(__iter__)
      710    0.039    0.000   68.227    0.096 feature_store.py:344(multi_get_tensor)
      710    1.561    0.002   67.083    0.094 Neo4jFS.py:136(_multi_get_tensor)
      710    0.160    0.000   65.678    0.093 Neo4jFS.py:247(_get_both_from_db)
      710    1.165    0.002   64.941    0.091 Neo4jFS.py:324(_get_both_from_db_cypher)
  1000288    0.631    0.000   62.775    0.000 _common.py:191(inner)
   994605    1.236    0.000   61.409    0.000 _bolt.py:849(fetch_message)
   994605    1.541    0.000   45.115    0.000 _common.py:76(pop)
   994605    1.551    0.000   37.801    0.000 _common.py:47(_buffer_one_chunk)
  1989210    2.957    0.000   35.504    0.000 _common.py:334(receive_into_buffer)
  1992209    1.402    0.000   31.761    0.000 _bolt_socket.py:460(recv_into)
  1992209    1.694    0.000   29.833    0.000 _bolt_socket.py:389(_wait_for_read)
  1994340    1.572    0.000   28.199    0.000 _bolt_socket.py:409(_wait_for_io)
  1992209   24.724    0.000   24.724    0.000 {method 'recv_into' of '_socket.socket' objects}
      710    0.145    0.000   21.335    0.030 Neo4jSampler.py:142(sample_from_nodes)
        1    0.095    0.095   20.674   20.674 Training.py:278(_run_epoch)
      710    0.024    0.000   20.475    0.029 Neo4jAbstractGS.py:113(sample_from_nodes)
   994605    1.289    0.000   14.837    0.000 _bolt6.py:504(_process_message)
   991053    0.766    0.000   12.503    0.000 _common.py:241(on_records)
1002420/998868    0.702    0.000   11.694    0.000 util.py:102(callback)
   991053    0.880    0.000   10.732    0.000 result.py:240(on_records)
   991053    0.652    0.000    9.852    0.000 {method 'extend' of 'collections.deque' objects}
  1982106    1.851    0.000    9.199    0.000 result.py:250(<genexpr>)
  3962792    2.435    0.000    8.755    0.000 _data.py:124(__getitem__)
  1005261    1.318    0.000    7.560    0.000 _common.py:185(__getattr__)
   991053    3.152    0.000    6.772    0.000 _data.py:59(__new__)
      710    2.840    0.004    6.626    0.009 Neo4jFS.py:124(_decode_feature_matrix)
  1000288    0.641    0.000    5.711    0.000 inspect.py:427(iscoroutinefunction)
      710    0.075    0.000    4.007    0.006 Training.py:266(_run_batch)
     1421    0.022    0.000    3.562    0.003 session.py:254(run)
  3962792    2.024    0.000    3.380    0.000 _data.py:158(index)
     1421    0.016    0.000    3.357    0.002 result.py:180(_run)
10355/10199    0.019    0.000    3.282    0.000 _common.py:681(open_binary)
