         8270806 function calls (8235378 primitive calls) in 28.892 seconds

   Ordered by: cumulative time
   List reduced from 697 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000   29.351   14.676 threading.py:1117(join)
        2    0.000    0.000   29.297   14.649 threading.py:1155(_wait_for_tstate_lock)
  1484/59    0.360    0.000   28.858    0.489 {method 'acquire' of '_thread.lock' objects}
      2/1    0.000    0.000   28.845   28.845 threading.py:1018(_bootstrap)
      2/1    0.000    0.000   28.845   28.845 threading.py:1058(_bootstrap_inner)
      2/1    0.000    0.000   28.845   28.845 threading.py:1001(run)
        1    0.000    0.000   28.845   28.845 CPU_utilization_logger.py:88(monitor)
        1    0.000    0.000   28.844   28.844 Training.py:383(_start_training)
        1    0.458    0.458   28.776   28.776 Training.py:278(_run_epoch)
9390/1580    0.009    0.000   22.886    0.014 {built-in method builtins.next}
      711    0.012    0.000   22.878    0.032 dataloader.py:728(__next__)
      711    0.006    0.000   22.789    0.032 dataloader.py:787(_next_data)
      710    0.023    0.000   22.734    0.032 fetch.py:47(fetch)
      710    0.016    0.000   22.711    0.032 node_loader.py:143(collate_fn)
     8525    0.017    0.000   18.402    0.002 _common.py:191(inner)
     4262    0.017    0.000   17.887    0.004 _bolt.py:849(fetch_message)
     4262    0.017    0.000   17.637    0.004 _common.py:76(pop)
    15990    0.042    0.000   16.392    0.001 _common.py:334(receive_into_buffer)
     4262    0.019    0.000   16.388    0.004 _common.py:47(_buffer_one_chunk)
    16236    0.019    0.000   16.327    0.001 _bolt_socket.py:460(recv_into)
     2841    0.009    0.000   16.075    0.006 result.py:392(__iter__)
      710    0.011    0.000   16.006    0.023 node_loader.py:154(filter_fn)
    17657    0.023    0.000   15.942    0.001 _bolt_socket.py:409(_wait_for_io)
    16236    0.027    0.000   15.917    0.001 _bolt_socket.py:389(_wait_for_read)
      710    0.015    0.000   15.860    0.022 utils.py:209(filter_custom_store)
    16236   15.829    0.001   15.829    0.001 {method 'recv_into' of '_socket.socket' objects}
      710    0.034    0.000   15.675    0.022 feature_store.py:344(multi_get_tensor)
      710    1.724    0.002   15.559    0.022 Neo4jFS.py:136(_multi_get_tensor)
      710    0.007    0.000   13.137    0.019 Neo4jFS.py:247(_get_both_from_db)
      710    0.310    0.000   13.127    0.018 Neo4jFS.py:254(_get_both_from_db_java)
      710    0.136    0.000    6.995    0.010 Neo4jJavaNeighborSampler.py:53(sample_from_nodes)
      710    0.022    0.000    6.101    0.009 Neo4jAbstractGS.py:113(sample_from_nodes)
      710    0.077    0.000    4.114    0.006 Training.py:266(_run_batch)
     1421    0.021    0.000    2.693    0.002 session.py:254(run)
     1421    0.015    0.000    2.490    0.002 result.py:180(_run)
6390/1420    0.030    0.000    1.915    0.001 module.py:1747(_wrapped_call_impl)
6390/1420    0.040    0.000    1.908    0.001 module.py:1755(_call_impl)
     1421    0.003    0.000    1.906    0.001 result.py:434(_attach)
      710    0.012    0.000    1.842    0.003 GCN.py:17(forward)
     1420    0.096    0.000    1.702    0.001 gcn_conv.py:227(forward)
     4262    0.706    0.000    1.195    0.000 __init__.py:289(unpack)
      710    0.007    0.000    0.945    0.001 _tensor.py:592(backward)
