         188273395 function calls (187854012 primitive calls) in 1063.353 seconds

   Ordered by: cumulative time
   List reduced from 697 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 2048/891   35.361    0.017 1243.050    1.395 {method 'acquire' of '_thread.lock' objects}
  510/223    0.354    0.001 1079.233    4.840 threading.py:637(wait)
        2    0.000    0.000 1063.884  531.942 threading.py:1117(join)
        2    0.000    0.000 1063.835  531.918 threading.py:1155(_wait_for_tstate_lock)
      2/1    0.000    0.000 1063.393 1063.393 threading.py:1018(_bootstrap)
      2/1    0.000    0.000 1063.393 1063.393 threading.py:1058(_bootstrap_inner)
      2/1    0.000    0.000 1063.393 1063.393 threading.py:1001(run)
113972/10231    0.120    0.000  645.863    0.063 {built-in method builtins.next}
     9432    0.181    0.000  645.743    0.068 dataloader.py:728(__next__)
     9432    0.083    0.000  644.533    0.068 dataloader.py:787(_next_data)
     9431    0.329    0.000  643.643    0.068 fetch.py:47(fetch)
     9431    0.323    0.000  643.342    0.068 node_loader.py:143(collate_fn)
   113177    0.240    0.000  579.335    0.005 _common.py:191(inner)
    56588    0.281    0.000  570.521    0.010 _bolt.py:849(fetch_message)
    56588    0.263    0.000  566.597    0.010 _common.py:76(pop)
    37725    0.140    0.000  545.436    0.014 result.py:392(__iter__)
    56588    0.335    0.000  533.677    0.009 _common.py:47(_buffer_one_chunk)
   314607    0.739    0.000  533.452    0.002 _common.py:334(receive_into_buffer)
   334017    0.320    0.000  531.782    0.002 _bolt_socket.py:460(recv_into)
  510/223    3.417    0.007  527.306    2.365 threading.py:323(wait)
   352880    0.403    0.000  498.095    0.001 _bolt_socket.py:409(_wait_for_io)
   334017    0.475    0.000  497.763    0.001 _bolt_socket.py:389(_wait_for_read)
   334017  496.287    0.001  496.287    0.001 {method 'recv_into' of '_socket.socket' objects}
     9431    0.170    0.000  464.273    0.049 node_loader.py:154(filter_fn)
     9431    0.228    0.000  462.581    0.049 utils.py:209(filter_custom_store)
     9431    0.875    0.000  459.519    0.049 feature_store.py:344(multi_get_tensor)
     9431   40.224    0.004  457.022    0.048 Neo4jFS.py:136(_multi_get_tensor)
      426    0.295    0.001  422.443    0.992 __init__.py:1025(cpu_percent)
     9431    0.135    0.000  399.514    0.042 Neo4jFS.py:247(_get_both_from_db)
     9431    5.545    0.001  399.165    0.042 Neo4jFS.py:254(_get_both_from_db_java)
        1    0.000    0.000  370.825  370.825 CPU_utilization_logger.py:88(monitor)
     9431    1.237    0.000  333.688    0.035 Training.py:266(_run_batch)
84879/18862    0.389    0.000  213.678    0.011 module.py:1747(_wrapped_call_impl)
84879/18862    0.606    0.000  213.444    0.011 module.py:1755(_call_impl)
     9431    0.160    0.000  212.198    0.023 GCN.py:17(forward)
    18862    1.674    0.000  206.893    0.011 gcn_conv.py:227(forward)
      212    2.028    0.010  187.151    0.883 CPU_utilization_logger.py:39(_sample_process_cpu)
    28293  183.897    0.006  183.897    0.006 {built-in method torch._C._nn.linear}
    18862    0.106    0.000  180.289    0.010 linear.py:121(forward)
     9431    3.292    0.000  178.410    0.019 Neo4jJavaNeighborSampler.py:53(sample_from_nodes)
4883/2941    1.606    0.000  166.904    0.057 _pslinux.py:1589(wrapper)
      212    1.595    0.008  161.601    0.762 __init__.py:459(_raise_if_pid_reused)
     9431    0.323    0.000  157.653    0.017 Neo4jAbstractGS.py:113(sample_from_nodes)
      212    1.313    0.006  111.906    0.528 _pslinux.py:1562(ppid_map)
     9431    0.108    0.000   96.441    0.010 _tensor.py:592(backward)
     9431    0.219    0.000   96.167    0.010 __init__.py:243(backward)
     9431    0.126    0.000   95.381    0.010 graph.py:815(_engine_run_backward)
     9431   95.179    0.010   95.179    0.010 {method 'run_backward' of 'torch._C._EngineBase' objects}
        1    0.000    0.000   39.638   39.638 Training.py:383(_start_training)
    18863    0.310    0.000   38.926    0.002 session.py:254(run)
        1    0.000    0.000   36.482   36.482 Training.py:172(_evaluate_split)
        1    0.000    0.000   36.482   36.482 evaluate.py:39(evaluate)
        1    0.000    0.000   36.480   36.480 Neo4jAbstractGS.py:88(get_split)
    18863    0.209    0.000   36.028    0.002 result.py:180(_run)
    18862   32.440    0.002   32.440    0.002 {built-in method _collections._count_elements}
    56588   19.928    0.000   32.197    0.001 __init__.py:289(unpack)
    18862    0.078    0.000   32.151    0.002 __init__.py:669(update)
    18863    0.048    0.000   26.318    0.001 result.py:434(_attach)
     9431    0.036    0.000   17.380    0.002 Measurer.py:196(log_edge_visits)
     9431   10.649    0.001   17.118    0.002 Neo4jAbstractGS.py:154(build_topo_etl)
      212    0.223    0.001   16.516    0.078 __init__.py:951(children)
     9431    0.418    0.000   15.549    0.002 optimizer.py:465(wrapper)
