         71916991 function calls (71843587 primitive calls) in 312.836 seconds

   Ordered by: cumulative time
   List reduced from 697 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 2440/303    2.201    0.001  324.320    1.070 {method 'acquire' of '_thread.lock' objects}
        2    0.000    0.000  313.725  156.862 threading.py:1117(join)
        2    0.000    0.000  313.671  156.836 threading.py:1155(_wait_for_tstate_lock)
      2/1    0.000    0.000  312.801  312.801 threading.py:1018(_bootstrap)
      2/1    0.000    0.000  312.801  312.801 threading.py:1058(_bootstrap_inner)
      2/1    0.000    0.000  312.801  312.801 threading.py:1001(run)
   608/76    0.012    0.000  288.136    3.791 threading.py:637(wait)
19258/2362    0.024    0.000  274.822    0.116 {built-in method builtins.next}
     1537    0.034    0.000  274.810    0.179 dataloader.py:728(__next__)
     1537    0.024    0.000  274.407    0.179 dataloader.py:787(_next_data)
     1536    0.122    0.000  273.953    0.178 node_loader.py:143(collate_fn)
     1536    0.075    0.000  273.948    0.178 fetch.py:47(fetch)
        1    0.000    0.000  247.625  247.625 CPU_utilization_logger.py:88(monitor)
   608/76    4.197    0.007  232.836    3.064 threading.py:323(wait)
    18437    0.051    0.000  232.647    0.013 _common.py:191(inner)
     9218    0.061    0.000  229.838    0.025 _bolt.py:849(fetch_message)
     9218    0.063    0.000  228.954    0.025 _common.py:76(pop)
     6145    0.031    0.000  223.592    0.036 result.py:392(__iter__)
    87465    0.244    0.000  217.701    0.002 _common.py:334(receive_into_buffer)
     9218    0.103    0.000  217.596    0.024 _common.py:47(_buffer_one_chunk)
    92626    0.105    0.000  217.273    0.002 _bolt_socket.py:460(recv_into)
    95699    0.122    0.000  214.694    0.002 _bolt_socket.py:409(_wait_for_io)
    92626    0.156    0.000  214.675    0.002 _bolt_socket.py:389(_wait_for_read)
    92626  214.237    0.002  214.237    0.002 {method 'recv_into' of '_socket.socket' objects}
     1536    0.035    0.000  148.425    0.097 node_loader.py:154(filter_fn)
     1536    0.049    0.000  147.350    0.096 utils.py:209(filter_custom_store)
     1536    0.505    0.000  146.820    0.096 feature_store.py:344(multi_get_tensor)
     1536   17.836    0.012  145.994    0.095 Neo4jFS.py:136(_multi_get_tensor)
     1536    1.613    0.001  126.022    0.082 Neo4jJavaNeighborSampler.py:53(sample_from_nodes)
     1536    0.073    0.000  119.931    0.078 Neo4jFS.py:247(_get_both_from_db)
     1536    2.916    0.002  119.851    0.078 Neo4jFS.py:254(_get_both_from_db_java)
     1536    0.065    0.000  116.339    0.076 Neo4jAbstractGS.py:113(sample_from_nodes)
        1    0.001    0.001   82.099   82.099 Training.py:383(_start_training)
        1    1.478    1.478   81.465   81.465 Training.py:278(_run_epoch)
     1536    0.215    0.000   17.139    0.011 Training.py:266(_run_batch)
     3072    0.019    0.000   12.874    0.004 __init__.py:669(update)
     3072   12.855    0.004   12.855    0.004 {built-in method _collections._count_elements}
     9218    6.057    0.001   11.348    0.001 __init__.py:289(unpack)
     3073    0.055    0.000   10.066    0.003 session.py:254(run)
     3073    0.040    0.000    9.536    0.003 result.py:180(_run)
     1536    5.123    0.003    7.931    0.005 Neo4jAbstractGS.py:154(build_topo_etl)
13824/3072    0.070    0.000    7.754    0.003 module.py:1747(_wrapped_call_impl)
13824/3072    0.112    0.000    7.723    0.003 module.py:1755(_call_impl)
     1536    0.031    0.000    7.573    0.005 GCN.py:17(forward)
