         8410704 function calls (8377510 primitive calls) in 27.432 seconds

   Ordered by: cumulative time
   List reduced from 701 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000   27.566   13.783 threading.py:1117(join)
        2    0.000    0.000   27.519   13.760 threading.py:1155(_wait_for_tstate_lock)
   368/55    0.065    0.000   27.428    0.499 {method 'acquire' of '_thread.lock' objects}
      2/1    0.000    0.000   27.392   27.392 threading.py:1018(_bootstrap)
      2/1    0.000    0.000   27.392   27.392 threading.py:1058(_bootstrap_inner)
      2/1    0.000    0.000   27.392   27.392 threading.py:1001(run)
        1    0.000    0.000   27.392   27.392 CPU_utilization_logger.py:88(monitor)
        1    0.000    0.000   27.391   27.391 Training.py:339(_start_training)
       14    0.443    0.032   25.092    1.792 __init__.py:1025(cpu_percent)
      715    0.016    0.000   21.638    0.030 dataloader.py:728(__next__)
9348/1538    0.010    0.000   21.503    0.014 {built-in method builtins.next}
      715    0.008    0.000   21.481    0.030 dataloader.py:787(_next_data)
      714    0.026    0.000   21.430    0.030 fetch.py:47(fetch)
      714    0.021    0.000   21.370    0.030 node_loader.py:143(collate_fn)
     9573    0.017    0.000   16.971    0.002 _common.py:191(inner)
     5286    0.021    0.000   16.443    0.003 _bolt.py:849(fetch_message)
     5286    0.020    0.000   16.115    0.003 _common.py:76(pop)
     3857    0.012    0.000   14.945    0.004 result.py:392(__iter__)
     5286    0.021    0.000   14.759    0.003 _common.py:47(_buffer_one_chunk)
    18107    0.046    0.000   14.752    0.001 _common.py:334(receive_into_buffer)
      714    0.016    0.000   14.689    0.021 node_loader.py:154(filter_fn)
    18113    0.019    0.000   14.675    0.001 _bolt_socket.py:460(recv_into)
    19542    0.023    0.000   14.618    0.001 _bolt_socket.py:409(_wait_for_io)
    18113    0.029    0.000   14.584    0.001 _bolt_socket.py:389(_wait_for_read)
      714    0.018    0.000   14.552    0.020 utils.py:209(filter_custom_store)
    18113   14.501    0.001   14.501    0.001 {method 'recv_into' of '_socket.socket' objects}
      714    0.040    0.000   14.420    0.020 feature_store.py:344(multi_get_tensor)
