         134301522 function calls (134265941 primitive calls) in 69.753 seconds

   Ordered by: cumulative time
   List reduced from 708 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000   70.118   35.059 threading.py:1117(join)
        2    0.000    0.000   70.080   35.040 threading.py:1155(_wait_for_tstate_lock)
   496/79    0.015    0.000   69.807    0.884 {method 'acquire' of '_thread.lock' objects}
      2/1    0.000    0.000   69.721   69.721 threading.py:1018(_bootstrap)
      2/1    0.000    0.000   69.720   69.720 threading.py:1058(_bootstrap_inner)
      2/1    0.000    0.000   69.720   69.720 threading.py:1001(run)
        1    0.000    0.000   69.720   69.720 CPU_utilization_logger.py:88(monitor)
      715    0.013    0.000   64.595    0.090 dataloader.py:728(__next__)
      715    0.006    0.000   64.520    0.090 dataloader.py:787(_next_data)
      714    0.019    0.000   64.487    0.090 node_loader.py:143(collate_fn)
      714    0.022    0.000   64.461    0.090 fetch.py:47(fetch)
10786/1556    0.011    0.000   64.156    0.041 {built-in method builtins.next}
      714    0.013    0.000   58.927    0.083 node_loader.py:154(filter_fn)
      714    0.017    0.000   58.554    0.082 utils.py:209(filter_custom_store)
      714    0.034    0.000   58.168    0.081 feature_store.py:344(multi_get_tensor)
      714    1.494    0.002   57.519    0.081 Neo4jFS.py:134(_multi_get_tensor)
      714    1.085    0.002   55.931    0.078 Neo4jFS.py:237(_get_both_from_db)
  1002044    1.180    0.000   45.855    0.000 result.py:392(__iter__)
2483/1531    0.222    0.000   40.957    0.027 _pslinux.py:1589(wrapper)
       30    0.000    0.000   40.588    1.353 __init__.py:1025(cpu_percent)
  1009908    0.541    0.000   39.382    0.000 _common.py:191(inner)
  1004189    1.059    0.000   38.222    0.000 _bolt.py:849(fetch_message)
        1    0.000    0.000   29.209   29.209 Training.py:339(_start_training)
  1004189    1.376    0.000   25.048    0.000 _common.py:76(pop)
        1    0.106    0.106   18.564   18.564 Training.py:247(_run_epoch)
  1004189    1.337    0.000   18.420    0.000 _common.py:47(_buffer_one_chunk)
  2008378    2.587    0.000   16.442    0.000 _common.py:334(receive_into_buffer)
  2009398    1.241    0.000   13.085    0.000 _bolt_socket.py:460(recv_into)
  1004189    1.152    0.000   11.903    0.000 _bolt6.py:504(_process_message)
  2009398    1.444    0.000   11.432    0.000 _bolt_socket.py:389(_wait_for_read)
       14    0.058    0.004   10.113    0.722 __init__.py:459(_raise_if_pid_reused)
  2011543    1.421    0.000   10.100    0.000 _bolt_socket.py:409(_wait_for_io)
  1000615    0.647    0.000    9.793    0.000 _common.py:241(on_records)
1012050/1008476    0.613    0.000    9.119    0.000 util.py:102(callback)
  1000615    0.793    0.000    8.265    0.000 result.py:240(on_records)
  3998032    2.250    0.000    8.123    0.000 _data.py:124(__getitem__)
  1000615    0.593    0.000    7.472    0.000 {method 'extend' of 'collections.deque' objects}
  2009398    7.321    0.000    7.321    0.000 {method 'recv_into' of '_socket.socket' objects}
  2001230    1.555    0.000    6.879    0.000 result.py:250(<genexpr>)
      714    3.288    0.005    6.731    0.009 Neo4jFS.py:122(_decode_feature_matrix)
  1014911    1.192    0.000    6.673    0.000 _common.py:185(__getattr__)
      714    0.119    0.000    5.575    0.008 Neo4jJavaNeighborSampler.py:53(sample_from_nodes)
  1009908    0.579    0.000    5.006    0.000 inspect.py:427(iscoroutinefunction)
      714    0.020    0.000    4.897    0.007 Neo4jAbstractGS.py:113(sample_from_nodes)
  1000615    2.446    0.000    4.779    0.000 _data.py:59(__new__)
      710    0.061    0.000    3.358    0.005 Training.py:235(_run_batch)
  3998032    1.935    0.000    3.156    0.000 _data.py:158(index)
  1004189    0.556    0.000    2.642    0.000 __init__.py:456(unpack_structure_header)
  1009908    1.196    0.000    2.507    0.000 inspect.py:391(_has_code_flag)
  4001602    1.941    0.000    2.295    0.000 _data.py:74(_super_getitem_single)
24163976/24163954    2.270    0.000    2.287    0.000 {built-in method builtins.isinstance}
     1429    0.020    0.000    2.113    0.001 session.py:254(run)
  1004189    1.265    0.000    2.113    0.000 __init__.py:289(unpack)
  1009908    0.889    0.000    1.920    0.000 inspect.py:412(_has_coroutine_mark)
     1429    0.015    0.000    1.916    0.001 result.py:180(_run)
6426/1428    0.020    0.000    1.626    0.001 module.py:1747(_wrapped_call_impl)
6426/1428    0.031    0.000    1.621    0.001 module.py:1755(_call_impl)
      714    0.007    0.000    1.555    0.002 GCN.py:17(forward)
  1004189    0.641    0.000    1.551    0.000 __init__.py:463(_unpack_structure_header)
     1428    0.090    0.000    1.430    0.001 gcn_conv.py:227(forward)
     1429    0.003    0.000    1.363    0.001 result.py:434(_attach)
  4021895    1.182    0.000    1.334    0.000 _conf.py:33(iter_items)
  4039632    0.845    0.000    1.285    0.000 inspect.py:306(ismethod)
6876/6871    0.056    0.000    1.020    0.000 {method 'read' of '_io.BufferedReader' objects}
  8027832    1.015    0.000    1.015    0.000 {method 'append' of 'list' objects}
  2011543    1.003    0.000    1.003    0.000 {method 'settimeout' of '_socket.socket' objects}
  1004189    0.848    0.000    0.848    0.000 {built-in method neo4j._rust.codec.packstream.v1.unpack}
 1077/968    0.002    0.000    0.847    0.001 _common.py:367(wrapper)
