         15467646 function calls (15430594 primitive calls) in 34.049 seconds

   Ordered by: cumulative time
   List reduced from 711 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000   34.240   17.120 threading.py:1117(join)
        2    0.000    0.000   34.192   17.096 threading.py:1155(_wait_for_tstate_lock)
   496/59    0.074    0.000   34.022    0.577 {method 'acquire' of '_thread.lock' objects}
      2/1    0.000    0.000   34.009   34.009 threading.py:1018(_bootstrap)
      2/1    0.000    0.000   34.009   34.009 threading.py:1058(_bootstrap_inner)
      2/1    0.000    0.000   34.009   34.009 threading.py:1001(run)
        1    0.000    0.000   34.009   34.009 CPU_utilization_logger.py:88(monitor)
        1    0.000    0.000   34.009   34.009 Training.py:339(_start_training)
        1    0.486    0.486   33.691   33.691 Training.py:247(_run_epoch)
      715    0.015    0.000   22.867    0.032 dataloader.py:728(__next__)
10064/1544    0.010    0.000   22.716    0.015 {built-in method builtins.next}
      715    0.008    0.000   22.700    0.032 dataloader.py:787(_next_data)
      714    0.024    0.000   22.650    0.032 fetch.py:47(fetch)
      714    0.019    0.000   22.625    0.032 node_loader.py:143(collate_fn)
      714    0.014    0.000   16.798    0.024 node_loader.py:154(filter_fn)
      714    0.017    0.000   16.672    0.023 utils.py:209(filter_custom_store)
      714    0.031    0.000   16.158    0.023 feature_store.py:344(multi_get_tensor)
      714    1.636    0.002   16.042    0.022 Neo4jFS.py:136(_multi_get_tensor)
     9573    0.018    0.000   16.018    0.002 _common.py:191(inner)
     5286    0.024    0.000   14.762    0.003 _bolt.py:849(fetch_message)
     5286    0.022    0.000   14.436    0.003 _common.py:76(pop)
      714    1.001    0.001   13.690    0.019 Neo4jPreAggFeatureStore.py:225(_get_both_from_db)
     5286    0.021    0.000   13.253    0.003 _common.py:47(_buffer_one_chunk)
    16123    0.047    0.000   13.235    0.001 _common.py:334(receive_into_buffer)
    16126    0.021    0.000   13.165    0.001 _bolt_socket.py:460(recv_into)
    17555    0.024    0.000   13.092    0.001 _bolt_socket.py:409(_wait_for_io)
    16126    0.030    0.000   13.050    0.001 _bolt_socket.py:389(_wait_for_read)
    16126   12.966    0.001   12.966    0.001 {method 'recv_into' of '_socket.socket' objects}
     3857    0.013    0.000   12.710    0.003 result.py:392(__iter__)
      714    0.607    0.001   12.273    0.017 Neo4jPreAggFeatureStore.py:335(_fetch_sampled_gcnnorm_bundle)
      710    0.096    0.000    9.282    0.013 Training.py:235(_run_batch)
      714    0.074    0.000    5.829    0.008 Neo4jJavaNeighborSampler.py:53(sample_from_nodes)
      710    2.322    0.003    5.335    0.008 Training.py:209(_get_model_kwargs)
      714    0.026    0.000    4.996    0.007 Neo4jAbstractGS.py:113(sample_from_nodes)
     1429    0.023    0.000    3.696    0.003 session.py:254(run)
     1429    0.016    0.000    3.471    0.002 result.py:180(_run)
   330094    2.203    0.000    2.203    0.000 {built-in method torch.tensor}
     1429    0.004    0.000    2.153    0.002 result.py:434(_attach)
7854/1428    0.037    0.000    1.921    0.001 module.py:1747(_wrapped_call_impl)
7854/1428    0.056    0.000    1.911    0.001 module.py:1755(_call_impl)
      714    0.015    0.000    1.837    0.003 hybrid_model.py:46(forward)
      714    0.012    0.000    1.789    0.003 GCN.py:17(forward)
     1428    0.096    0.000    1.633    0.001 gcn_conv.py:227(forward)
     5286    0.555    0.000    1.122    0.000 __init__.py:289(unpack)
     1429    0.017    0.000    1.056    0.001 _bolt6.py:276(run)
      714    0.004    0.000    0.975    0.001 adapters.py:115(forward)
     1420    0.007    0.000    0.945    0.001 __init__.py:669(update)
     1420    0.931    0.001    0.931    0.001 {built-in method _collections._count_elements}
      710    0.008    0.000    0.833    0.001 _tensor.py:592(backward)
      710    0.017    0.000    0.822    0.001 __init__.py:243(backward)
   655886    0.304    0.000    0.781    0.000 data.py:1011(x)
      710    0.008    0.000    0.761    0.001 graph.py:815(_engine_run_backward)
      710    0.749    0.001    0.749    0.001 {method 'run_backward' of 'torch._C._EngineBase' objects}
      714    0.434    0.001    0.738    0.001 Neo4jAbstractGS.py:154(build_topo_etl)
      710    0.028    0.000    0.679    0.001 optimizer.py:465(wrapper)
     1428    0.181    0.000    0.674    0.000 gcn_conv.py:45(gcn_norm)
     1428    0.049    0.000    0.660    0.000 torch_geometric.nn.conv.gcn_conv_GCNConv_propagate_4r5oypnm.py:116(propagate)
     2858    0.009    0.000    0.611    0.000 _bolt.py:802(_append)
     2858    0.015    0.000    0.591    0.000 _common.py:144(append_message)
     5286    0.567    0.000    0.567    0.000 {built-in method neo4j._rust.codec.packstream.v1.unpack}
  3080603    0.540    0.000    0.546    0.000 {method 'get' of 'dict' objects}
      710    0.002    0.000    0.535    0.001 Measurer.py:196(log_edge_visits)
      710    0.019    0.000    0.535    0.001 optimizer.py:60(_use_grad)
      710    0.013    0.000    0.505    0.001 adam.py:212(step)
     2858    0.008    0.000    0.498    0.000 __init__.py:225(pack_struct)
