         344329651 function calls (343862718 primitive calls) in 1102.213 seconds

   Ordered by: cumulative time
   List reduced from 711 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 2200/915   33.138    0.015 1359.646    1.486 {method 'acquire' of '_thread.lock' objects}
  548/229    3.055    0.006 1337.524    5.841 threading.py:637(wait)
        2    0.000    0.000 1102.815  551.408 threading.py:1117(join)
        2    0.000    0.000 1102.766  551.383 threading.py:1155(_wait_for_tstate_lock)
      2/1    0.000    0.000 1102.265 1102.265 threading.py:1018(_bootstrap)
      2/1    0.000    0.000 1102.265 1102.265 threading.py:1058(_bootstrap_inner)
      2/1    0.000    0.000 1102.265 1102.265 threading.py:1001(run)
     9436    0.212    0.000  770.217    0.082 dataloader.py:728(__next__)
123439/10267    0.145    0.000  769.928    0.075 {built-in method builtins.next}
     9436    0.104    0.000  768.693    0.081 dataloader.py:787(_next_data)
     9435    0.371    0.000  767.832    0.081 fetch.py:47(fetch)
     9435    0.356    0.000  767.666    0.081 node_loader.py:143(collate_fn)
   114225    0.264    0.000  652.579    0.006 _common.py:191(inner)
    57612    0.334    0.000  624.197    0.011 _bolt.py:849(fetch_message)
    57612    0.298    0.000  619.545    0.011 _common.py:76(pop)
  548/229    2.248    0.004  589.235    2.573 threading.py:323(wait)
    57612    0.310    0.000  583.214    0.010 _common.py:47(_buffer_one_chunk)
   221434    0.671    0.000  582.974    0.003 _common.py:334(receive_into_buffer)
     9435    0.207    0.000  582.481    0.062 node_loader.py:154(filter_fn)
   221526    0.286    0.000  581.693    0.003 _bolt_socket.py:460(recv_into)
     9435    0.250    0.000  580.176    0.061 utils.py:209(filter_custom_store)
    38741    0.165    0.000  577.561    0.015 result.py:392(__iter__)
     9435    0.720    0.000  577.451    0.061 feature_store.py:344(multi_get_tensor)
     9435   41.669    0.004  575.129    0.061 Neo4jFS.py:136(_multi_get_tensor)
   240397    0.355    0.000  550.884    0.002 _bolt_socket.py:409(_wait_for_io)
   221526    0.465    0.000  550.231    0.002 _bolt_socket.py:389(_wait_for_read)
   221526  548.936    0.002  548.936    0.002 {method 'recv_into' of '_socket.socket' objects}
     9435   25.544    0.003  515.537    0.055 Neo4jPreAggFeatureStore.py:225(_get_both_from_db)
     9435   10.848    0.001  478.984    0.051 Neo4jPreAggFeatureStore.py:335(_fetch_sampled_gcnnorm_bundle)
      442    1.180    0.003  407.074    0.921 __init__.py:1025(cpu_percent)
        1    0.000    0.000  369.514  369.514 CPU_utilization_logger.py:88(monitor)
     9431    1.693    0.000  240.596    0.026 Training.py:235(_run_batch)
      220    2.294    0.010  202.147    0.919 CPU_utilization_logger.py:39(_sample_process_cpu)
     9435    1.818    0.000  184.881    0.020 Neo4jJavaNeighborSampler.py:53(sample_from_nodes)
     9435    0.352    0.000  164.301    0.017 Neo4jAbstractGS.py:113(sample_from_nodes)
     9431   49.207    0.005  110.744    0.012 Training.py:209(_get_model_kwargs)
4977/2984    0.968    0.000   86.928    0.029 _pslinux.py:1589(wrapper)
        1    0.000    0.000   83.515   83.515 Training.py:339(_start_training)
    18871    0.348    0.000   81.082    0.004 session.py:254(run)
    18871    0.248    0.000   77.737    0.004 result.py:180(_run)
103785/18870    0.575    0.000   65.270    0.003 module.py:1747(_wrapped_call_impl)
103785/18870    0.816    0.000   64.522    0.003 module.py:1755(_call_impl)
     9435    0.200    0.000   63.389    0.007 hybrid_model.py:46(forward)
     9435    0.175    0.000   62.553    0.007 GCN.py:17(forward)
    18870    1.645    0.000   58.538    0.003 gcn_conv.py:227(forward)
    18871    0.054    0.000   48.413    0.003 result.py:434(_attach)
  6423136   45.244    0.000   45.244    0.000 {built-in method torch.tensor}
     9431    0.129    0.000   43.559    0.005 _tensor.py:592(backward)
     9431    0.242    0.000   43.362    0.005 __init__.py:243(backward)
    18862    0.099    0.000   42.902    0.002 __init__.py:669(update)
    18862   42.704    0.002   42.704    0.002 {built-in method _collections._count_elements}
     9431    0.127    0.000   42.561    0.005 graph.py:815(_engine_run_backward)
     9431   42.351    0.004   42.351    0.004 {method 'run_backward' of 'torch._C._EngineBase' objects}
