         1956768 function calls (1950020 primitive calls) in 8.228 seconds

   Ordered by: cumulative time
   List reduced from 701 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    8.443    2.814 threading.py:1117(join)
        3    0.000    0.000    8.384    2.795 threading.py:1155(_wait_for_tstate_lock)
   604/55    0.074    0.000    8.171    0.149 {method 'acquire' of '_thread.lock' objects}
      3/1    0.000    0.000    8.171    8.171 threading.py:1018(_bootstrap)
      3/1    0.000    0.000    8.171    8.171 threading.py:1058(_bootstrap_inner)
      3/1    0.000    0.000    8.171    8.171 threading.py:1001(run)
        1    0.000    0.000    8.171    8.171 CPU_utilization_logger.py:88(monitor)
        1    0.002    0.002    8.171    8.171 Training.py:339(_start_training)
      120    0.002    0.000    7.004    0.058 dataloader.py:728(__next__)
      120    0.001    0.000    6.983    0.058 dataloader.py:787(_next_data)
      100    0.002    0.000    6.979    0.070 fetch.py:47(fetch)
      100    0.003    0.000    6.977    0.070 node_loader.py:143(collate_fn)
    11300    0.009    0.000    6.736    0.001 _common.py:191(inner)
    10640    0.015    0.000    6.657    0.001 _bolt.py:849(fetch_message)
    10420    0.015    0.000    6.583    0.001 result.py:392(__iter__)
    10640    0.017    0.000    6.492    0.001 _common.py:76(pop)
      100    0.002    0.000    6.478    0.065 node_loader.py:154(filter_fn)
      100    0.002    0.000    6.328    0.063 utils.py:209(filter_custom_store)
      100    0.005    0.000    6.312    0.063 feature_store.py:344(multi_get_tensor)
      100    0.356    0.004    6.297    0.063 Neo4jFS.py:136(_multi_get_tensor)
       20    0.056    0.003    6.219    0.311 Training.py:165(_evaluate_split)
       20    0.008    0.000    6.163    0.308 evaluate.py:36(evaluate)
      100    0.001    0.000    5.979    0.060 Neo4jFS.py:247(_get_both_from_db)
      100    0.024    0.000    5.978    0.060 Neo4jFS.py:254(_get_both_from_db_java)
    10640    0.026    0.000    5.348    0.001 _common.py:47(_buffer_one_chunk)
    39097    0.069    0.000    5.312    0.000 _common.py:334(receive_into_buffer)
    39129    0.026    0.000    5.228    0.000 _bolt_socket.py:460(recv_into)
    39129    0.032    0.000    5.104    0.000 _bolt_socket.py:389(_wait_for_read)
    39349    0.028    0.000    5.078    0.000 _bolt_socket.py:409(_wait_for_io)
    39129    5.007    0.000    5.007    0.000 {method 'recv_into' of '_socket.socket' objects}
       20    0.018    0.001    1.949    0.097 Training.py:247(_run_epoch)
2084/1424    0.002    0.000    1.563    0.001 {built-in method builtins.next}
