         76664087 function calls (76525615 primitive calls) in 315.974 seconds

   Ordered by: cumulative time
   List reduced from 701 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1168/287    2.796    0.002  397.489    1.385 {method 'acquire' of '_thread.lock' objects}
        2    0.000    0.000  316.326  158.163 threading.py:1117(join)
        2    0.000    0.000  316.277  158.139 threading.py:1155(_wait_for_tstate_lock)
      2/1    0.000    0.000  315.953  315.953 threading.py:1018(_bootstrap)
      2/1    0.000    0.000  315.953  315.953 threading.py:1058(_bootstrap_inner)
      2/1    0.000    0.000  315.952  315.952 threading.py:1001(run)
37693/3901    0.042    0.000  273.519    0.070 {built-in method builtins.next}
     3074    0.060    0.000  273.502    0.089 dataloader.py:728(__next__)
     3074    0.037    0.000  273.156    0.089 dataloader.py:787(_next_data)
     3073    0.080    0.000  272.974    0.089 fetch.py:47(fetch)
     3073    0.136    0.000  272.734    0.089 node_loader.py:143(collate_fn)
    36882    0.080    0.000  230.471    0.006 _common.py:191(inner)
    18441    0.099    0.000  227.068    0.012 _bolt.py:849(fetch_message)
    18441    0.089    0.000  225.692    0.012 _common.py:76(pop)
    12294    0.049    0.000  219.534    0.018 result.py:392(__iter__)
        1    0.000    0.000  215.680  215.680 CPU_utilization_logger.py:88(monitor)
        1    0.000    0.000  215.679  215.679 Training.py:339(_start_training)
        1    3.712    3.712  215.093  215.093 Training.py:247(_run_epoch)
    18441    0.118    0.000  212.178    0.012 _common.py:47(_buffer_one_chunk)
   104127    0.256    0.000  212.127    0.002 _common.py:334(receive_into_buffer)
   104222    0.116    0.000  211.560    0.002 _bolt_socket.py:460(recv_into)
   110369    0.136    0.000  209.904    0.002 _bolt_socket.py:409(_wait_for_io)
   104222    0.164    0.000  209.778    0.002 _bolt_socket.py:389(_wait_for_read)
   104222  209.308    0.002  209.308    0.002 {method 'recv_into' of '_socket.socket' objects}
     3073    0.062    0.000  147.636    0.048 node_loader.py:154(filter_fn)
     3073    0.080    0.000  147.037    0.048 utils.py:209(filter_custom_store)
     3073    0.479    0.000  146.270    0.048 feature_store.py:344(multi_get_tensor)
     3073   17.515    0.006  145.358    0.047 Neo4jFS.py:136(_multi_get_tensor)
     3073    1.683    0.001  125.140    0.041 Neo4jJavaNeighborSampler.py:53(sample_from_nodes)
   290/72    0.002    0.000  121.950    1.694 threading.py:637(wait)
     3073    0.065    0.000  120.497    0.039 Neo4jFS.py:247(_get_both_from_db)
     3073    2.910    0.001  120.129    0.039 Neo4jFS.py:254(_get_both_from_db_java)
     3073    0.114    0.000  115.642    0.038 Neo4jAbstractGS.py:113(sample_from_nodes)
   290/72    0.573    0.002  101.853    1.415 threading.py:323(wait)
     3072    0.361    0.000   19.356    0.006 Training.py:235(_run_batch)
     6144    0.035    0.000   15.598    0.003 __init__.py:669(update)
     6144   15.529    0.003   15.529    0.003 {built-in method _collections._count_elements}
    18441    7.797    0.000   13.205    0.001 __init__.py:289(unpack)
     6147    0.108    0.000   12.661    0.002 session.py:254(run)
     6147    0.073    0.000   11.663    0.002 result.py:180(_run)
27657/6146    0.134    0.000    8.978    0.001 module.py:1747(_wrapped_call_impl)
27657/6146    0.198    0.000    8.947    0.001 module.py:1755(_call_impl)
     3073    0.049    0.000    8.636    0.003 GCN.py:17(forward)
     3072    0.014    0.000    8.624    0.003 Measurer.py:196(log_edge_visits)
     6147    0.023    0.000    7.963    0.001 result.py:434(_attach)
     6146    0.438    0.000    7.936    0.001 gcn_conv.py:227(forward)
     3073    4.889    0.002    7.723    0.003 Neo4jAbstractGS.py:154(build_topo_etl)
     3072    0.015    0.000    7.003    0.002 Measurer.py:193(log_node_visits)
