         43050926 function calls (42960921 primitive calls) in 980.924 seconds

   Ordered by: cumulative time
   List reduced from 728 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
11056/819  181.971    0.016 1284.504    1.568 {method 'acquire' of '_thread.lock' objects}
 2761/205    0.559    0.000 1099.742    5.365 threading.py:637(wait)
        3    0.000    0.000  984.120  328.040 threading.py:1117(join)
        3    0.000    0.000  984.074  328.025 threading.py:1155(_wait_for_tstate_lock)
      3/1    0.000    0.000  980.893  980.893 threading.py:1018(_bootstrap)
      3/1    0.000    0.000  980.893  980.893 threading.py:1058(_bootstrap_inner)
      3/1    0.000    0.000  980.892  980.892 threading.py:1001(run)
        1    0.000    0.000  980.892  980.892 CPU_utilization_logger.py:88(monitor)
     1348    0.028    0.000  898.278    0.666 dataloader.py:728(__next__)
     1348    0.009    0.000  897.860    0.666 dataloader.py:787(_next_data)
     1346    0.023    0.000  897.814    0.667 fetch.py:47(fetch)
     1346    0.053    0.000  897.642    0.667 node_loader.py:143(collate_fn)
     1346    0.029    0.000  872.246    0.648 node_loader.py:154(filter_fn)
     1346    0.042    0.000  861.596    0.640 utils.py:209(filter_custom_store)
     1346    0.664    0.000  831.080    0.617 feature_store.py:344(multi_get_tensor)
     1346   74.675    0.055  830.259    0.617 Neo4jFS.py:136(_multi_get_tensor)
     1346   53.740    0.040  767.066    0.570 Neo4jPreAggFeatureStore.py:112(_get_both_from_db)
    29958    0.045    0.000  743.598    0.025 _common.py:191(inner)
    21876    0.060    0.000  732.628    0.033 _bolt.py:849(fetch_message)
    21876    0.065    0.000  730.963    0.033 _common.py:76(pop)
    19182    0.041    0.000  730.050    0.038 result.py:392(__iter__)
     1346    0.984    0.001  723.124    0.537 Neo4jPreAggFeatureStore.py:215(_fetch_sampled_gcnnorm_bundle)
   679251    1.026    0.000  715.719    0.001 _common.py:334(receive_into_buffer)
   680945    0.411    0.000  713.023    0.001 _bolt_socket.py:460(recv_into)
    21876    0.447    0.000  710.917    0.032 _common.py:47(_buffer_one_chunk)
 2761/205    1.340    0.000  571.411    2.787 threading.py:323(wait)
18204/2700    0.019    0.000  545.523    0.202 {built-in method builtins.next}
   680945    0.557    0.000  532.965    0.001 _bolt_socket.py:389(_wait_for_read)
   683639    0.470    0.000  532.519    0.001 _bolt_socket.py:409(_wait_for_io)
   680945  531.294    0.001  531.294    0.001 {method 'recv_into' of '_socket.socket' objects}
        2    0.003    0.001  271.307  135.653 Training.py:167(_evaluate_split)
        2    1.065    0.532  246.237  123.118 evaluate.py:39(evaluate)
        1    0.001    0.001  239.237  239.237 Training.py:358(_start_training)
        2    0.984    0.492  225.626  112.813 Training.py:266(_run_epoch)
     1292    6.455    0.005   60.906    0.047 Training.py:254(_run_batch)
      196    0.086    0.000   43.149    0.220 CPU_utilization_logger.py:39(_sample_process_cpu)
    21876    2.715    0.000   35.784    0.002 __init__.py:289(unpack)
16152/2692    0.105    0.000   35.757    0.013 module.py:1747(_wrapped_call_impl)
16152/2692    1.630    0.000   35.627    0.013 module.py:1755(_call_impl)
    21876   33.969    0.002   33.969    0.002 {built-in method neo4j._rust.codec.packstream.v1.unpack}
