         827518 function calls (805050 primitive calls) in 2.965 seconds

   Ordered by: cumulative time
   List reduced from 491 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    3.031    1.010 threading.py:1117(join)
        3    0.000    0.000    2.992    0.997 threading.py:1155(_wait_for_tstate_lock)
   204/91    0.002    0.000    2.929    0.032 {method 'acquire' of '_thread.lock' objects}
      3/1    0.000    0.000    2.927    2.927 threading.py:1018(_bootstrap)
      3/1    0.000    0.000    2.927    2.927 threading.py:1058(_bootstrap_inner)
      3/1    0.000    0.000    2.927    2.927 threading.py:1001(run)
        1    0.000    0.000    2.927    2.927 CPU_utilization_logger.py:88(monitor)
        1    0.010    0.010    2.927    2.927 Training.py:354(_start_training)
       90    0.121    0.001    1.998    0.022 Training.py:262(_run_epoch)
      360    0.029    0.000    1.396    0.004 Training.py:250(_run_batch)
4860/1080    0.019    0.000    1.020    0.001 module.py:1747(_wrapped_call_impl)
4860/1080    0.027    0.000    1.016    0.001 module.py:1755(_call_impl)
      540    0.007    0.000    0.968    0.002 GCN.py:17(forward)
       90    0.005    0.000    0.914    0.010 Training.py:166(_evaluate_split)
       90    0.033    0.000    0.909    0.010 evaluate.py:36(evaluate)
     1080    0.043    0.000    0.898    0.001 gcn_conv.py:227(forward)
      630    0.008    0.000    0.583    0.001 dataloader.py:728(__next__)
      630    0.003    0.000    0.510    0.001 dataloader.py:787(_next_data)
      540    0.010    0.000    0.487    0.001 fetch.py:47(fetch)
      540    0.006    0.000    0.476    0.001 node_loader.py:143(collate_fn)
     1080    0.104    0.000    0.369    0.000 gcn_conv.py:45(gcn_norm)
     1080    0.035    0.000    0.354    0.000 torch_geometric.nn.conv.gcn_conv_GCNConv_propagate_8r4sot8c.py:116(propagate)
1894/1534    0.003    0.000    0.347    0.000 {built-in method builtins.next}
      360    0.011    0.000    0.325    0.001 optimizer.py:465(wrapper)
      540    0.024    0.000    0.309    0.001 node_loader.py:154(filter_fn)
      360    0.003    0.000    0.278    0.001 _tensor.py:592(backward)
      360    0.008    0.000    0.271    0.001 optimizer.py:60(_use_grad)
      360    0.008    0.000    0.271    0.001 __init__.py:243(backward)
      360    0.006    0.000    0.257    0.001 adam.py:212(step)
