         11718795 function calls (11687309 primitive calls) in 31.249 seconds

   Ordered by: cumulative time
   List reduced from 679 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000   31.520   10.507 threading.py:1117(join)
        3    0.000    0.000   31.481   10.494 threading.py:1155(_wait_for_tstate_lock)
   808/67    0.178    0.000   31.294    0.467 {method 'acquire' of '_thread.lock' objects}
      3/1    0.000    0.000   31.217   31.217 threading.py:1018(_bootstrap)
      3/1    0.000    0.000   31.217   31.217 threading.py:1058(_bootstrap_inner)
      3/1    0.000    0.000   31.217   31.217 threading.py:1001(run)
        1    0.000    0.000   31.217   31.217 CPU_utilization_logger.py:88(monitor)
        1    0.011    0.011   31.216   31.216 Training.py:354(_start_training)
      630    0.014    0.000   21.933    0.035 dataloader.py:728(__next__)
      630    0.004    0.000   21.795    0.035 dataloader.py:787(_next_data)
      540    0.011    0.000   21.765    0.040 fetch.py:47(fetch)
      540    0.015    0.000   21.750    0.040 node_loader.py:143(collate_fn)
       90    0.096    0.001   20.585    0.229 Training.py:166(_evaluate_split)
       90    0.167    0.002   20.489    0.228 evaluate.py:36(evaluate)
    51930    0.041    0.000   19.188    0.000 _common.py:191(inner)
      540    0.013    0.000   18.618    0.034 node_loader.py:154(filter_fn)
      540    0.013    0.000   18.395    0.034 utils.py:209(filter_custom_store)
    48420    0.069    0.000   18.205    0.000 _bolt.py:849(fetch_message)
      540    0.019    0.000   18.171    0.034 feature_store.py:344(multi_get_tensor)
      540    1.281    0.002   18.077    0.033 Neo4jFS.py:136(_multi_get_tensor)
    48420    0.085    0.000   17.405    0.000 _common.py:76(pop)
    47250    0.069    0.000   17.212    0.000 result.py:392(__iter__)
      540    0.916    0.002   16.486    0.031 Neo4jPreAggFeatureStore.py:112(_get_both_from_db)
    48420    0.097    0.000   15.906    0.000 _common.py:47(_buffer_one_chunk)
   127638    0.186    0.000   15.837    0.000 _common.py:334(receive_into_buffer)
      540    0.324    0.001   15.548    0.029 Neo4jPreAggFeatureStore.py:215(_fetch_sampled_gcnnorm_bundle)
   127876    0.091    0.000   15.522    0.000 _bolt_socket.py:460(recv_into)
   127876    0.111    0.000   15.296    0.000 _bolt_socket.py:389(_wait_for_read)
   129046    0.103    0.000   15.240    0.000 _bolt_socket.py:409(_wait_for_io)
   127876   14.948    0.000   14.948    0.000 {method 'recv_into' of '_socket.socket' objects}
       90    0.138    0.002   10.615    0.118 Training.py:262(_run_epoch)
8196/3876    0.008    0.000    7.166    0.002 {built-in method builtins.next}
      360    0.042    0.000    3.138    0.009 Training.py:250(_run_batch)
      540    0.034    0.000    3.096    0.006 Neo4jJavaNeighborSampler.py:53(sample_from_nodes)
     1170    0.021    0.000    2.737    0.002 session.py:254(run)
      540    0.020    0.000    2.610    0.005 Neo4jAbstractGS.py:113(sample_from_nodes)
     1170    0.014    0.000    2.533    0.002 result.py:180(_run)
       90    0.031    0.000    2.464    0.027 Neo4jAbstractGS.py:88(get_split)
6480/1080    0.033    0.000    2.275    0.002 module.py:1747(_wrapped_call_impl)
6480/1080    0.320    0.000    2.266    0.002 module.py:1755(_call_impl)
      540    0.138    0.000    2.209    0.004 hybrid_model.py:46(forward)
      180    0.843    0.005    1.973    0.011 evaluate.py:10(_get_model_kwargs)
      540    0.010    0.000    1.739    0.003 GCN.py:17(forward)
     1170    0.003    0.000    1.540    0.001 result.py:434(_attach)
     1080    0.061    0.000    1.413    0.001 gcn_conv.py:227(forward)
    48420    0.131    0.000    1.183    0.000 __init__.py:289(unpack)
   152281    1.181    0.000    1.181    0.000 {built-in method torch.tensor}
      540    0.011    0.000    1.180    0.002 module.py:1767(inner)
    48420    1.052    0.000    1.052    0.000 {built-in method neo4j._rust.codec.packstream.v1.unpack}
      540    0.003    0.000    0.964    0.002 adapters.py:115(forward)
