         343000444 function calls (342943980 primitive calls) in 894.256 seconds

   Ordered by: cumulative time
   List reduced from 711 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
18572/759   38.865    0.002  980.463    1.292 {method 'acquire' of '_thread.lock' objects}
 4641/190    5.059    0.001  947.666    4.988 threading.py:637(wait)
        2    0.000    0.000  901.160  450.580 threading.py:1117(join)
        2    0.000    0.000  901.112  450.556 threading.py:1155(_wait_for_tstate_lock)
      2/1    0.000    0.000  894.213  894.213 threading.py:1018(_bootstrap)
      2/1    0.000    0.000  894.213  894.213 threading.py:1058(_bootstrap_inner)
      2/1    0.000    0.000  894.213  894.213 threading.py:1001(run)
      386    0.012    0.000  721.563    1.869 dataloader.py:728(__next__)
5804/1196    0.009    0.000  721.513    0.603 {built-in method builtins.next}
      386    0.017    0.000  717.690    1.859 dataloader.py:787(_next_data)
      385    0.041    0.000  713.882    1.854 fetch.py:47(fetch)
      385    0.541    0.001  710.148    1.845 node_loader.py:143(collate_fn)
      356    1.893    0.005  693.783    1.949 __init__.py:1025(cpu_percent)
     4626    0.016    0.000  571.604    0.124 _common.py:191(inner)
        1    0.000    0.000  534.977  534.977 CPU_utilization_logger.py:88(monitor)
     2313    0.021    0.000  531.784    0.230 _bolt.py:849(fetch_message)
     2313    0.019    0.000  529.539    0.229 _common.py:76(pop)
    63871    0.130    0.000  513.146    0.008 _common.py:334(receive_into_buffer)
     2313    0.053    0.000  512.304    0.221 _common.py:47(_buffer_one_chunk)
    64269    0.068    0.000  510.541    0.008 _bolt_socket.py:460(recv_into)
     1542    0.009    0.000  499.169    0.324 result.py:392(__iter__)
      385    0.020    0.000  476.297    1.237 node_loader.py:154(filter_fn)
    65040    0.064    0.000  475.154    0.007 _bolt_socket.py:409(_wait_for_io)
    64269    0.082    0.000  474.930    0.007 _bolt_socket.py:389(_wait_for_read)
    64269  474.701    0.007  474.701    0.007 {method 'recv_into' of '_socket.socket' objects}
      385    0.029    0.000  470.235    1.221 utils.py:209(filter_custom_store)
