         109015 function calls (105133 primitive calls) in 2.018 seconds

   Ordered by: cumulative time
   List reduced from 480 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.018    2.018 threading.py:1117(join)
        2    1.827    0.914    1.827    0.914 {built-in method time.sleep}
        1    0.000    0.000    1.016    1.016 threading.py:1155(_wait_for_tstate_lock)
      8/6    0.000    0.000    1.016    0.169 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    1.016    1.016 threading.py:1018(_bootstrap)
        1    0.000    0.000    1.016    1.016 threading.py:1058(_bootstrap_inner)
        2    0.000    0.000    1.002    0.501 __init__.py:1025(cpu_percent)
        1    0.000    0.000    0.826    0.826 threading.py:1001(run)
        1    0.000    0.000    0.826    0.826 CPU_utilization_logger.py:15(monitor)
        1    0.000    0.000    0.190    0.190 Training.py:215(_start_training)
       10    0.001    0.000    0.132    0.013 Training.py:150(_run_epoch)
       50    0.001    0.000    0.100    0.002 Training.py:138(_run_batch)
  630/140    0.001    0.000    0.061    0.000 module.py:1747(_wrapped_call_impl)
  630/140    0.001    0.000    0.060    0.000 module.py:1755(_call_impl)
       10    0.001    0.000    0.058    0.006 evaluate.py:9(evaluate)
       70    0.000    0.000    0.056    0.001 GCN.py:11(forward)
      140    0.003    0.000    0.051    0.000 gcn_conv.py:227(forward)
       50    0.000    0.000    0.034    0.001 _tensor.py:592(backward)
       50    0.000    0.000    0.034    0.001 __init__.py:243(backward)
       80    0.000    0.000    0.034    0.000 dataloader.py:728(__next__)
       50    0.000    0.000    0.033    0.001 graph.py:815(_engine_run_backward)
       50    0.033    0.001    0.033    0.001 {method 'run_backward' of 'torch._C._EngineBase' objects}
       80    0.000    0.000    0.031    0.000 dataloader.py:787(_next_data)
       70    0.000    0.000    0.031    0.000 fetch.py:47(fetch)
       70    0.000    0.000    0.030    0.000 node_loader.py:143(collate_fn)
       50    0.000    0.000    0.029    0.001 optimizer.py:465(wrapper)
