Event,Time,Value
program_start,88174.958477208,1
nbr_training_datapoints,88174.95909675,140
epoch_start,88175.971762708,1
cpu_utilization_percentage,88175.989595125,97.1
ram_usage_mb,88175.989603333,455.671875
start_batch_fetch,88175.989659916,1
end_batch_fetch,88175.991286833,1
batch_nbr_nodes_total,88175.991297458,293
batch_nbr_edges_total,88175.991303333,469
batch_nbr_seed_nodes,88175.991310625,30
start_batch_processing,88175.99131325,1
batch_train_loss,88175.993369208,1.979907512664795
end_batch_processing,88176.011733291,1
start_batch_fetch,88176.011739875,1
end_batch_fetch,88176.0125125,1
batch_nbr_nodes_total,88176.012521166,397
batch_nbr_edges_total,88176.012525291,608
batch_nbr_seed_nodes,88176.012530375,30
start_batch_processing,88176.012532291,1
batch_train_loss,88176.013466625,1.9575345516204834
end_batch_processing,88176.014868083,1
start_batch_fetch,88176.014873583,1
end_batch_fetch,88176.015437541,1
batch_nbr_nodes_total,88176.015444916,359
batch_nbr_edges_total,88176.015448875,584
batch_nbr_seed_nodes,88176.015457708,30
start_batch_processing,88176.01545975,1
batch_train_loss,88176.01640325,1.926734209060669
end_batch_processing,88176.017610291,1
start_batch_fetch,88176.017613125,1
end_batch_fetch,88176.017999625,1
batch_nbr_nodes_total,88176.018006791,376
batch_nbr_edges_total,88176.018010583,626
batch_nbr_seed_nodes,88176.018015625,30
start_batch_processing,88176.018017625,1
batch_train_loss,88176.018883625,1.9832088947296143
end_batch_processing,88176.020042125,1
start_batch_fetch,88176.020047416,1
end_batch_fetch,88176.020509208,1
batch_nbr_nodes_total,88176.020515208,198
batch_nbr_edges_total,88176.020518708,340
batch_nbr_seed_nodes,88176.020527166,20
start_batch_processing,88176.020529166,1
batch_train_loss,88176.021296458,2.0108354091644287
end_batch_processing,88176.022418791,1
epoch_end,88176.022428791,1
start_validation_accuracy,88176.022430375,1
validation_accuracy,88176.030958791,0.12200000354653744
validation_loss,88176.030965083,1.928946614265442
end_validation_accuracy,88176.030967541,1
start_saving_weights,88176.03096975,1
end_saving_weights,88176.030974291,1
epoch_start,88176.030980375,1
start_batch_fetch,88176.031022416,1
end_batch_fetch,88176.031539541,1
batch_nbr_nodes_total,88176.031551583,295
batch_nbr_edges_total,88176.031554916,469
batch_nbr_seed_nodes,88176.031559166,30
start_batch_processing,88176.031560666,1
batch_train_loss,88176.032490666,1.927919626235962
end_batch_processing,88176.033776375,1
start_batch_fetch,88176.033784208,1
end_batch_fetch,88176.034260958,1
batch_nbr_nodes_total,88176.034270458,396
batch_nbr_edges_total,88176.034274041,608
batch_nbr_seed_nodes,88176.03427825,30
start_batch_processing,88176.034280375,1
batch_train_loss,88176.035234708,1.9331003427505493
end_batch_processing,88176.036324458,1
start_batch_fetch,88176.036327541,1
end_batch_fetch,88176.036804541,1
batch_nbr_nodes_total,88176.036809291,350
batch_nbr_edges_total,88176.036812375,578
batch_nbr_seed_nodes,88176.036816458,30
start_batch_processing,88176.036817791,1
batch_train_loss,88176.037616458,1.9078260660171509
end_batch_processing,88176.038760833,1
start_batch_fetch,88176.038764458,1
end_batch_fetch,88176.039227291,1
batch_nbr_nodes_total,88176.039232791,376
batch_nbr_edges_total,88176.03923625,627
batch_nbr_seed_nodes,88176.039240416,30
start_batch_processing,88176.039241958,1
batch_train_loss,88176.040068291,1.9542995691299438
end_batch_processing,88176.041010916,1
start_batch_fetch,88176.041012708,1
end_batch_fetch,88176.041304125,1
batch_nbr_nodes_total,88176.041307541,194
batch_nbr_edges_total,88176.041309875,340
batch_nbr_seed_nodes,88176.04131325,20
start_batch_processing,88176.041314416,1
batch_train_loss,88176.041881125,1.9558757543563843
end_batch_processing,88176.042822166,1
epoch_end,88176.042831208,1
start_validation_accuracy,88176.042833208,1
validation_accuracy,88176.050283625,0.15000000451386097
validation_loss,88176.050287833,1.9266270399093628
end_validation_accuracy,88176.050289708,1
start_saving_weights,88176.050291416,1
end_saving_weights,88176.050293416,1
epoch_start,88176.0502975,1
start_batch_fetch,88176.050328958,1
end_batch_fetch,88176.050743333,1
batch_nbr_nodes_total,88176.050763666,290
batch_nbr_edges_total,88176.050766916,469
batch_nbr_seed_nodes,88176.0507705,30
start_batch_processing,88176.050771708,1
batch_train_loss,88176.051556666,1.922406554222107
end_batch_processing,88176.052557583,1
start_batch_fetch,88176.052560708,1
end_batch_fetch,88176.052962791,1
batch_nbr_nodes_total,88176.052973,390
batch_nbr_edges_total,88176.052975958,612
batch_nbr_seed_nodes,88176.052979458,30
start_batch_processing,88176.05298075,1
batch_train_loss,88176.053816625,1.922282099723816
end_batch_processing,88176.054949666,1
start_batch_fetch,88176.054952791,1
end_batch_fetch,88176.055385,1
batch_nbr_nodes_total,88176.055395,350
batch_nbr_edges_total,88176.055397916,572
batch_nbr_seed_nodes,88176.055401791,30
start_batch_processing,88176.055403083,1
batch_train_loss,88176.056253208,1.9032588005065918
end_batch_processing,88176.057243291,1
start_batch_fetch,88176.057245583,1
end_batch_fetch,88176.0576575,1
batch_nbr_nodes_total,88176.057667041,382
batch_nbr_edges_total,88176.05767025,631
batch_nbr_seed_nodes,88176.057673958,30
start_batch_processing,88176.057676166,1
batch_train_loss,88176.058498,1.9377682209014893
end_batch_processing,88176.059519666,1
start_batch_fetch,88176.059521666,1
end_batch_fetch,88176.059803083,1
batch_nbr_nodes_total,88176.059806791,200
batch_nbr_edges_total,88176.059809375,340
batch_nbr_seed_nodes,88176.059812916,20
start_batch_processing,88176.059814166,1
batch_train_loss,88176.060305375,1.932582139968872
end_batch_processing,88176.061083208,1
epoch_end,88176.061091416,1
start_validation_accuracy,88176.061092791,1
validation_accuracy,88176.067474833,0.4580000137765205
validation_loss,88176.067480166,1.911728858947754
end_validation_accuracy,88176.0674825,1
start_saving_weights,88176.067484833,1
end_saving_weights,88176.067487166,1
epoch_start,88176.067492041,1
start_batch_fetch,88176.06752925,1
end_batch_fetch,88176.067891291,1
batch_nbr_nodes_total,88176.067898041,299
batch_nbr_edges_total,88176.067900625,469
batch_nbr_seed_nodes,88176.067904208,30
start_batch_processing,88176.067905458,1
batch_train_loss,88176.06854775,1.8963290452957153
end_batch_processing,88176.069703416,1
start_batch_fetch,88176.069706416,1
end_batch_fetch,88176.070111916,1
batch_nbr_nodes_total,88176.070116583,395
batch_nbr_edges_total,88176.070119333,608
batch_nbr_seed_nodes,88176.070128083,30
start_batch_processing,88176.070129541,1
batch_train_loss,88176.070993125,1.8916881084442139
end_batch_processing,88176.071975541,1
start_batch_fetch,88176.071978125,1
end_batch_fetch,88176.072302833,1
batch_nbr_nodes_total,88176.072307541,354
batch_nbr_edges_total,88176.072311208,572
batch_nbr_seed_nodes,88176.072315666,30
start_batch_processing,88176.07231725,1
batch_train_loss,88176.073108375,1.8840349912643433
end_batch_processing,88176.074087666,1
start_batch_fetch,88176.074090666,1
end_batch_fetch,88176.074477166,1
batch_nbr_nodes_total,88176.074487541,383
batch_nbr_edges_total,88176.07449025,630
batch_nbr_seed_nodes,88176.07449425,30
start_batch_processing,88176.07449575,1
batch_train_loss,88176.075364416,1.9075554609298706
end_batch_processing,88176.076493875,1
start_batch_fetch,88176.076496833,1
end_batch_fetch,88176.076878291,1
batch_nbr_nodes_total,88176.076882291,192
batch_nbr_edges_total,88176.076885041,340
batch_nbr_seed_nodes,88176.076888958,20
start_batch_processing,88176.076890333,1
batch_train_loss,88176.077486625,1.9136292934417725
end_batch_processing,88176.078497375,1
epoch_end,88176.078511583,1
start_validation_accuracy,88176.078513041,1
validation_accuracy,88176.084214875,0.40800001241694217
validation_loss,88176.08421875,1.8826531171798706
end_validation_accuracy,88176.084220625,1
start_saving_weights,88176.084222208,1
end_saving_weights,88176.084223875,1
epoch_start,88176.084226791,1
start_batch_fetch,88176.084260041,1
end_batch_fetch,88176.084575291,1
batch_nbr_nodes_total,88176.0846195,297
batch_nbr_edges_total,88176.084622458,469
batch_nbr_seed_nodes,88176.084626125,30
start_batch_processing,88176.084627333,1
