         152709177 function calls (152645744 primitive calls) in 115.785 seconds

   Ordered by: cumulative time
   List reduced from 633 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  115.793  115.793 threading.py:1117(join)
        1    0.000    0.000  115.792  115.792 threading.py:1155(_wait_for_tstate_lock)
      8/6    0.000    0.000  115.791   19.299 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000  115.791  115.791 threading.py:1018(_bootstrap)
        1    0.000    0.000  115.791  115.791 threading.py:1058(_bootstrap_inner)
        1    0.000    0.000  115.397  115.397 Training.py:231(_start_training)
      767    0.015    0.000  109.731    0.143 dataloader.py:728(__next__)
      766    0.096    0.000  109.728    0.143 node_loader.py:143(collate_fn)
      767    0.007    0.000  109.616    0.143 dataloader.py:787(_next_data)
      766    0.023    0.000  109.587    0.143 fetch.py:47(fetch)
        1    0.038    0.038   94.224   94.224 Training.py:166(_run_epoch)
      766    0.014    0.000   91.977    0.120 node_loader.py:154(filter_fn)
      766    0.018    0.000   91.899    0.120 utils.py:209(filter_custom_store)
      766    0.173    0.000   91.536    0.119 feature_store.py:344(multi_get_tensor)
      766    3.629    0.005   90.844    0.119 Neo4jAbstractFS.py:41(_multi_get_tensor)
10699/2264    0.011    0.000   90.469    0.040 {built-in method builtins.next}
      766    1.819    0.002   84.649    0.111 Neo4jAbstractFS.py:99(_get_both_from_db)
  1235718    1.861    0.000   84.449    0.000 result.py:392(__iter__)
  1244277    0.765    0.000   75.811    0.000 _common.py:191(inner)
  1238060    1.543    0.000   74.330    0.000 _bolt.py:849(fetch_message)
  1238060    1.897    0.000   52.097    0.000 _common.py:76(pop)
  1238060    1.963    0.000   38.807    0.000 _common.py:47(_buffer_one_chunk)
  2476120    3.666    0.000   35.918    0.000 _common.py:334(receive_into_buffer)
  2480852    1.710    0.000   31.377    0.000 _bolt_socket.py:460(recv_into)
  2480852    2.128    0.000   29.328    0.000 _bolt_socket.py:389(_wait_for_read)
  2483194    1.969    0.000   27.290    0.000 _bolt_socket.py:409(_wait_for_io)
  2480852   23.025    0.000   23.025    0.000 {method 'recv_into' of '_socket.socket' objects}
        1    0.021    0.021   21.173   21.173 evaluate.py:9(evaluate)
  1238060    1.598    0.000   20.071    0.000 _bolt6.py:504(_process_message)
      766    0.481    0.001   17.826    0.023 Neo4jSampler.py:144(sample_from_nodes)
  1234185    0.925    0.000   17.198    0.000 _common.py:241(on_records)
      766    0.022    0.000   16.991    0.022 Neo4jAbstractGS.py:118(fetch_ordered_subgraph)
1246534/1242659    0.839    0.000   16.227    0.000 util.py:102(callback)
  1234185    1.295    0.000   15.068    0.000 result.py:240(on_records)
  1234185    0.785    0.000   13.773    0.000 {method 'extend' of 'collections.deque' objects}
  2468370    2.653    0.000   12.988    0.000 result.py:250(<genexpr>)
  1234185    4.190    0.000    9.628    0.000 _data.py:59(__new__)
  1249685    1.606    0.000    9.106    0.000 _common.py:185(__getattr__)
  3642957    2.239    0.000    8.095    0.000 _data.py:124(__getitem__)
  1238060    0.991    0.000    6.954    0.000 __init__.py:289(unpack)
      769    6.884    0.009    6.885    0.009 {built-in method numpy.array}
  1244277    0.769    0.000    6.884    0.000 inspect.py:427(iscoroutinefunction)
  1238060    5.964    0.000    5.964    0.000 {built-in method neo4j._rust.codec.packstream.v1.unpack}
  4897838    3.880    0.000    4.078    0.000 _conf.py:33(iter_items)
  1238060    0.769    0.000    3.720    0.000 __init__.py:456(unpack_structure_header)
      649    0.070    0.000    3.688    0.006 Training.py:154(_run_batch)
  1244277    1.656    0.000    3.461    0.000 inspect.py:391(_has_code_flag)
     1533    0.023    0.000    3.305    0.002 session.py:254(run)
  3642957    1.918    0.000    3.137    0.000 _data.py:158(index)
     1533    0.019    0.000    3.071    0.002 result.py:180(_run)
25819709/25819687    2.685    0.000    2.703    0.000 {built-in method builtins.isinstance}
  1244277    1.263    0.000    2.655    0.000 inspect.py:412(_has_coroutine_mark)
     1533    0.004    0.000    2.375    0.002 result.py:434(_attach)
  3642957    1.984    0.000    2.341    0.000 _data.py:74(_super_getitem_single)
  1238060    0.897    0.000    2.218    0.000 __init__.py:463(_unpack_structure_header)
6894/1532    0.033    0.000    2.158    0.001 module.py:1747(_wrapped_call_impl)
6894/1532    0.045    0.000    1.984    0.001 module.py:1755(_call_impl)
      766    0.013    0.000    1.915    0.002 GCN.py:18(forward)
  2483194    1.837    0.000    1.837    0.000 {method 'settimeout' of '_socket.socket' objects}
     1532    0.095    0.000    1.769    0.001 gcn_conv.py:227(forward)
  4977108    1.148    0.000    1.726    0.000 inspect.py:306(ismethod)
        1    0.019    0.019    1.506    1.506 Neo4jAbstractGS.py:59(get_split)
