Event,Time,Value
program_start,208114.845233791,1
nbr_training_datapoints,208114.850716083,140
cpu_utilization_percentage,208114.851134958,19.9
ram_usage_mb,208114.851138583,580.609375
epoch_start,208114.851155333,1
start_batch_fetch,208114.851210958,1
topo_fetch_ms,208114.867546166,16.199125006096438
topo_etl_ms,208114.867744166,0.19070800044573843
cache_hit,208114.868048375,0
cache_miss,208114.868050916,465
remote_feature_fetch,208114.868052666,1
remote_feature_recieved,208114.878253041,1
feat_fetch_ms,208114.878256708,10.152333008591086
feat_x_etl_ms,208114.87962075,1.3604999985545874
cache_hit,208114.880178833,0
cache_miss,208114.880181291,465
remote_feature_fetch,208114.880183,1
remote_feature_recieved,208114.889506,1
feat_fetch_ms,208114.889508791,9.278249985072762
feat_y_etl_ms,208114.89039175,0.8800830109976232
end_batch_fetch,208114.890637333,1
batch_nbr_nodes_total,208114.890643791,465
batch_nbr_edges_total,208114.89064725,642
batch_nbr_seed_nodes,208114.890651916,30
start_batch_processing,208114.890653541,1
batch_train_loss,208114.891618833,1.94231379032135
end_batch_processing,208114.892364416,1
start_batch_fetch,208114.892367041,1
topo_fetch_ms,208114.900468375,8.02224999642931
topo_etl_ms,208114.900604083,0.13154197949916124
cache_hit,208114.900822666,0
cache_miss,208114.900824875,349
remote_feature_fetch,208114.900826416,1
remote_feature_recieved,208114.908465833,1
feat_fetch_ms,208114.908468791,7.59904200094752
feat_x_etl_ms,208114.909518958,1.04674999602139
cache_hit,208114.90990925,0
cache_miss,208114.909911416,349
remote_feature_fetch,208114.909912916,1
remote_feature_recieved,208114.917076125,1
feat_fetch_ms,208114.917078166,7.121250004274771
feat_y_etl_ms,208114.917747208,0.6664580141659826
end_batch_fetch,208114.917918916,1
batch_nbr_nodes_total,208114.917923541,349
batch_nbr_edges_total,208114.917926708,528
batch_nbr_seed_nodes,208114.917930666,30
start_batch_processing,208114.917932208,1
batch_train_loss,208114.918632416,1.950512409210205
end_batch_processing,208114.919288875,1
start_batch_fetch,208114.919291625,1
topo_fetch_ms,208114.927676666,8.313291007652879
topo_etl_ms,208114.927826458,0.1450830022804439
cache_hit,208114.928049958,0
cache_miss,208114.928051916,387
remote_feature_fetch,208114.928053416,1
remote_feature_recieved,208114.936944291,1
feat_fetch_ms,208114.936947791,8.851958002196625
feat_x_etl_ms,208114.938169291,1.2182079954072833
cache_hit,208114.938605375,0
cache_miss,208114.938607666,387
remote_feature_fetch,208114.938609083,1
remote_feature_recieved,208114.946853041,1
feat_fetch_ms,208114.946855291,8.201333024771884
feat_y_etl_ms,208114.947655416,0.7974579930305481
end_batch_fetch,208114.947831583,1
batch_nbr_nodes_total,208114.947836166,387
batch_nbr_edges_total,208114.947839166,579
batch_nbr_seed_nodes,208114.947843125,30
start_batch_processing,208114.947844625,1
batch_train_loss,208114.948540375,1.9522005319595337
end_batch_processing,208114.949186291,1
start_batch_fetch,208114.949188541,1
topo_fetch_ms,208114.957449041,8.194499998353422
topo_etl_ms,208114.957618166,0.1653329818509519
cache_hit,208114.957857833,0
cache_miss,208114.957859791,469
remote_feature_fetch,208114.9578615,1
remote_feature_recieved,208114.967547916,1
feat_fetch_ms,208114.967550208,9.647958009736612
feat_x_etl_ms,208114.968884041,1.3307500048540533
cache_hit,208114.969428458,0
cache_miss,208114.969430583,469
remote_feature_fetch,208114.969432166,1
remote_feature_recieved,208114.978633416,1
feat_fetch_ms,208114.97863525,9.160000015981495
feat_y_etl_ms,208114.979489333,0.8516669913660735
end_batch_fetch,208114.979682166,1
batch_nbr_nodes_total,208114.979686666,469
batch_nbr_edges_total,208114.979689416,672
batch_nbr_seed_nodes,208114.979693791,30
start_batch_processing,208114.979695125,1
batch_train_loss,208114.98045975,1.9289096593856812
end_batch_processing,208114.981072458,1
epoch_end,208114.98107975,1
start_validation_accuracy,208114.981081166,1
topo_fetch_ms,208115.050225791,56.97412500740029
topo_etl_ms,208115.051006416,0.7756669947411865
cache_hit,208115.051737708,0
cache_miss,208115.051739791,2295
remote_feature_fetch,208115.05174125,1
remote_feature_recieved,208115.08832175,1
feat_fetch_ms,208115.088325583,36.539416993036866
feat_x_etl_ms,208115.093489041,5.160166998393834
cache_hit,208115.096406,0
cache_miss,208115.096408791,2295
remote_feature_fetch,208115.096410166,1
remote_feature_recieved,208115.130223041,1
feat_fetch_ms,208115.130226541,33.7624579842668
feat_y_etl_ms,208115.133560666,3.330167004605755
topo_fetch_ms,208115.190969625,54.629166988888755
topo_etl_ms,208115.191822958,0.8472079935017973
cache_hit,208115.192713083,0
cache_miss,208115.192715833,2314
remote_feature_fetch,208115.192717541,1
remote_feature_recieved,208115.234407333,1
feat_fetch_ms,208115.234410333,41.64150002179667
feat_x_etl_ms,208115.239879208,5.465708003612235
cache_hit,208115.242796208,0
cache_miss,208115.242798791,2314
remote_feature_fetch,208115.24280025,1
remote_feature_recieved,208115.277504916,1
feat_fetch_ms,208115.277508375,34.6592919959221
feat_y_etl_ms,208115.280939041,3.4279170213267207
validation_accuracy,208115.283632458,0.1520000047538979
validation_loss,208115.283636416,1.9480233192443848
end_validation_accuracy,208115.283639083,1
start_saving_weights,208115.283641416,1
end_saving_weights,208115.283644375,1
epoch_start,208115.283648375,1
start_batch_fetch,208115.283685125,1
topo_fetch_ms,208115.293945416,10.180957993725315
topo_etl_ms,208115.294115,0.16516700270585716
cache_hit,208115.294356291,0
cache_miss,208115.294358291,466
remote_feature_fetch,208115.294359708,1
remote_feature_recieved,208115.306889916,1
feat_fetch_ms,208115.306892833,12.49312498839572
feat_x_etl_ms,208115.308244416,1.3486660027410835
cache_hit,208115.308730291,0
cache_miss,208115.308732458,466
remote_feature_fetch,208115.308733916,1
remote_feature_recieved,208115.318132041,1
feat_fetch_ms,208115.318135041,9.357333008665591
feat_y_etl_ms,208115.319051958,0.9136660082731396
end_batch_fetch,208115.3192725,1
batch_nbr_nodes_total,208115.319278125,466
batch_nbr_edges_total,208115.319281125,639
batch_nbr_seed_nodes,208115.319285083,30
start_batch_processing,208115.319286916,1
batch_train_loss,208115.320163375,1.920957088470459
end_batch_processing,208115.320808208,1
start_batch_fetch,208115.320810416,1
topo_fetch_ms,208115.332456291,11.575166980037466
topo_etl_ms,208115.332593083,0.13283398584462702
cache_hit,208115.332805625,0
cache_miss,208115.332807791,354
remote_feature_fetch,208115.332809083,1
remote_feature_recieved,208115.340456333,1
feat_fetch_ms,208115.340458583,7.608207990415394
feat_x_etl_ms,208115.341551208,1.0900420020334423
cache_hit,208115.341963541,0
cache_miss,208115.341965541,354
remote_feature_fetch,208115.341966958,1
remote_feature_recieved,208115.349150666,1
feat_fetch_ms,208115.349152916,7.1451659896411
feat_y_etl_ms,208115.349824916,0.6694580079056323
end_batch_fetch,208115.349993583,1
batch_nbr_nodes_total,208115.349998333,354
batch_nbr_edges_total,208115.350001166,528
batch_nbr_seed_nodes,208115.350004916,30
start_batch_processing,208115.350006166,1
batch_train_loss,208115.350712083,1.9325119256973267
end_batch_processing,208115.351311583,1
start_batch_fetch,208115.351313791,1
topo_fetch_ms,208115.361469833,10.091459000250325
topo_etl_ms,208115.361609416,0.13612498878501356
cache_hit,208115.361820416,0
cache_miss,208115.361822416,389
remote_feature_fetch,208115.361823791,1
remote_feature_recieved,208115.370287583,1
feat_fetch_ms,208115.370289875,8.427208027569577
feat_x_etl_ms,208115.371438166,1.1459169909358025
cache_hit,208115.371845708,0
cache_miss,208115.371847583,389
remote_feature_fetch,208115.371849083,1
remote_feature_recieved,208115.379816541,1
feat_fetch_ms,208115.379818666,7.928499981062487
feat_y_etl_ms,208115.380582333,0.7612920016981661
end_batch_fetch,208115.380755833,1
batch_nbr_nodes_total,208115.380759916,389
batch_nbr_edges_total,208115.380762791,580
batch_nbr_seed_nodes,208115.380766666,30
start_batch_processing,208115.380768041,1
batch_train_loss,208115.381508375,1.930580735206604
end_batch_processing,208115.382105583,1
start_batch_fetch,208115.382107541,1
topo_fetch_ms,208115.392282916,10.111750016221777
topo_etl_ms,208115.3924525,0.1662909926380962
cache_hit,208115.392702833,0
cache_miss,208115.39270475,474
remote_feature_fetch,208115.392706041,1
remote_feature_recieved,208115.402029166,1
feat_fetch_ms,208115.402031416,9.28637498873286
feat_x_etl_ms,208115.4033695,1.3355840055737644
cache_hit,208115.403881666,0
cache_miss,208115.403883416,474
remote_feature_fetch,208115.403884916,1
remote_feature_recieved,208115.4125115,1
feat_fetch_ms,208115.412513291,8.589667006162927
feat_y_etl_ms,208115.413362125,0.8465419814456254
end_batch_fetch,208115.413541916,1
batch_nbr_nodes_total,208115.413546166,474
batch_nbr_edges_total,208115.413549,670
batch_nbr_seed_nodes,208115.413552666,30
start_batch_processing,208115.413554041,1
batch_train_loss,208115.414240208,1.9012292623519897
end_batch_processing,208115.414801208,1
epoch_end,208115.414808458,1
start_validation_accuracy,208115.414809916,1
topo_fetch_ms,208115.481825916,55.271999997785315
topo_etl_ms,208115.482707333,0.8764999802224338
cache_hit,208115.48361275,0
cache_miss,208115.483615541,2297
remote_feature_fetch,208115.4836175,1
remote_feature_recieved,208115.524277416,1
feat_fetch_ms,208115.524281291,40.60562499216758
feat_x_etl_ms,208115.529543458,5.2578340109903365
