Event,Time,Value
program_start,208109.813883708,1
sampling_backend,208109.815291375,pyg-lib
nbr_training_datapoints,208109.815685375,140
cpu_utilization_percentage,208109.816123791,14.7
ram_usage_mb,208109.816127041,540.25
epoch_start,208109.816136833,1
start_batch_fetch,208109.816177916,1
end_batch_fetch,208109.816830083,1
batch_nbr_nodes_total,208109.816835416,291
batch_nbr_edges_total,208109.816838666,469
batch_nbr_seed_nodes,208109.816842916,30
start_batch_processing,208109.816844416,1
batch_train_loss,208109.817712375,1.9758342504501343
end_batch_processing,208109.818384708,1
start_batch_fetch,208109.818386916,1
end_batch_fetch,208109.818878791,1
batch_nbr_nodes_total,208109.81888425,399
batch_nbr_edges_total,208109.818887541,608
batch_nbr_seed_nodes,208109.818891416,30
start_batch_processing,208109.818893041,1
batch_train_loss,208109.819579625,1.944702386856079
end_batch_processing,208109.820180333,1
start_batch_fetch,208109.820183083,1
end_batch_fetch,208109.820510958,1
batch_nbr_nodes_total,208109.820516291,349
batch_nbr_edges_total,208109.820519291,574
batch_nbr_seed_nodes,208109.820523416,30
start_batch_processing,208109.820524875,1
batch_train_loss,208109.821377083,1.9278380870819092
end_batch_processing,208109.821923125,1
start_batch_fetch,208109.821925583,1
end_batch_fetch,208109.822270166,1
batch_nbr_nodes_total,208109.822275791,381
batch_nbr_edges_total,208109.822278708,634
batch_nbr_seed_nodes,208109.822282666,30
start_batch_processing,208109.822284041,1
batch_train_loss,208109.822956083,1.9436568021774292
end_batch_processing,208109.823487583,1
epoch_end,208109.823495583,1
start_validation_accuracy,208109.823497083,1
validation_accuracy,208109.828228083,0.15600000501640873
validation_loss,208109.828232333,1.9436566829681396
end_validation_accuracy,208109.828234208,1
start_saving_weights,208109.828236,1
end_saving_weights,208109.828238375,1
epoch_start,208109.828241708,1
start_batch_fetch,208109.828273416,1
end_batch_fetch,208109.828602291,1
batch_nbr_nodes_total,208109.828608166,295
batch_nbr_edges_total,208109.828611041,469
batch_nbr_seed_nodes,208109.828614958,30
start_batch_processing,208109.828616416,1
batch_train_loss,208109.829199791,1.9393430948257446
end_batch_processing,208109.829709,1
start_batch_fetch,208109.829711416,1
end_batch_fetch,208109.830015875,1
batch_nbr_nodes_total,208109.830020458,390
batch_nbr_edges_total,208109.830023375,609
batch_nbr_seed_nodes,208109.830027083,30
start_batch_processing,208109.830028541,1
batch_train_loss,208109.830640458,1.9255845546722412
end_batch_processing,208109.831118083,1
start_batch_fetch,208109.83112025,1
end_batch_fetch,208109.831406916,1
batch_nbr_nodes_total,208109.831411041,351
batch_nbr_edges_total,208109.831413833,578
batch_nbr_seed_nodes,208109.831417666,30
start_batch_processing,208109.831419,1
batch_train_loss,208109.831983083,1.8999556303024292
end_batch_processing,208109.832555333,1
start_batch_fetch,208109.832557166,1
end_batch_fetch,208109.83284425,1
batch_nbr_nodes_total,208109.832848125,382
batch_nbr_edges_total,208109.832851208,627
