Event,Time,Value
program_start,208569.074492875,1
nbr_training_datapoints,208569.121131708,140
cpu_utilization_percentage,208569.121744041,0.0
ram_usage_mb,208569.121749125,429.125
epoch_start,208569.121766458,1
start_batch_fetch,208569.121865291,1
topo_fetch_ms,208569.131897791,9.757874999195337
topo_etl_ms,208569.132086875,0.1830830005928874
cache_hit,208569.132433708,0
cache_miss,208569.132436541,419
remote_feature_fetch,208569.132438208,1
remote_feature_recieved,208569.143625041,1
feat_fetch_ms,208569.143628583,11.135041015222669
feat_x_etl_ms,208569.145201875,1.5704170218668878
cache_hit,208569.145809125,0
cache_miss,208569.145811875,419
remote_feature_fetch,208569.145813625,1
remote_feature_recieved,208569.155772708,1
feat_fetch_ms,208569.155775333,9.910832974128425
feat_y_etl_ms,208569.156709708,0.9319160017184913
end_batch_fetch,208569.156986958,1
batch_nbr_nodes_total,208569.156993875,419
batch_nbr_edges_total,208569.156997416,654
batch_nbr_seed_nodes,208569.157001791,30
start_batch_processing,208569.157003291,1
batch_train_loss,208569.158680375,1.953355073928833
end_batch_processing,208569.172942708,1
start_batch_fetch,208569.172946833,1
topo_fetch_ms,208569.181238916,8.148208988131955
topo_etl_ms,208569.181399291,0.15491698286496103
cache_hit,208569.181664375,0
cache_miss,208569.181666416,337
remote_feature_fetch,208569.18166775,1
remote_feature_recieved,208569.189778541,1
feat_fetch_ms,208569.189781291,8.072416996583343
feat_x_etl_ms,208569.190949416,1.1656249989755452
cache_hit,208569.191344583,0
cache_miss,208569.191346625,337
remote_feature_fetch,208569.191347958,1
remote_feature_recieved,208569.199256958,1
feat_fetch_ms,208569.199259291,7.8602919820696115
feat_y_etl_ms,208569.199962666,0.7012499845586717
end_batch_fetch,208569.200177208,1
batch_nbr_nodes_total,208569.20018225,337
batch_nbr_edges_total,208569.200185416,529
batch_nbr_seed_nodes,208569.200189291,30
start_batch_processing,208569.200190666,1
batch_train_loss,208569.201229833,1.943735957145691
end_batch_processing,208569.202100375,1
start_batch_fetch,208569.2021035,1
topo_fetch_ms,208569.209346916,7.140458998037502
topo_etl_ms,208569.209479416,0.1282920129597187
cache_hit,208569.209705541,0
cache_miss,208569.209710916,357
remote_feature_fetch,208569.209712291,1
remote_feature_recieved,208569.218093166,1
feat_fetch_ms,208569.218095791,8.341375010786578
feat_x_etl_ms,208569.219339041,1.240834011696279
cache_hit,208569.219761958,0
cache_miss,208569.219763791,357
remote_feature_fetch,208569.219765125,1
remote_feature_recieved,208569.22814125,1
feat_fetch_ms,208569.228143583,8.33695798064582
feat_y_etl_ms,208569.228899416,0.7534579781349748
end_batch_fetch,208569.229079083,1
batch_nbr_nodes_total,208569.229085375,357
batch_nbr_edges_total,208569.229088166,547
