Event,Time,Value
program_start,208711.291021541,1
nbr_training_datapoints,208711.299049,140
cpu_utilization_percentage,208711.2995405,16.7
ram_usage_mb,208711.29954475,547.796875
epoch_start,208711.299560833,1
start_batch_fetch,208711.299620333,1
topo_query_sent_ms,208711.325571708,2.7555410051718354
topo_first_record_ms,208711.325576833,7.202667009551078
topo_transfer_ms,208711.325578875,15.853207994950935
topo_etl_ms,208711.325763083,0.1923340023495257
cache_hit,208711.326065416,0
cache_miss,208711.326068,381
remote_feature_fetch,208711.3260695,1
remote_feature_recieved,208711.336805958,1
feat_fetch_ms,208711.336809833,10.68262499757111
feat_x_etl_ms,208711.338145166,1.3317500124685466
cache_hit,208711.338693666,0
cache_miss,208711.338695916,381
remote_feature_fetch,208711.3386975,1
remote_feature_recieved,208711.349636541,1
feat_fetch_ms,208711.349639958,10.890291014220566
feat_y_etl_ms,208711.350649416,1.0054580052383244
end_batch_fetch,208711.350934625,1
batch_nbr_nodes_total,208711.350940916,381
batch_nbr_edges_total,208711.350944125,622
batch_nbr_seed_nodes,208711.35094825,30
start_batch_processing,208711.3509495,1
batch_train_loss,208711.352433208,1.955588698387146
end_batch_processing,208711.353226041,1
start_batch_fetch,208711.35322875,1
topo_query_sent_ms,208711.370854916,0.6437080155592412
topo_first_record_ms,208711.370860291,2.874333004001528
topo_transfer_ms,208711.370862666,14.025791984749958
topo_etl_ms,208711.371033291,0.17929199384525418
cache_hit,208711.371298416,0
cache_miss,208711.371301041,359
remote_feature_fetch,208711.371302541,1
remote_feature_recieved,208711.380439833,1
feat_fetch_ms,208711.380441791,9.09083298756741
feat_x_etl_ms,208711.381666333,1.2221249926369637
cache_hit,208711.382056041,0
cache_miss,208711.382058,359
remote_feature_fetch,208711.3820595,1
remote_feature_recieved,208711.391109666,1
feat_fetch_ms,208711.391112625,9.011083020595834
feat_y_etl_ms,208711.391900208,0.7849159883335233
end_batch_fetch,208711.392099791,1
batch_nbr_nodes_total,208711.392105125,359
batch_nbr_edges_total,208711.392108041,595
batch_nbr_seed_nodes,208711.392112291,30
start_batch_processing,208711.392113666,1
batch_train_loss,208711.392942541,1.9384231567382812
end_batch_processing,208711.393908083,1
start_batch_fetch,208711.393917375,1
topo_query_sent_ms,208711.411872333,0.6553749844897538
topo_first_record_ms,208711.411876291,2.4851670023053885
topo_transfer_ms,208711.411878416,14.701290987432003
topo_etl_ms,208711.412020541,0.14874999760650098
cache_hit,208711.412268125,0
cache_miss,208711.41227025,382
remote_feature_fetch,208711.412271708,1
remote_feature_recieved,208711.422157541,1
feat_fetch_ms,208711.422162916,9.837874997174367
feat_x_etl_ms,208711.423459791,1.2941669847350568
cache_hit,208711.423884958,0
cache_miss,208711.423887333,382
remote_feature_fetch,208711.42388875,1
remote_feature_recieved,208711.433864041,1
feat_fetch_ms,208711.433866166,9.927458013407886
feat_y_etl_ms,208711.434709833,0.8412500028498471
end_batch_fetch,208711.434887333,1
batch_nbr_nodes_total,208711.434891666,382
batch_nbr_edges_total,208711.434894583,611
batch_nbr_seed_nodes,208711.434898666,30
start_batch_processing,208711.4349,1
batch_train_loss,208711.435569625,1.9474208354949951
end_batch_processing,208711.436360375,1
start_batch_fetch,208711.436363958,1
topo_query_sent_ms,208711.452662791,0.67104198387824
topo_first_record_ms,208711.452671,4.709166998509318
topo_transfer_ms,208711.452673041,10.825708013726398
topo_etl_ms,208711.452824208,0.16220900579355657
cache_hit,208711.453102583,0
cache_miss,208711.453105125,288
remote_feature_fetch,208711.453106791,1
remote_feature_recieved,208711.460874916,1
feat_fetch_ms,208711.460877,7.722916983766481
feat_x_etl_ms,208711.461898583,1.018959010252729
cache_hit,208711.462306333,0
cache_miss,208711.462308291,288
remote_feature_fetch,208711.46230975,1
remote_feature_recieved,208711.470401666,1
feat_fetch_ms,208711.470406666,8.051125012570992
feat_y_etl_ms,208711.471142541,0.7327909988816828
end_batch_fetch,208711.471350708,1
batch_nbr_nodes_total,208711.471356666,288
batch_nbr_edges_total,208711.471359666,433
batch_nbr_seed_nodes,208711.471363541,30
start_batch_processing,208711.471365083,1
batch_train_loss,208711.472196416,1.9453083276748657
end_batch_processing,208711.472924333,1
