         844975 function calls (820767 primitive calls) in 2.009 seconds

   Ordered by: cumulative time
   List reduced from 418 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.009    2.009 threading.py:1117(join)
        1    0.000    0.000    2.009    2.009 threading.py:1155(_wait_for_tstate_lock)
      8/6    0.000    0.000    2.009    0.335 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    2.009    2.009 threading.py:1018(_bootstrap)
        1    0.000    0.000    2.009    2.009 threading.py:1058(_bootstrap_inner)
        1    0.003    0.003    1.155    1.155 Training.py:231(_start_training)
        2    0.854    0.427    0.854    0.427 {built-in method time.sleep}
        1    0.000    0.000    0.854    0.854 threading.py:1001(run)
        1    0.000    0.000    0.854    0.854 CPU_utilization_logger.py:17(monitor)
      100    0.007    0.000    0.637    0.006 Training.py:166(_run_epoch)
      100    0.013    0.000    0.511    0.005 evaluate.py:9(evaluate)
      400    0.008    0.000    0.488    0.001 Training.py:154(_run_batch)
5400/1200    0.005    0.000    0.479    0.000 module.py:1747(_wrapped_call_impl)
5400/1200    0.008    0.000    0.478    0.000 module.py:1755(_call_impl)
      600    0.002    0.000    0.441    0.001 GCN.py:18(forward)
     1200    0.013    0.000    0.417    0.000 gcn_conv.py:227(forward)
      700    0.003    0.000    0.258    0.000 dataloader.py:728(__next__)
      700    0.001    0.000    0.236    0.000 dataloader.py:787(_next_data)
      600    0.004    0.000    0.232    0.000 fetch.py:47(fetch)
      600    0.002    0.000    0.228    0.000 node_loader.py:143(collate_fn)
      600    0.015    0.000    0.171    0.000 node_loader.py:154(filter_fn)
     1200    0.013    0.000    0.149    0.000 torch_geometric.nn.conv.gcn_conv_GCNConv_propagate_dle89b33.py:116(propagate)
     1200    0.055    0.000    0.144    0.000 gcn_conv.py:45(gcn_norm)
 1200/800    0.001    0.000    0.135    0.000 {built-in method builtins.next}
      600    0.001    0.000    0.133    0.000 utils.py:159(filter_data)
      400    0.001    0.000    0.124    0.000 _tensor.py:592(backward)
      400    0.003    0.000    0.123    0.000 __init__.py:243(backward)
      400    0.001    0.000    0.115    0.000 graph.py:815(_engine_run_backward)
      400    0.114    0.000    0.114    0.000 {method 'run_backward' of 'torch._C._EngineBase' objects}
      600    0.007    0.000    0.113    0.000 utils.py:85(filter_node_store_)
     1800    0.112    0.000    0.112    0.000 {built-in method torch._C._nn.linear}
      400    0.004    0.000    0.110    0.000 optimizer.py:465(wrapper)
     1200    0.001    0.000    0.106    0.000 linear.py:121(forward)
      400    0.002    0.000    0.093    0.000 optimizer.py:60(_use_grad)
