         93436340 function calls (93361147 primitive calls) in 47.775 seconds

   Ordered by: cumulative time
   List reduced from 635 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   47.777   47.777 threading.py:1117(join)
        1    0.000    0.000   46.772   46.772 threading.py:1155(_wait_for_tstate_lock)
      8/6    0.000    0.000   46.771    7.795 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000   46.771   46.771 threading.py:1018(_bootstrap)
        1    0.000    0.000   46.771   46.771 threading.py:1058(_bootstrap_inner)
        1    0.002    0.002   46.054   46.054 Training.py:231(_start_training)
      700    0.004    0.000   43.891    0.063 dataloader.py:728(__next__)
      700    0.001    0.000   43.858    0.063 dataloader.py:787(_next_data)
      600    0.004    0.000   43.854    0.073 fetch.py:47(fetch)
      600    0.029    0.000   43.851    0.073 node_loader.py:143(collate_fn)
   942024    0.546    0.000   41.703    0.000 result.py:392(__iter__)
   950224    0.221    0.000   38.970    0.000 _common.py:191(inner)
   943724    0.509    0.000   38.474    0.000 _bolt.py:849(fetch_message)
      100    0.013    0.000   33.410    0.334 evaluate.py:9(evaluate)
   943724    0.641    0.000   32.609    0.000 _common.py:76(pop)
   943724    0.620    0.000   29.582    0.000 _common.py:47(_buffer_one_chunk)
  1887448    1.204    0.000   28.562    0.000 _common.py:334(receive_into_buffer)
  1887448    0.594    0.000   26.921    0.000 _bolt_socket.py:460(recv_into)
  1887448    0.647    0.000   26.191    0.000 _bolt_socket.py:389(_wait_for_read)
  1889748    0.711    0.000   25.575    0.000 _bolt_socket.py:409(_wait_for_io)
      600    0.004    0.000   23.950    0.040 node_loader.py:154(filter_fn)
      600    0.005    0.000   23.927    0.040 utils.py:209(filter_custom_store)
      600    0.002    0.000   23.892    0.040 feature_store.py:344(multi_get_tensor)
      600    0.065    0.000   23.850    0.040 feature_store.py:337(_multi_get_tensor)
     1200    0.583    0.000   23.764    0.020 NoCacheFeatureStore.py:34(_get_tensor)
  1887448   23.021    0.000   23.027    0.000 {method 'recv_into' of '_socket.socket' objects}
      600    0.101    0.000   19.862    0.033 Neo4jNeighborSampler.py:143(sample_from_nodes)
      600    0.001    0.000   19.327    0.032 result.py:582(single)
      600    0.001    0.000   19.325    0.032 result.py:441(_buffer)
      100    0.008    0.000   12.640    0.126 Training.py:166(_run_epoch)
9600/4400    0.003    0.000   12.039    0.003 {built-in method builtins.next}
   943724    0.555    0.000    5.262    0.000 _bolt6.py:504(_process_message)
   939524    0.318    0.000    4.228    0.000 _common.py:241(on_records)
953624/949424    0.284    0.000    3.882    0.000 util.py:102(callback)
