Event,Time,Value
program_start,148184.742493416,1
nbr_training_datapoints,148184.749903541,140
epoch_start,148186.252900583,1
cpu_utilization_percentage,148186.271968083,100.4
ram_usage_mb,148186.271977916,571.984375
start_batch_fetch,148186.272030458,1
end_batch_fetch,148186.332855791,1
batch_nbr_nodes_total,148186.332867041,386
batch_nbr_edges_total,148186.332872166,637
batch_nbr_seed_nodes,148186.332878458,30
start_batch_processing,148186.332880541,1
batch_train_loss,148186.334008166,1.9457613229751587
end_batch_processing,148186.334887166,1
start_batch_fetch,148186.334891583,1
end_batch_fetch,148186.370865,1
batch_nbr_nodes_total,148186.370873833,325
batch_nbr_edges_total,148186.370877875,502
batch_nbr_seed_nodes,148186.370883041,30
start_batch_processing,148186.370884791,1
batch_train_loss,148186.371711958,1.9536153078079224
end_batch_processing,148186.372426416,1
start_batch_fetch,148186.372430208,1
end_batch_fetch,148186.409754375,1
batch_nbr_nodes_total,148186.409762666,408
batch_nbr_edges_total,148186.409766208,653
batch_nbr_seed_nodes,148186.409770916,30
start_batch_processing,148186.409772625,1
batch_train_loss,148186.41065775,1.9311691522598267
end_batch_processing,148186.411377166,1
start_batch_fetch,148186.411379833,1
end_batch_fetch,148186.439947291,1
batch_nbr_nodes_total,148186.439956166,343
batch_nbr_edges_total,148186.439959916,564
batch_nbr_seed_nodes,148186.43996425,30
start_batch_processing,148186.439965791,1
batch_train_loss,148186.440882125,1.9507404565811157
end_batch_processing,148186.441606208,1
epoch_end,148186.441617041,1
start_validation_accuracy,148186.441618791,1
validation_accuracy,148186.777392416,0.1460000047589973
validation_loss,148186.777398208,1.9473081827163696
end_validation_accuracy,148186.777400958,1
start_saving_weights,148186.777403458,1
end_saving_weights,148186.777406041,1
epoch_start,148186.777409416,1
start_batch_fetch,148186.777448208,1
end_batch_fetch,148186.807520291,1
batch_nbr_nodes_total,148186.807529833,388
batch_nbr_edges_total,148186.807533083,644
batch_nbr_seed_nodes,148186.80753775,30
start_batch_processing,148186.807539166,1
batch_train_loss,148186.808360875,1.909939169883728
end_batch_processing,148186.808989625,1
start_batch_fetch,148186.808993125,1
end_batch_fetch,148186.836121625,1
batch_nbr_nodes_total,148186.836128958,337
batch_nbr_edges_total,148186.836132166,510
batch_nbr_seed_nodes,148186.836136208,30
start_batch_processing,148186.836137625,1
batch_train_loss,148186.83683575,1.9379457235336304
end_batch_processing,148186.837459791,1
start_batch_fetch,148186.837463125,1
end_batch_fetch,148186.870089916,1
batch_nbr_nodes_total,148186.870096916,394
batch_nbr_edges_total,148186.870100458,643
batch_nbr_seed_nodes,148186.870104791,30
start_batch_processing,148186.870106291,1
batch_train_loss,148186.870836875,1.9041264057159424
end_batch_processing,148186.871434666,1
start_batch_fetch,148186.871437041,1
end_batch_fetch,148186.900795125,1
batch_nbr_nodes_total,148186.900801541,351
batch_nbr_edges_total,148186.900804541,564
batch_nbr_seed_nodes,148186.900808541,30
start_batch_processing,148186.90081,1
batch_train_loss,148186.901458,1.934333324432373
end_batch_processing,148186.902009916,1
epoch_end,148186.902018166,1
start_validation_accuracy,148186.902019708,1
validation_accuracy,148187.224334416,0.1660000052738202
validation_loss,148187.224339791,1.9414838552474976
end_validation_accuracy,148187.224342458,1
start_saving_weights,148187.224345,1
end_saving_weights,148187.224347791,1
epoch_start,148187.224352041,1
start_batch_fetch,148187.224387833,1
end_batch_fetch,148187.258519291,1
batch_nbr_nodes_total,148187.258527916,384
batch_nbr_edges_total,148187.258530833,637
batch_nbr_seed_nodes,148187.258534625,30
start_batch_processing,148187.258536041,1
batch_train_loss,148187.259313791,1.8896615505218506
end_batch_processing,148187.259962791,1
start_batch_fetch,148187.259965291,1
cpu_utilization_percentage,148187.284394833,55.6
ram_usage_mb,148187.284398291,571.984375
end_batch_fetch,148187.298763833,1
batch_nbr_nodes_total,148187.298772666,330
batch_nbr_edges_total,148187.298776583,511
batch_nbr_seed_nodes,148187.298782041,30
start_batch_processing,148187.298783916,1
batch_train_loss,148187.29957325,1.9218652248382568
end_batch_processing,148187.300342125,1
start_batch_fetch,148187.300345583,1
end_batch_fetch,148187.333229,1
batch_nbr_nodes_total,148187.333235791,406
batch_nbr_edges_total,148187.33323875,647
batch_nbr_seed_nodes,148187.333242541,30
start_batch_processing,148187.333244208,1
batch_train_loss,148187.333922625,1.8792743682861328
end_batch_processing,148187.334565458,1
start_batch_fetch,148187.334568041,1
end_batch_fetch,148187.363199833,1
batch_nbr_nodes_total,148187.363205541,334
batch_nbr_edges_total,148187.363208583,565
batch_nbr_seed_nodes,148187.363212416,30
start_batch_processing,148187.363213875,1
batch_train_loss,148187.363865416,1.918480634689331
end_batch_processing,148187.364414875,1
epoch_end,148187.364423666,1
start_validation_accuracy,148187.364425125,1
validation_accuracy,148187.703316083,0.17000000539128898
validation_loss,148187.703320333,1.9334123134613037
end_validation_accuracy,148187.703322416,1
start_saving_weights,148187.703324166,1
end_saving_weights,148187.703326208,1
epoch_start,148187.703329583,1
start_batch_fetch,148187.703364791,1
end_batch_fetch,148187.736698583,1
batch_nbr_nodes_total,148187.73670675,389
