Event,Time,Value
program_start,148627.566333583,1
sampling_backend,148627.567837333,pyg-lib
nbr_training_datapoints,148627.568190625,140
epoch_start,148629.085275375,1
cpu_utilization_percentage,148629.104691541,100.3
ram_usage_mb,148629.104697291,568.984375
start_batch_fetch,148629.104746708,1
end_batch_fetch,148629.106232625,1
batch_nbr_nodes_total,148629.106242833,291
batch_nbr_edges_total,148629.106247916,469
batch_nbr_seed_nodes,148629.106254916,30
start_batch_processing,148629.106257125,1
batch_train_loss,148629.107665125,1.9751943349838257
end_batch_processing,148629.109623875,1
start_batch_fetch,148629.109627708,1
end_batch_fetch,148629.110374583,1
batch_nbr_nodes_total,148629.110386375,399
batch_nbr_edges_total,148629.110390875,612
batch_nbr_seed_nodes,148629.110398541,30
start_batch_processing,148629.110400708,1
batch_train_loss,148629.111779541,1.946635365486145
end_batch_processing,148629.112963333,1
start_batch_fetch,148629.112972125,1
end_batch_fetch,148629.113693083,1
batch_nbr_nodes_total,148629.113705583,337
batch_nbr_edges_total,148629.113709708,566
batch_nbr_seed_nodes,148629.113715208,30
start_batch_processing,148629.113717083,1
batch_train_loss,148629.114747916,1.923980474472046
end_batch_processing,148629.115520416,1
start_batch_fetch,148629.115523791,1
end_batch_fetch,148629.115975583,1
batch_nbr_nodes_total,148629.115981333,381
batch_nbr_edges_total,148629.115984916,620
batch_nbr_seed_nodes,148629.115989791,30
start_batch_processing,148629.115991541,1
batch_train_loss,148629.116709,1.9443609714508057
end_batch_processing,148629.117413125,1
epoch_end,148629.117425916,1
start_validation_accuracy,148629.117428,1
validation_accuracy,148629.123886458,0.1540000051389769
validation_loss,148629.123890416,1.9433956146240234
end_validation_accuracy,148629.123892666,1
start_saving_weights,148629.123894708,1
end_saving_weights,148629.123897291,1
epoch_start,148629.123901458,1
start_batch_fetch,148629.123934708,1
end_batch_fetch,148629.124257125,1
batch_nbr_nodes_total,148629.124263,291
batch_nbr_edges_total,148629.124266458,469
batch_nbr_seed_nodes,148629.124271125,30
start_batch_processing,148629.124272916,1
batch_train_loss,148629.124943,1.9383479356765747
end_batch_processing,148629.125981125,1
start_batch_fetch,148629.125983958,1
end_batch_fetch,148629.126500541,1
batch_nbr_nodes_total,148629.126514666,390
batch_nbr_edges_total,148629.126518416,611
batch_nbr_seed_nodes,148629.126523083,30
start_batch_processing,148629.126524833,1
batch_train_loss,148629.127562583,1.9236423969268799
end_batch_processing,148629.128393541,1
start_batch_fetch,148629.1283965,1
end_batch_fetch,148629.128775666,1
batch_nbr_nodes_total,148629.128785166,346
batch_nbr_edges_total,148629.128788291,573
batch_nbr_seed_nodes,148629.128792791,30
start_batch_processing,148629.128794541,1
batch_train_loss,148629.12954125,1.8976216316223145
end_batch_processing,148629.130237416,1
start_batch_fetch,148629.130240333,1
end_batch_fetch,148629.130635291,1
batch_nbr_nodes_total,148629.130641166,386
batch_nbr_edges_total,148629.13064475,632
batch_nbr_seed_nodes,148629.13064975,30
start_batch_processing,148629.130651125,1
batch_train_loss,148629.131321166,1.9306771755218506
end_batch_processing,148629.131908541,1
epoch_end,148629.131917458,1
start_validation_accuracy,148629.131919125,1
validation_accuracy,148629.136963458,0.18600000593368513
validation_loss,148629.136966875,1.934912919998169
end_validation_accuracy,148629.136968791,1
start_saving_weights,148629.136970416,1
end_saving_weights,148629.136972666,1
epoch_start,148629.136976125,1
start_batch_fetch,148629.137013375,1
end_batch_fetch,148629.137355833,1
batch_nbr_nodes_total,148629.137365916,295
batch_nbr_edges_total,148629.137369041,469
batch_nbr_seed_nodes,148629.137373,30
start_batch_processing,148629.137374541,1
batch_train_loss,148629.138004083,1.9208356142044067
end_batch_processing,148629.138717458,1
start_batch_fetch,148629.138719958,1
end_batch_fetch,148629.139015333,1
batch_nbr_nodes_total,148629.139019416,389
batch_nbr_edges_total,148629.139022375,609
batch_nbr_seed_nodes,148629.139026541,30
