Event,Time,Value
program_start,183400.147874291,1
network_baseline_ms,183400.1621825,1.406237599439919
nbr_training_datapoints,183400.233385458,140
cpu_utilization_percentage,183400.233906916,0.0
ram_usage_mb,183400.233910875,413.234375
epoch_start,183400.233922875,1
start_batch_fetch,183400.233997291,1
topo_query_sent_ms,183400.275963208,0.7744169852230698
topo_first_record_ms,183400.275967916,40.83133299718611
topo_transfer_ms,183400.275969666,0.09983399650081992
topo_etl_ms,183400.276434708,0.46195799950510263
cache_hit,183400.277054125,0
cache_miss,183400.277057208,1156
remote_feature_fetch,183400.277058958,1
remote_feature_recieved,183400.305492,1
feat_x_query_sent_ms,183400.305497541,0.734041997930035
feat_x_first_record_ms,183400.305499958,0.10858298628591001
feat_x_transfer_ms,183400.305501958,27.539792004972696
feat_x_etl_ms,183400.30984475,4.353208001703024
cache_hit,183400.311724458,0
cache_miss,183400.311729291,1156
remote_feature_fetch,183400.311731166,1
remote_feature_recieved,183400.338392458,1
feat_y_query_sent_ms,183400.3384045,0.8682500047143549
feat_y_first_record_ms,183400.338406708,0.9012079972308129
feat_y_transfer_ms,183400.338408416,24.83216699329205
feat_y_etl_ms,183400.340848291,2.4569579982198775
end_batch_fetch,183400.341388708,1
batch_nbr_nodes_total,183400.341395666,1156
batch_nbr_edges_total,183400.341398833,2298
batch_nbr_seed_nodes,183400.341403375,140
start_batch_processing,183400.34140475,1
batch_train_loss,183400.344683125,1.9575326442718506
end_batch_processing,183400.361890041,1
epoch_end,183400.36191175,1
start_validation_accuracy,183400.361913541,1
topo_query_sent_ms,183400.453492916,0.693499983754009
topo_first_record_ms,183400.453498916,77.68975000362843
topo_transfer_ms,183400.453500625,0.09520800085738301
topo_etl_ms,183400.454215541,0.7120000082068145
cache_hit,183400.4549795,0
cache_miss,183400.454982833,1468
remote_feature_fetch,183400.454985166,1
remote_feature_recieved,183400.4912535,1
feat_x_query_sent_ms,183400.491260958,0.7564169936813414
feat_x_first_record_ms,183400.491263791,0.15454099047929049
feat_x_transfer_ms,183400.491266,35.29487500782125
feat_x_etl_ms,183400.49693825,5.683541996404529
cache_hit,183400.499194833,0
cache_miss,183400.49919825,1468
remote_feature_fetch,183400.499199791,1
remote_feature_recieved,183400.531252541,1
feat_y_query_sent_ms,183400.53125875,0.8189159852918237
feat_y_first_record_ms,183400.531261166,0.9694170148577541
feat_y_transfer_ms,183400.531263291,30.20487498724833
feat_y_etl_ms,183400.534251166,2.9995410004630685
topo_query_sent_ms,183400.615234208,0.6231660081539303
