         33171016 function calls (32541893 primitive calls) in 16.914 seconds

   Ordered by: cumulative time
   List reduced from 686 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000   23.867    7.956 threading.py:1117(join)
        3    0.000    0.000   23.845    7.948 threading.py:1155(_wait_for_tstate_lock)
   208863    0.117    0.000   19.870    0.000 result.py:392(__iter__)
  2108/23    0.007    0.000   16.894    0.735 {method 'acquire' of '_thread.lock' objects}
      3/1    0.000    0.000   16.894   16.894 threading.py:1018(_bootstrap)
      3/1    0.000    0.000   16.894   16.894 threading.py:1058(_bootstrap_inner)
      3/1    0.000    0.000   16.894   16.894 threading.py:1001(run)
        1    0.000    0.000   16.894   16.894 CPU_utilization_logger.py:65(monitor)
        1    0.003    0.003   16.894   16.894 Training.py:318(_start_training)
   212823    0.051    0.000   16.112    0.000 _common.py:191(inner)
   209853    0.113    0.000   15.727    0.000 _bolt.py:849(fetch_message)
   209853    0.141    0.000   14.143    0.000 _common.py:76(pop)
1155358/576222    0.204    0.000   14.099    0.000 _psosx.py:343(wrapper)
       90    0.045    0.001   13.461    0.150 Training.py:230(_run_epoch)
   209853    0.206    0.000   13.065    0.000 _common.py:47(_buffer_one_chunk)
574309/572663    0.092    0.000   11.636    0.000 _psosx.py:411(ppid)
577483/575822    0.198    0.000   11.308    0.000 _common.py:367(wrapper)
  521/519    0.005    0.000   11.073    0.021 CPU_utilization_logger.py:21(_sample_process_cpu)
6402/2442    0.002    0.000   10.971    0.004 {built-in method builtins.next}
      540    0.003    0.000    9.727    0.018 dataloader.py:728(__next__)
      540    0.001    0.000    8.969    0.017 dataloader.py:787(_next_data)
      450    0.003    0.000    8.964    0.020 fetch.py:47(fetch)
      450    0.010    0.000    8.917    0.020 node_loader.py:143(collate_fn)
  521/519    0.056    0.000    8.729    0.017 __init__.py:251(_ppid_map)
  521/519    0.042    0.000    8.138    0.016 __init__.py:951(children)
   419706    0.266    0.000    6.856    0.000 _common.py:334(receive_into_buffer)
576427/574780    0.123    0.000    6.668    0.000 _psosx.py:370(_get_kinfo_proc)
      450    0.002    0.000    6.031    0.013 node_loader.py:154(filter_fn)
      450    0.003    0.000    6.014    0.013 utils.py:209(filter_custom_store)
   419706    0.130    0.000    5.994    0.000 _bolt_socket.py:460(recv_into)
      450    0.005    0.000    5.991    0.013 feature_store.py:344(multi_get_tensor)
      450    0.176    0.000    5.961    0.013 Neo4jAbstractFS.py:72(_multi_get_tensor)
   576427    5.823    0.000    5.823    0.000 {built-in method psutil._psutil_osx.proc_kinfo_oneshot}
      450    0.174    0.000    5.729    0.013 Neo4jAbstractFS.py:173(_get_both_from_db)
   419706    0.147    0.000    4.717    0.000 _bolt_socket.py:389(_wait_for_read)
   420696    0.154    0.000    4.540    0.000 _bolt_socket.py:409(_wait_for_io)
   419706    3.318    0.000    3.995    0.000 {method 'recv_into' of '_socket.socket' objects}
       90    0.001    0.000    3.429    0.038 Training.py:174(_evaluate_split)
       90    0.007    0.000    3.428    0.038 evaluate.py:9(evaluate)
