         13271221 function calls (12956612 primitive calls) in 15.243 seconds

   Ordered by: cumulative time
   List reduced from 1164 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000   19.517    6.506 threading.py:1117(join)
        3    0.000    0.000   19.517    6.506 threading.py:1155(_wait_for_tstate_lock)
      2/1    0.000    0.000   15.025   15.025 CPU_utilization_logger.py:65(monitor)
      2/1    0.008    0.004   15.025   15.025 Training.py:318(_start_training)
      540    0.003    0.000    9.431    0.017 dataloader.py:728(__next__)
  263/262    0.004    0.000    8.333    0.032 CPU_utilization_logger.py:21(_sample_process_cpu)
581190/290795    0.129    0.000    7.888    0.000 _psosx.py:343(wrapper)
       90    0.064    0.001    7.877    0.088 Training.py:230(_run_epoch)
  263/262    0.028    0.000    7.747    0.030 __init__.py:951(children)
   283822    0.050    0.000    7.385    0.000 _psosx.py:411(ppid)
290399/290395    0.206    0.000    7.344    0.000 _common.py:367(wrapper)
  263/262    0.141    0.001    7.316    0.028 __init__.py:251(_ppid_map)
       90    0.001    0.000    7.139    0.079 Training.py:174(_evaluate_split)
       90    0.007    0.000    7.138    0.079 evaluate.py:9(evaluate)
   288295    0.093    0.000    7.094    0.000 _psosx.py:370(_get_kinfo_proc)
      180    0.000    0.000    6.660    0.037 dataloader.py:787(_next_data)
       90    0.001    0.000    6.659    0.074 fetch.py:47(fetch)
       90    0.004    0.000    6.658    0.074 node_loader.py:143(collate_fn)
4323/3963    0.002    0.000    6.115    0.002 {built-in method builtins.next}
       90    0.001    0.000    5.985    0.067 node_loader.py:154(filter_fn)
      716    0.001    0.000    5.985    0.008 connection.py:253(poll)
      716    0.002    0.000    5.981    0.008 connection.py:439(_poll)
       90    0.001    0.000    5.820    0.065 utils.py:209(filter_custom_store)
       90    0.009    0.000    5.814    0.065 feature_store.py:344(multi_get_tensor)
       90    0.463    0.005    5.798    0.064 Neo4jAbstractFS.py:72(_multi_get_tensor)
       90    0.036    0.000    5.316    0.059 Neo4jAbstractFS.py:173(_get_both_from_db)
    80397    0.049    0.000    4.321    0.000 result.py:392(__iter__)
    81477    0.021    0.000    4.120    0.000 _common.py:191(inner)
    80669    0.049    0.000    4.066    0.000 _bolt.py:849(fetch_message)
   288295    3.552    0.000    3.552    0.000 {built-in method psutil._psutil_osx.proc_kinfo_oneshot}
    80669    0.059    0.000    3.238    0.000 _common.py:76(pop)
      716    0.001    0.000    2.777    0.004 dataloader.py:1422(_get_data)
      716    0.001    0.000    2.776    0.004 dataloader.py:1271(_try_get_data)
      360    0.002    0.000    2.746    0.008 dataloader.py:1457(_next_data)
      716    0.002    0.000    2.740    0.004 queues.py:98(get)
      716    0.005    0.000    2.642    0.004 connection.py:1122(wait)
      716    0.003    0.000    2.614    0.004 selectors.py:402(select)
      716    2.610    0.004    2.610    0.004 {method 'poll' of 'select.poll' objects}
       90    1.670    0.019    1.670    0.019 {built-in method numpy.asarray}
    80669    0.056    0.000    1.578    0.000 _common.py:47(_buffer_one_chunk)
   161338    0.111    0.000    1.471    0.000 _common.py:334(receive_into_buffer)
    80669    0.022    0.000    1.459    0.000 __init__.py:289(unpack)
    80669    1.437    0.000    1.437    0.000 {built-in method neo4j._rust.codec.packstream.v1.unpack}
   161338    0.054    0.000    1.333    0.000 _bolt_socket.py:460(recv_into)
   161345    0.060    0.000    1.267    0.000 _bolt_socket.py:389(_wait_for_read)
   161619    0.062    0.000    1.210    0.000 _bolt_socket.py:409(_wait_for_io)
   161338    1.044    0.000    1.044    0.000 {method 'recv_into' of '_socket.socket' objects}
      360    0.008    0.000    0.946    0.003 Training.py:218(_run_batch)
    80669    0.053    0.000    0.771    0.000 _bolt6.py:504(_process_message)
