         35336946 function calls (34456314 primitive calls) in 20.417 seconds

   Ordered by: cumulative time
   List reduced from 1171 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000   31.615   10.538 threading.py:1117(join)
        3    0.000    0.000   31.614   10.538 threading.py:1155(_wait_for_tstate_lock)
  764/760    0.012    0.000   28.459    0.037 CPU_utilization_logger.py:21(_sample_process_cpu)
   209579    0.120    0.000   22.107    0.000 result.py:392(__iter__)
1681863/839046    0.343    0.000   21.256    0.000 _psosx.py:343(wrapper)
  764/760    0.071    0.000   17.793    0.023 __init__.py:951(children)
  764/760    0.162    0.000   17.392    0.023 __init__.py:251(_ppid_map)
       90    0.049    0.001   16.568    0.184 Training.py:230(_run_epoch)
   212099    0.052    0.000   15.340    0.000 _common.py:191(inner)
   210211    0.111    0.000   14.838    0.000 _bolt.py:849(fetch_message)
   210211    0.142    0.000   13.326    0.000 _common.py:76(pop)
      2/1    0.000    0.000   12.155   12.155 CPU_utilization_logger.py:65(monitor)
      2/1    0.004    0.002   12.155   12.155 Training.py:318(_start_training)
   210211    0.195    0.000   12.128    0.000 _common.py:47(_buffer_one_chunk)
819218/816943    0.138    0.000   10.393    0.000 _psosx.py:411(ppid)
840416/838245    0.369    0.000   10.030    0.000 _common.py:367(wrapper)
833540/831393    0.218    0.000    9.510    0.000 _psosx.py:370(_get_kinfo_proc)
   833540    9.210    0.000    9.210    0.000 {built-in method psutil._psutil_osx.proc_kinfo_oneshot}
   420422    0.274    0.000    6.593    0.000 _common.py:334(receive_into_buffer)
      450    0.003    0.000    6.177    0.014 node_loader.py:154(filter_fn)
      450    0.003    0.000    6.160    0.014 utils.py:209(filter_custom_store)
      450    0.004    0.000    6.138    0.014 feature_store.py:344(multi_get_tensor)
      450    0.177    0.000    6.110    0.014 Neo4jAbstractFS.py:72(_multi_get_tensor)
   420422    0.133    0.000    6.011    0.000 _bolt_socket.py:460(recv_into)
      450    0.170    0.000    5.880    0.013 Neo4jAbstractFS.py:173(_get_both_from_db)
8836/5952    0.003    0.000    4.528    0.001 {built-in method builtins.next}
      360    0.011    0.000    4.512    0.013 base.py:38(__next__)
      805    0.001    0.000    3.779    0.005 dataloader.py:1422(_get_data)
      805    0.001    0.000    3.778    0.005 dataloader.py:1271(_try_get_data)
      805    0.002    0.000    3.751    0.005 queues.py:98(get)
       90    0.001    0.000    3.606    0.040 Training.py:174(_evaluate_split)
       90    0.006    0.000    3.605    0.040 evaluate.py:9(evaluate)
      540    0.002    0.000    3.602    0.007 dataloader.py:728(__next__)
      805    0.010    0.000    3.352    0.004 {built-in method _pickle.loads}
   420429    0.147    0.000    3.132    0.000 _bolt_socket.py:389(_wait_for_read)
      180    0.000    0.000    3.132    0.017 dataloader.py:787(_next_data)
       90    0.001    0.000    3.131    0.035 fetch.py:47(fetch)
       90    0.003    0.000    3.131    0.035 node_loader.py:143(collate_fn)
   421063    0.156    0.000    2.892    0.000 _bolt_socket.py:409(_wait_for_io)
   420422    2.032    0.000    2.333    0.000 {method 'recv_into' of '_socket.socket' objects}
   210211    0.125    0.000    1.272    0.000 _bolt6.py:504(_process_message)
      360    0.009    0.000    1.124    0.003 Training.py:218(_run_batch)
   208949    0.069    0.000    1.035    0.000 _common.py:241(on_records)
       90    0.001    0.000    1.010    0.011 Neo4jNeighborSampler.py:146(sample_from_nodes)
       90    0.001    0.000    0.984    0.011 Neo4jAbstractGS.py:125(fetch_ordered_subgraph)
213363/212103    0.063    0.000    0.967    0.000 util.py:102(callback)
   208949    0.072    0.000    0.871    0.000 result.py:240(on_records)
   208950    0.054    0.000    0.799    0.000 {method 'extend' of 'collections.deque' objects}
   417898    0.165    0.000    0.745    0.000 result.py:250(<genexpr>)
   213989    0.128    0.000    0.712    0.000 _common.py:185(__getattr__)
 4050/900    0.006    0.000    0.646    0.001 module.py:1747(_wrapped_call_impl)
   609117    0.166    0.000    0.569    0.000 _data.py:124(__getitem__)
      630    0.003    0.000    0.547    0.001 session.py:254(run)
   212099    0.056    0.000    0.532    0.000 inspect.py:427(iscoroutinefunction)
   208949    0.304    0.000    0.524    0.000 _data.py:59(__new__)
      360    0.004    0.000    0.505    0.001 optimizer.py:465(wrapper)
 4050/900    0.006    0.000    0.498    0.001 module.py:1755(_call_impl)
      630    0.003    0.000    0.458    0.001 result.py:180(_run)
      360    0.001    0.000    0.451    0.001 dataloader.py:1457(_next_data)
      450    0.002    0.000    0.449    0.001 GCN.py:18(forward)
      805    0.001    0.000    0.390    0.000 connection.py:253(poll)
      805    0.001    0.000    0.384    0.000 connection.py:439(_poll)
      805    0.004    0.000    0.383    0.000 connection.py:1122(wait)
      630    0.001    0.000    0.365    0.001 result.py:434(_attach)
       90    0.003    0.000    0.361    0.004 Neo4jAbstractGS.py:59(get_split)
      805    0.002    0.000    0.352    0.000 selectors.py:402(select)
      805    0.350    0.000    0.350    0.000 {method 'poll' of 'select.poll' objects}
      360    0.002    0.000    0.320    0.001 optimizer.py:60(_use_grad)
   210211    0.063    0.000    0.295    0.000 __init__.py:456(unpack_structure_header)
      360    0.002    0.000    0.290    0.001 adam.py:212(step)
   212099    0.130    0.000    0.272    0.000 inspect.py:391(_has_code_flag)
      900    0.008    0.000    0.267    0.000 gcn_conv.py:227(forward)
      764    0.001    0.000    0.267    0.000 __init__.py:1482(pids)
      764    0.004    0.000    0.243    0.000 _psosx.py:319(pids)
      764    0.239    0.000    0.239    0.000 {built-in method psutil._psutil_osx.pids}
   210211    0.040    0.000    0.231    0.000 __init__.py:289(unpack)
   609117    0.129    0.000    0.219    0.000 _data.py:158(index)
   421066    0.207    0.000    0.215    0.000 {method 'settimeout' of '_socket.socket' objects}
      360    0.001    0.000    0.211    0.001 optimizer.py:130(maybe_fallback)
13641/13625    0.004    0.000    0.211    0.000 _psosx.py:474(create_time)
4196647/4194667    0.199    0.000    0.204    0.000 {built-in method builtins.isinstance}
   212099    0.092    0.000    0.204    0.000 inspect.py:412(_has_coroutine_mark)
7544/7536    0.002    0.000    0.197    0.000 __init__.py:313(__init__)
   210211    0.191    0.000    0.191    0.000 {built-in method neo4j._rust.codec.packstream.v1.unpack}
        2    0.000    0.000    0.188    0.094 CPU_utilization_logger.py:118(burst)
7544/7536    0.009    0.000    0.177    0.000 __init__.py:316(_init)
   210211    0.069    0.000    0.171    0.000 __init__.py:463(_unpack_structure_header)
        5    0.000    0.000    0.167    0.033 process.py:110(start)
        5    0.000    0.000    0.167    0.033 context.py:286(_Popen)
        5    0.000    0.000    0.166    0.033 popen_spawn_posix.py:30(__init__)
        5    0.000    0.000    0.166    0.033 popen_fork.py:15(__init__)
        5    0.000    0.000    0.165    0.033 popen_spawn_posix.py:38(_launch)
7544/7536    0.003    0.000    0.164    0.000 __init__.py:363(_get_ident)
