Event,Time,Value
program_start,53092.039198083,1
nbr_training_datapoints,53092.181876333,1591
epoch_start,53093.205895541,1
cpu_utilization_percentage,53093.206037041,100.7
start_batch_fetch,53093.207265375,1
ram_usage_mb,53093.207695583,389.71875
cpu_utilization_percentage,53093.233170125,57.9
ram_usage_mb,53093.233632,390.546875
cpu_utilization_percentage,53093.255817875,101.5
ram_usage_mb,53093.256210583,390.5625
cpu_utilization_percentage,53093.276842625,101.2
ram_usage_mb,53093.277159916,390.59375
cpu_utilization_percentage,53093.295350333,89.9
ram_usage_mb,53093.298492625,390.640625
cpu_utilization_percentage,53093.317095666,60.0
ram_usage_mb,53093.31731925,391.859375
cpu_utilization_percentage,53093.337026875,100.9
ram_usage_mb,53093.337333375,394.6875
cpu_utilization_percentage,53093.355758708,95.7
ram_usage_mb,53093.356126833,401.296875
end_batch_fetch,53093.363735541,1
start_batch_processing,53093.363856291,1
batch_train_loss,53093.366347708,1.9946752786636353
cpu_utilization_percentage,53093.376427583,129.7
ram_usage_mb,53093.376566208,407.59375
end_batch_processing,53093.379115666,1
start_batch_fetch,53093.379270958,1
cpu_utilization_percentage,53093.396100541,91.5
ram_usage_mb,53093.396551,410.3125
cpu_utilization_percentage,53093.415405958,101.3
ram_usage_mb,53093.415709291,410.3125
cpu_utilization_percentage,53093.435526708,97.6
ram_usage_mb,53093.435848083,410.6875
cpu_utilization_percentage,53093.456198333,95.9
ram_usage_mb,53093.456461625,416.859375
end_batch_fetch,53093.458451958,1
start_batch_processing,53093.458558125,1
batch_train_loss,53093.460352875,1.9481725692749023
end_batch_processing,53093.461855541,1
start_batch_fetch,53093.461981125,1
cpu_utilization_percentage,53093.474566416,96.4
ram_usage_mb,53093.474792541,417.421875
cpu_utilization_percentage,53093.494186083,101.2
ram_usage_mb,53093.494469166,417.421875
cpu_utilization_percentage,53093.514077833,98.8
ram_usage_mb,53093.514424791,417.453125
cpu_utilization_percentage,53093.532856291,99.1
ram_usage_mb,53093.533009583,420.9375
end_batch_fetch,53093.540444916,1
start_batch_processing,53093.540630916,1
batch_train_loss,53093.542221916,1.9131183624267578
end_batch_processing,53093.543707291,1
start_batch_fetch,53093.543835916,1
cpu_utilization_percentage,53093.552528583,104.9
ram_usage_mb,53093.552772208,424.796875
