Event,Time,Value
program_start,8167.573953708,1
nbr_training_datapoints,8167.589123041,1614
epoch_start,8168.614545666,1
cpu_utilization_percentage,8168.614950083,95.1
ram_usage_mb,8168.615641125,402.671875
cpu_utilization_percentage,8168.636203916,102.4
ram_usage_mb,8168.636761666,403.5
cpu_utilization_percentage,8168.752092041,17.0
ram_usage_mb,8168.752243541,519.265625
cpu_utilization_percentage,8168.771488,34.1
ram_usage_mb,8168.771648458,526.65625
cpu_utilization_percentage,8168.791367,36.6
ram_usage_mb,8168.791545666,533.703125
cpu_utilization_percentage,8168.8089475,38.2
ram_usage_mb,8168.8091555,556.84375
cpu_utilization_percentage,8168.82759475,32.9
ram_usage_mb,8168.827721583,586.734375
cpu_utilization_percentage,8168.84509125,35.4
ram_usage_mb,8168.845293041,591.203125
cpu_utilization_percentage,8168.865075,37.0
ram_usage_mb,8168.86521475,601.640625
cpu_utilization_percentage,8168.884166291,34.4
ram_usage_mb,8168.884281208,618.5
cpu_utilization_percentage,8168.903380625,34.5
ram_usage_mb,8168.903545708,626.203125
cpu_utilization_percentage,8168.921579791,36.9
ram_usage_mb,8168.92175375,635.21875
cpu_utilization_percentage,8168.939296416,38.0
ram_usage_mb,8168.939464916,642.4375
cpu_utilization_percentage,8168.957327833,39.4
ram_usage_mb,8168.957446833,646.6875
cpu_utilization_percentage,8168.975811083,32.7
ram_usage_mb,8168.975964208,649.78125
cpu_utilization_percentage,8168.994852791,34.0
ram_usage_mb,8168.995083625,652.703125
cpu_utilization_percentage,8169.011780875,37.6
ram_usage_mb,8169.011968083,657.1875
cpu_utilization_percentage,8169.030887583,34.4
ram_usage_mb,8169.031049208,659.625
cpu_utilization_percentage,8169.050449458,38.3
ram_usage_mb,8169.050587291,663.671875
cpu_utilization_percentage,8169.067070458,39.1
ram_usage_mb,8169.067220333,666.5
cpu_utilization_percentage,8169.086725,36.1
ram_usage_mb,8169.086866666,668.96875
cpu_utilization_percentage,8169.105459041,36.9
ram_usage_mb,8169.105659416,671.59375
cpu_utilization_percentage,8169.12483275,35.3
ram_usage_mb,8169.124934583,673.765625
cpu_utilization_percentage,8169.143714916,33.5
ram_usage_mb,8169.143856416,676.15625
cpu_utilization_percentage,8169.162767791,33.8
ram_usage_mb,8169.162922791,676.875
cpu_utilization_percentage,8169.181863333,34.3
ram_usage_mb,8169.182008125,678.6875
cpu_utilization_percentage,8169.200787875,33.5
ram_usage_mb,8169.200927541,684.8125
cpu_utilization_percentage,8169.219714833,33.4
ram_usage_mb,8169.21989925,687.46875
cpu_utilization_percentage,8169.238765916,33.7
ram_usage_mb,8169.2389335,689.421875
cpu_utilization_percentage,8169.257681708,33.6
ram_usage_mb,8169.257861958,691.265625
cpu_utilization_percentage,8169.276422083,32.9
ram_usage_mb,8169.276525416,694.625
cpu_utilization_percentage,8169.295215,32.9
ram_usage_mb,8169.295359083,696.890625
cpu_utilization_percentage,8169.313322875,33.5
ram_usage_mb,8169.31347175,698.0625
cpu_utilization_percentage,8169.331787083,31.9
ram_usage_mb,8169.331985916,701.34375
cpu_utilization_percentage,8169.350878416,34.1
ram_usage_mb,8169.350989041,706.203125
cpu_utilization_percentage,8169.369434166,32.2
ram_usage_mb,8169.369585916,711.234375
cpu_utilization_percentage,8169.387329958,33.5
ram_usage_mb,8169.387527708,717.1875
cpu_utilization_percentage,8169.406344916,33.8
ram_usage_mb,8169.40650725,721.84375
cpu_utilization_percentage,8169.42506325,32.7
ram_usage_mb,8169.425231375,722.703125
cpu_utilization_percentage,8169.443620583,36.2
ram_usage_mb,8169.443756208,725.390625
cpu_utilization_percentage,8169.460915708,36.9
ram_usage_mb,8169.461035416,729.6875
cpu_utilization_percentage,8169.477837208,38.3
ram_usage_mb,8169.477964125,732.25
cpu_utilization_percentage,8169.495250416,36.8
ram_usage_mb,8169.495345583,734.5625
cpu_utilization_percentage,8169.514248833,33.9
ram_usage_mb,8169.514375666,738.65625
cpu_utilization_percentage,8169.533322791,33.8
ram_usage_mb,8169.53344375,740.9375
cpu_utilization_percentage,8169.550649083,35.1
ram_usage_mb,8169.550840583,743.90625
cpu_utilization_percentage,8169.568939583,42.9
ram_usage_mb,8169.569137208,746.71875
cpu_utilization_percentage,8169.588274916,35.2
ram_usage_mb,8169.588437666,747.484375
cpu_utilization_percentage,8169.607386541,34.2
ram_usage_mb,8169.607516541,750.328125
cpu_utilization_percentage,8169.626276416,33.4
ram_usage_mb,8169.626421541,753.796875
cpu_utilization_percentage,8169.645234291,33.6
ram_usage_mb,8169.645350875,756.53125
cpu_utilization_percentage,8169.664173833,33.6
ram_usage_mb,8169.664293541,761.421875
cpu_utilization_percentage,8169.68339325,34.1
ram_usage_mb,8169.683561,762.28125
cpu_utilization_percentage,8169.7022625,33.6
ram_usage_mb,8169.702397833,764.859375
cpu_utilization_percentage,8169.721456625,34.4
ram_usage_mb,8169.721587708,766.8125
cpu_utilization_percentage,8169.740202541,32.8
ram_usage_mb,8169.740419916,768.625
cpu_utilization_percentage,8169.758054458,38.3
ram_usage_mb,8169.758198666,771.84375
cpu_utilization_percentage,8169.777156416,34.3
ram_usage_mb,8169.777295791,775.359375
cpu_utilization_percentage,8169.796670833,35.4
ram_usage_mb,8169.796849583,777.671875
cpu_utilization_percentage,8169.815674375,34.1
ram_usage_mb,8169.815790541,781.53125
cpu_utilization_percentage,8169.834587916,33.7
ram_usage_mb,8169.834688041,787.59375
cpu_utilization_percentage,8169.853871291,34.8
ram_usage_mb,8169.853984958,801.8125
cpu_utilization_percentage,8169.872782458,33.7
ram_usage_mb,8169.872922291,807.40625
cpu_utilization_percentage,8169.891668458,33.5
ram_usage_mb,8169.891784083,812.3125
cpu_utilization_percentage,8169.910428625,32.8
ram_usage_mb,8169.910565041,820.65625
cpu_utilization_percentage,8169.929514958,34.1
ram_usage_mb,8169.929616916,823.015625
cpu_utilization_percentage,8169.948772458,34.6
ram_usage_mb,8169.948963416,828.671875
cpu_utilization_percentage,8169.968193291,35.4
ram_usage_mb,8169.968306583,832.328125
cpu_utilization_percentage,8169.987037541,34.5
ram_usage_mb,8169.987219833,835.546875
cpu_utilization_percentage,8170.003878916,39.6
ram_usage_mb,8170.004081875,835.546875
cpu_utilization_percentage,8170.024119791,37.7
ram_usage_mb,8170.024303375,835.546875
cpu_utilization_percentage,8170.043032708,39.8
ram_usage_mb,8170.043225708,836.5625
cpu_utilization_percentage,8170.0620825,34.0
ram_usage_mb,8170.062284625,839.421875
cpu_utilization_percentage,8170.082236625,37.6
ram_usage_mb,8170.082452625,842.09375
cpu_utilization_percentage,8170.102199458,36.9
ram_usage_mb,8170.102405666,843.234375
cpu_utilization_percentage,8170.122457708,37.7
ram_usage_mb,8170.122684541,846.28125
cpu_utilization_percentage,8170.140770666,33.8
ram_usage_mb,8170.140987,849.859375
cpu_utilization_percentage,8170.1748125,26.6
ram_usage_mb,8170.175125166,854.1875
cpu_utilization_percentage,8170.194250416,35.4
ram_usage_mb,8170.194444875,858.203125
cpu_utilization_percentage,8170.212849916,38.4
ram_usage_mb,8170.213032208,860.15625
cpu_utilization_percentage,8170.232110708,34.9
ram_usage_mb,8170.232268083,861.953125
cpu_utilization_percentage,8170.2503935,37.8
ram_usage_mb,8170.250537958,865.015625
cpu_utilization_percentage,8170.269324958,33.6
ram_usage_mb,8170.269451708,866.734375
cpu_utilization_percentage,8170.288602875,34.3
ram_usage_mb,8170.288846208,868.5
cpu_utilization_percentage,8170.308376791,36.4
ram_usage_mb,8170.308535541,879.953125
cpu_utilization_percentage,8170.327673958,35.1
ram_usage_mb,8170.327807041,899.625
cpu_utilization_percentage,8170.347194625,35.4
ram_usage_mb,8170.347363833,902.28125
cpu_utilization_percentage,8170.366705833,35.5
ram_usage_mb,8170.36683275,905.625
cpu_utilization_percentage,8170.385730375,33.9
ram_usage_mb,8170.385881291,908.84375
cpu_utilization_percentage,8170.405488041,76.5
ram_usage_mb,8170.405637083,928.0
cpu_utilization_percentage,8170.424145875,33.2
ram_usage_mb,8170.424263375,941.03125
cpu_utilization_percentage,8170.440840708,37.0
ram_usage_mb,8170.440967375,946.609375
cpu_utilization_percentage,8170.459098416,32.9
ram_usage_mb,8170.459219875,958.3125
cpu_utilization_percentage,8170.478257708,34.1
ram_usage_mb,8170.478536208,992.171875
cpu_utilization_percentage,8170.496313291,42.2
ram_usage_mb,8170.496520125,1006.453125
cpu_utilization_percentage,8170.515405375,35.2
ram_usage_mb,8170.515544958,1015.40625
cpu_utilization_percentage,8170.534531083,34.4
ram_usage_mb,8170.53463925,1033.046875
cpu_utilization_percentage,8170.553315625,33.1
ram_usage_mb,8170.553434541,1039.84375
cpu_utilization_percentage,8170.5721595,33.3
ram_usage_mb,8170.57228775,1051.265625
cpu_utilization_percentage,8170.591022791,33.4
ram_usage_mb,8170.591120666,1059.375
cpu_utilization_percentage,8170.609829916,33.3
ram_usage_mb,8170.609937375,1063.5625
cpu_utilization_percentage,8170.628681375,33.3
ram_usage_mb,8170.628776583,1066.59375
cpu_utilization_percentage,8170.647543958,33.4
ram_usage_mb,8170.647646708,1071.765625
cpu_utilization_percentage,8170.666496208,33.7
ram_usage_mb,8170.666644375,1074.53125
cpu_utilization_percentage,8170.683711041,39.5
ram_usage_mb,8170.683829375,1077.9375
cpu_utilization_percentage,8170.702655208,33.8
ram_usage_mb,8170.702784333,1082.453125
cpu_utilization_percentage,8170.7216345,33.9
ram_usage_mb,8170.721740125,1085.171875
cpu_utilization_percentage,8170.738319208,38.6
ram_usage_mb,8170.7384415,1087.046875
cpu_utilization_percentage,8170.757197375,33.3
ram_usage_mb,8170.757354875,1089.375
cpu_utilization_percentage,8170.775801125,32.6
ram_usage_mb,8170.775930041,1092.34375
cpu_utilization_percentage,8170.794506083,32.8
ram_usage_mb,8170.794638375,1093.6875
cpu_utilization_percentage,8170.813050875,32.2
ram_usage_mb,8170.813178375,1094.90625
cpu_utilization_percentage,8170.831482375,31.7
ram_usage_mb,8170.831617833,1100.921875
cpu_utilization_percentage,8170.849988458,32.0
ram_usage_mb,8170.850118541,1103.671875
cpu_utilization_percentage,8170.86895025,33.4
ram_usage_mb,8170.869115375,1106.140625
cpu_utilization_percentage,8170.887826708,33.1
ram_usage_mb,8170.888039958,1107.0
cpu_utilization_percentage,8170.904805041,35.8
ram_usage_mb,8170.904938166,1110.359375
cpu_utilization_percentage,8170.921678458,35.0
ram_usage_mb,8170.921781583,1113.390625
cpu_utilization_percentage,8170.938003291,38.2
ram_usage_mb,8170.938168833,1115.421875
cpu_utilization_percentage,8170.954285541,38.4
ram_usage_mb,8170.954409833,1116.203125
cpu_utilization_percentage,8170.972811625,32.2
ram_usage_mb,8170.972929416,1120.4375
cpu_utilization_percentage,8170.991373916,32.1
ram_usage_mb,8170.991506375,1125.15625
cpu_utilization_percentage,8171.010554791,34.3
ram_usage_mb,8171.010651833,1130.21875
cpu_utilization_percentage,8171.030020333,35.6
ram_usage_mb,8171.030166541,1137.53125
cpu_utilization_percentage,8171.049310125,34.8
ram_usage_mb,8171.049475208,1141.015625
cpu_utilization_percentage,8171.068267791,33.8
ram_usage_mb,8171.068427791,1141.90625
cpu_utilization_percentage,8171.086956541,32.8
ram_usage_mb,8171.087111958,1145.484375
cpu_utilization_percentage,8171.106089666,33.7
ram_usage_mb,8171.106204958,1150.390625
cpu_utilization_percentage,8171.124629791,32.3
ram_usage_mb,8171.124752458,1152.953125
cpu_utilization_percentage,8171.143190041,32.3
ram_usage_mb,8171.143299875,1157.1875
cpu_utilization_percentage,8171.161553833,31.4
ram_usage_mb,8171.1616615,1159.3125
cpu_utilization_percentage,8171.179894666,31.5
ram_usage_mb,8171.1800115,1161.765625
cpu_utilization_percentage,8171.198132208,31.1
ram_usage_mb,8171.198250291,1163.40625
cpu_utilization_percentage,8171.216549833,31.6
ram_usage_mb,8171.216681208,1164.484375
cpu_utilization_percentage,8171.2350085,31.8
ram_usage_mb,8171.235142416,1167.375
cpu_utilization_percentage,8171.253434541,31.7
ram_usage_mb,8171.253549916,1170.296875
cpu_utilization_percentage,8171.271807708,31.5
ram_usage_mb,8171.271938,1175.296875
cpu_utilization_percentage,8171.290211291,31.4
ram_usage_mb,8171.290359708,1177.296875
cpu_utilization_percentage,8171.308985666,32.7
ram_usage_mb,8171.30917075,1177.296875
cpu_utilization_percentage,8171.32821875,34.2
ram_usage_mb,8171.328398791,1179.734375
cpu_utilization_percentage,8171.346731083,36.8
ram_usage_mb,8171.346939458,1181.53125
cpu_utilization_percentage,8171.365841916,34.4
ram_usage_mb,8171.365952916,1183.46875
cpu_utilization_percentage,8171.384931041,34.2
ram_usage_mb,8171.385038541,1186.703125
cpu_utilization_percentage,8171.403527541,32.4
ram_usage_mb,8171.403665333,1189.640625
cpu_utilization_percentage,8171.419849666,37.1
ram_usage_mb,8171.419967958,1191.421875
cpu_utilization_percentage,8171.437909708,35.7
ram_usage_mb,8171.438034791,1194.640625
cpu_utilization_percentage,8171.456852458,33.7
ram_usage_mb,8171.456962291,1201.671875
cpu_utilization_percentage,8171.476144333,34.9
ram_usage_mb,8171.476295291,1215.765625
cpu_utilization_percentage,8171.495077666,33.8
ram_usage_mb,8171.495205375,1220.484375
cpu_utilization_percentage,8171.513906333,33.2
ram_usage_mb,8171.514055208,1225.015625
cpu_utilization_percentage,8171.533190833,34.6
ram_usage_mb,8171.533311375,1233.171875
cpu_utilization_percentage,8171.552461791,34.9
ram_usage_mb,8171.552570708,1235.828125
cpu_utilization_percentage,8171.571620041,34.2
ram_usage_mb,8171.571821875,1241.625
cpu_utilization_percentage,8171.589725708,41.6
ram_usage_mb,8171.589870333,1244.953125
cpu_utilization_percentage,8171.608414583,32.9
ram_usage_mb,8171.608543083,1248.15625
cpu_utilization_percentage,8171.627116541,32.6
ram_usage_mb,8171.627281041,1248.546875
cpu_utilization_percentage,8171.645984833,33.3
ram_usage_mb,8171.6461425,1248.546875
cpu_utilization_percentage,8171.663678291,40.8
ram_usage_mb,8171.663903583,1251.859375
cpu_utilization_percentage,8171.6833215,36.2
ram_usage_mb,8171.683482625,1255.453125
cpu_utilization_percentage,8171.700009458,39.9
ram_usage_mb,8171.70014375,1256.8125
cpu_utilization_percentage,8171.718883208,33.5
ram_usage_mb,8171.719013791,1260.625
cpu_utilization_percentage,8171.737703333,33.3
ram_usage_mb,8171.737809541,1266.0625
cpu_utilization_percentage,8171.7565495,33.2
ram_usage_mb,8171.756683291,1270.640625
cpu_utilization_percentage,8171.775473291,33.5
ram_usage_mb,8171.775588625,1272.640625
cpu_utilization_percentage,8171.794227958,32.9
ram_usage_mb,8171.794347166,1274.5625
cpu_utilization_percentage,8171.813094291,33.2
ram_usage_mb,8171.813219791,1277.3125
cpu_utilization_percentage,8171.832145708,34.0
ram_usage_mb,8171.8322695,1278.84375
cpu_utilization_percentage,8171.851492541,35.0
ram_usage_mb,8171.85163875,1280.96875
cpu_utilization_percentage,8171.870806625,34.9
ram_usage_mb,8171.871004875,1300.265625
cpu_utilization_percentage,8171.890075708,34.8
ram_usage_mb,8171.89025525,1313.890625
cpu_utilization_percentage,8171.908960875,33.1
ram_usage_mb,8171.90916125,1316.140625
cpu_utilization_percentage,8171.928289083,34.7
ram_usage_mb,8171.928488625,1319.09375
cpu_utilization_percentage,8171.949415666,41.6
ram_usage_mb,8171.958225333,1328.984375
cpu_utilization_percentage,8171.978009333,58.1
ram_usage_mb,8171.978185875,1352.40625
cpu_utilization_percentage,8171.997488208,35.6
ram_usage_mb,8171.99761775,1358.90625
cpu_utilization_percentage,8172.016720208,34.8
ram_usage_mb,8172.0169035,1367.4375
cpu_utilization_percentage,8172.035881416,34.5
ram_usage_mb,8172.036010875,1403.90625
cpu_utilization_percentage,8172.055304125,35.0
ram_usage_mb,8172.055586958,1418.640625
cpu_utilization_percentage,8172.074450416,34.4
ram_usage_mb,8172.074620916,1426.28125
cpu_utilization_percentage,8172.093526625,34.1
ram_usage_mb,8172.093732916,1443.71875
cpu_utilization_percentage,8172.11336875,36.4
ram_usage_mb,8172.113534125,1451.09375
cpu_utilization_percentage,8172.132935458,35.7
ram_usage_mb,8172.133099333,1462.125
cpu_utilization_percentage,8172.151317083,38.6
ram_usage_mb,8172.151488375,1467.65625
cpu_utilization_percentage,8172.170719875,35.3
ram_usage_mb,8172.170844125,1473.875
cpu_utilization_percentage,8172.190000708,34.8
ram_usage_mb,8172.190159083,1477.25
cpu_utilization_percentage,8172.207784208,41.2
ram_usage_mb,8172.208027083,1479.5625
cpu_utilization_percentage,8172.227599958,36.6
ram_usage_mb,8172.227754375,1485.328125
cpu_utilization_percentage,8172.24724475,37.9
ram_usage_mb,8172.247414375,1487.046875
cpu_utilization_percentage,8172.264095125,38.6
ram_usage_mb,8172.264271041,1490.09375
cpu_utilization_percentage,8172.28423025,37.3
ram_usage_mb,8172.284428041,1494.109375
cpu_utilization_percentage,8172.303973291,36.7
ram_usage_mb,8172.304131875,1496.953125
cpu_utilization_percentage,8172.321065041,40.2
ram_usage_mb,8172.321198833,1498.234375
cpu_utilization_percentage,8172.340533125,35.4
ram_usage_mb,8172.340679333,1501.0625
cpu_utilization_percentage,8172.360206458,35.9
ram_usage_mb,8172.360361333,1503.53125
cpu_utilization_percentage,8172.379752791,35.8
ram_usage_mb,8172.379887375,1505.578125
cpu_utilization_percentage,8172.396681541,38.2
ram_usage_mb,8172.396827458,1505.765625
cpu_utilization_percentage,8172.417122791,38.4
ram_usage_mb,8172.417293375,1507.96875
cpu_utilization_percentage,8172.433543541,37.9
ram_usage_mb,8172.433701916,1513.640625
cpu_utilization_percentage,8172.452337416,33.5
ram_usage_mb,8172.452459208,1516.25
cpu_utilization_percentage,8172.470870708,32.3
ram_usage_mb,8172.470993625,1518.5
cpu_utilization_percentage,8172.489598833,32.6
ram_usage_mb,8172.489784083,1519.421875
cpu_utilization_percentage,8172.508278541,32.8
ram_usage_mb,8172.508406208,1522.59375
cpu_utilization_percentage,8172.52692475,32.4
ram_usage_mb,8172.527063791,1525.640625
cpu_utilization_percentage,8172.5461355,34.6
ram_usage_mb,8172.54625875,1527.734375
cpu_utilization_percentage,8172.565028458,33.6
ram_usage_mb,8172.565147458,1530.921875
cpu_utilization_percentage,8172.583106916,35.6
ram_usage_mb,8172.583260291,1535.5625
cpu_utilization_percentage,8172.602144708,34.0
ram_usage_mb,8172.602257291,1540.875
cpu_utilization_percentage,8172.62092975,33.2
ram_usage_mb,8172.621071416,1547.25
cpu_utilization_percentage,8172.639852708,33.5
ram_usage_mb,8172.639967291,1552.265625
cpu_utilization_percentage,8172.658470541,34.8
ram_usage_mb,8172.658672875,1552.71875
cpu_utilization_percentage,8172.677518041,34.3
ram_usage_mb,8172.677643666,1556.09375
cpu_utilization_percentage,8172.696598458,34.0
ram_usage_mb,8172.696731125,1560.5625
cpu_utilization_percentage,8172.715377,33.1
ram_usage_mb,8172.715475708,1563.5
cpu_utilization_percentage,8172.734239333,33.4
ram_usage_mb,8172.73435375,1568.234375
cpu_utilization_percentage,8172.752973666,32.9
ram_usage_mb,8172.753081166,1570.40625
cpu_utilization_percentage,8172.771850875,33.4
ram_usage_mb,8172.771964875,1572.015625
cpu_utilization_percentage,8172.790895083,34.0
ram_usage_mb,8172.791024791,1574.4375
cpu_utilization_percentage,8172.809807083,33.6
ram_usage_mb,8172.809957291,1574.71875
cpu_utilization_percentage,8172.829082208,34.9
ram_usage_mb,8172.829195416,1577.515625
cpu_utilization_percentage,8172.848425916,34.7
ram_usage_mb,8172.848634958,1580.71875
