Event,Time,Value
program_start,157858.36485225,1
nbr_training_datapoints,157858.365546333,140
epoch_start,157859.377456416,1
cpu_utilization_percentage,157859.397311166,100.6
ram_usage_mb,157859.397317333,463.5625
start_batch_fetch,157859.39738075,1
end_batch_fetch,157859.399801791,1
start_batch_processing,157859.399807,1
batch_train_loss,157859.403379458,1.9510143995285034
end_batch_processing,157859.420643916,1
start_batch_fetch,157859.4206495,1
end_batch_fetch,157859.421545291,1
start_batch_processing,157859.421549416,1
batch_train_loss,157859.423030125,1.9615730047225952
end_batch_processing,157859.424210541,1
epoch_end,157859.424278875,1
start_validation_accuracy,157859.424280833,1
validation_accuracy,157859.433995875,0.12200000354653744
validation_loss,157859.434000291,1.9666111469268799
end_validation_accuracy,157859.434002875,1
start_saving_weights,157859.434008958,1
end_saving_weights,157859.434012083,1
epoch_start,157859.43401675,1
start_batch_fetch,157859.434069583,1
end_batch_fetch,157859.435029708,1
start_batch_processing,157859.435032041,1
batch_train_loss,157859.436542791,1.9477603435516357
end_batch_processing,157859.438145458,1
start_batch_fetch,157859.438153666,1
end_batch_fetch,157859.438557958,1
start_batch_processing,157859.438559875,1
batch_train_loss,157859.439665166,1.9481852054595947
end_batch_processing,157859.44085075,1
epoch_end,157859.440900833,1
start_validation_accuracy,157859.440902541,1
validation_accuracy,157859.448049625,0.12200000354653744
validation_loss,157859.448053291,1.9639506340026855
end_validation_accuracy,157859.44805525,1
start_saving_weights,157859.448057375,1
end_saving_weights,157859.448059458,1
epoch_start,157859.448067958,1
start_batch_fetch,157859.448106833,1
end_batch_fetch,157859.449024708,1
start_batch_processing,157859.449026916,1
batch_train_loss,157859.450565291,1.9470186233520508
end_batch_processing,157859.451965083,1
start_batch_fetch,157859.45196725,1
end_batch_fetch,157859.4524455,1
start_batch_processing,157859.45244875,1
batch_train_loss,157859.453525291,1.932030439376831
end_batch_processing,157859.454870125,1
epoch_end,157859.454922083,1
start_validation_accuracy,157859.454923625,1
validation_accuracy,157859.460962,0.1340000039714648
validation_loss,157859.4609715,1.9611961841583252
end_validation_accuracy,157859.460973541,1
start_saving_weights,157859.460975833,1
end_saving_weights,157859.460977708,1
epoch_start,157859.460982041,1
start_batch_fetch,157859.46103075,1
end_batch_fetch,157859.461557541,1
start_batch_processing,157859.461559666,1
batch_train_loss,157859.463152083,1.9461406469345093
end_batch_processing,157859.464971125,1
start_batch_fetch,157859.464978125,1
end_batch_fetch,157859.465455333,1
start_batch_processing,157859.465458166,1
batch_train_loss,157859.466475833,1.9110043048858643
end_batch_processing,157859.46770575,1
epoch_end,157859.467766458,1
start_validation_accuracy,157859.467768,1
validation_accuracy,157859.473741541,0.07200000196939609
validation_loss,157859.473745583,1.958375096321106
end_validation_accuracy,157859.473747458,1
start_saving_weights,157859.473748875,1
end_saving_weights,157859.473750333,1
epoch_start,157859.473753166,1
start_batch_fetch,157859.473780375,1
end_batch_fetch,157859.474829375,1
start_batch_processing,157859.474833541,1
batch_train_loss,157859.476353791,1.945284366607666
end_batch_processing,157859.477802333,1
start_batch_fetch,157859.477805791,1
end_batch_fetch,157859.4783395,1
start_batch_processing,157859.478341541,1
batch_train_loss,157859.479467958,1.8861722946166992
end_batch_processing,157859.480737166,1
epoch_end,157859.480779916,1
start_validation_accuracy,157859.480781166,1
validation_accuracy,157859.487739416,0.07200000196939609
validation_loss,157859.487742458,1.954859972000122
end_validation_accuracy,157859.487744125,1
start_saving_weights,157859.487745791,1
end_saving_weights,157859.487747375,1
epoch_start,157859.487750291,1
start_batch_fetch,157859.487771083,1
end_batch_fetch,157859.488627666,1
start_batch_processing,157859.488636833,1
batch_train_loss,157859.490206541,1.9440546035766602
end_batch_processing,157859.491629583,1
start_batch_fetch,157859.491636958,1
end_batch_fetch,157859.492168916,1
start_batch_processing,157859.492176916,1
batch_train_loss,157859.493256041,1.855867624282837
end_batch_processing,157859.494425416,1
epoch_end,157859.494497916,1
start_validation_accuracy,157859.494499416,1
validation_accuracy,157859.500575625,0.07200000196939609
