Event,Time,Value
program_start,6849.029969583,1
nbr_training_datapoints,6849.0505575,1667
epoch_start,6850.077261625,1
cpu_utilization_percentage,6850.077709958,93.0
ram_usage_mb,6850.078384333,386.25
cpu_utilization_percentage,6850.105206041,98.8
ram_usage_mb,6850.105817625,386.84375
cpu_utilization_percentage,6850.210805375,10.4
ram_usage_mb,6850.215027708,482.53125
start_batch_fetch,6850.22749425,1
cpu_utilization_percentage,6850.235444875,101.8
ram_usage_mb,6850.235588833,518.65625
cpu_utilization_percentage,6850.255668166,37.9
ram_usage_mb,6850.255831833,567.078125
cpu_utilization_percentage,6850.275122083,35.5
ram_usage_mb,6850.275288,613.0625
cpu_utilization_percentage,6850.295179375,37.2
ram_usage_mb,6850.295391375,748.296875
cpu_utilization_percentage,6850.315111666,36.6
ram_usage_mb,6850.31535575,857.046875
cpu_utilization_percentage,6850.332804125,37.1
ram_usage_mb,6850.333019958,895.78125
cpu_utilization_percentage,6850.353308708,38.8
ram_usage_mb,6850.353453541,960.96875
cpu_utilization_percentage,6850.373054333,36.5
ram_usage_mb,6850.373175916,1021.75
cpu_utilization_percentage,6850.392507958,35.4
ram_usage_mb,6850.392696416,1063.25
cpu_utilization_percentage,6850.412835125,38.3
ram_usage_mb,6850.413018541,1106.84375
cpu_utilization_percentage,6850.432848,37.1
ram_usage_mb,6850.43299325,1140.859375
cpu_utilization_percentage,6850.450498708,42.9
ram_usage_mb,6850.450658291,1161.421875
cpu_utilization_percentage,6850.470716375,38.0
ram_usage_mb,6850.470859375,1177.53125
cpu_utilization_percentage,6850.49032925,36.1
ram_usage_mb,6850.490468,1194.890625
cpu_utilization_percentage,6850.510255041,37.0
ram_usage_mb,6850.5104485,1216.703125
cpu_utilization_percentage,6850.530521958,38.2
ram_usage_mb,6850.53069525,1229.375
cpu_utilization_percentage,6850.550884291,38.5
ram_usage_mb,6850.551035291,1248.765625
cpu_utilization_percentage,6850.571317125,38.4
ram_usage_mb,6850.571455125,1267.59375
cpu_utilization_percentage,6850.591472083,37.8
ram_usage_mb,6850.591619041,1279.484375
cpu_utilization_percentage,6850.611131041,36.4
ram_usage_mb,6850.611326208,1291.578125
cpu_utilization_percentage,6850.631526,38.5
ram_usage_mb,6850.631693666,1303.609375
cpu_utilization_percentage,6850.650214458,39.2
ram_usage_mb,6850.650358208,1314.203125
cpu_utilization_percentage,6850.667903083,39.7
ram_usage_mb,6850.668037416,1317.484375
cpu_utilization_percentage,6850.687439416,35.9
ram_usage_mb,6850.687556458,1320.5
cpu_utilization_percentage,6850.707276416,36.7
ram_usage_mb,6850.707441333,1339.84375
cpu_utilization_percentage,6850.727279875,37.2
ram_usage_mb,6850.727481791,1358.390625
cpu_utilization_percentage,6850.747427083,37.7
ram_usage_mb,6850.74759675,1370.078125
cpu_utilization_percentage,6850.76750075,39.3
ram_usage_mb,6850.767693083,1378.25
cpu_utilization_percentage,6850.787518416,37.2
ram_usage_mb,6850.787680541,1382.5
cpu_utilization_percentage,6850.807487625,37.3
ram_usage_mb,6850.807646791,1397.09375
cpu_utilization_percentage,6850.824883708,40.2
ram_usage_mb,6850.825021416,1410.265625
cpu_utilization_percentage,6850.844520375,36.0
ram_usage_mb,6850.844688833,1420.25
cpu_utilization_percentage,6850.864695875,37.7
ram_usage_mb,6850.864878208,1428.53125
cpu_utilization_percentage,6850.885348833,39.3
ram_usage_mb,6850.885520791,1451.921875
cpu_utilization_percentage,6850.906075041,39.1
ram_usage_mb,6850.906293916,1474.6875
cpu_utilization_percentage,6850.926909666,39.5
ram_usage_mb,6850.927175375,1495.03125
cpu_utilization_percentage,6850.947081583,37.8
ram_usage_mb,6850.947267458,1524.546875
cpu_utilization_percentage,6850.966182291,34.9
ram_usage_mb,6850.966334625,1550.90625
cpu_utilization_percentage,6850.986324916,37.4
ram_usage_mb,6850.986543416,1561.859375
cpu_utilization_percentage,6851.005959875,36.3
ram_usage_mb,6851.006077375,1564.140625
cpu_utilization_percentage,6851.025223166,37.7
ram_usage_mb,6851.025366416,1578.453125
cpu_utilization_percentage,6851.045177708,37.3
ram_usage_mb,6851.045343458,1601.1875
cpu_utilization_percentage,6851.064816833,39.9
ram_usage_mb,6851.064969208,1615.984375
cpu_utilization_percentage,6851.084929958,37.5
ram_usage_mb,6851.085094625,1638.890625
cpu_utilization_percentage,6851.104429166,35.8
ram_usage_mb,6851.104601166,1651.921875
cpu_utilization_percentage,6851.12464825,37.9
